epoch,lr,train_loss,train_action_mse_norm,val_loss,val_action_mse_norm,val_start_loss,val_start_action_mse_norm,val_roll_loss,val_roll_action_mse_norm,val_evt_tail_loss,val_evt_tail_action_mse_norm,active_closed_loop_chunks,train_state_consistency_m2,train_teacher_action_mse_norm,train_selected_xi_mean,train_mixture_nll,train_energy_score,train_diversity_penalty,train_smoothness_penalty,train_map_action_mse_norm,train_probability_entropy_penalty,train_candidate_entropy,train_responsibility_entropy,train_effective_candidates,train_probability_responsibility_l1,train_pairwise_trajectory_distance_norm,val_mixture_nll,val_energy_score,val_diversity_penalty,val_smoothness_penalty,val_map_action_mse_norm,val_probability_entropy_penalty,val_candidate_entropy,val_responsibility_entropy,val_effective_candidates,val_probability_responsibility_l1,val_pairwise_trajectory_distance_norm,val_start_mixture_nll,val_start_energy_score,val_start_diversity_penalty,val_start_smoothness_penalty,val_start_map_action_mse_norm,val_start_probability_entropy_penalty,val_start_candidate_entropy,val_start_responsibility_entropy,val_start_effective_candidates,val_start_probability_responsibility_l1,val_start_pairwise_trajectory_distance_norm,val_roll_mixture_nll,val_roll_energy_score,val_roll_diversity_penalty,val_roll_smoothness_penalty,val_roll_map_action_mse_norm,val_roll_probability_entropy_penalty,val_roll_candidate_entropy,val_roll_responsibility_entropy,val_roll_effective_candidates,val_roll_probability_responsibility_l1,val_roll_pairwise_trajectory_distance_norm,val_evt_tail_mixture_nll,val_evt_tail_energy_score,val_evt_tail_diversity_penalty,val_evt_tail_smoothness_penalty,val_evt_tail_map_action_mse_norm,val_evt_tail_probability_entropy_penalty,val_evt_tail_candidate_entropy,val_evt_tail_responsibility_entropy,val_evt_tail_effective_candidates,val_evt_tail_probability_responsibility_l1,val_evt_tail_pairwise_trajectory_distance_norm
1,1.9998265164338583e-05,0.13192593685254,0.02449543668012451,0.27853910928397596,0.15155886436351587,0.034200146448548054,0.016342002473026668,0.29022527434075257,0.15831969973858878,0.5394369418707499,0.2614093014152852,1,0.0,0.0,5.720708778106045,0.03772599626248643,0.03235186097858594,0.016504999883363743,0.03130805020740905,0.035763936919177314,0.430964582494844,1.081322344381528,1.0784696027336111,3.3361500767012497,0.0008001755033820202,0.18208335478146037,0.23979486987529242,0.19457652052561988,0.010465826680891752,0.023030682326255016,0.22571095991958467,0.24854395225426876,1.2593556193445006,1.23103161423444,3.4741505822484777,0.008782571582368469,0.20078013334521896,0.027629134637910717,0.02077381551401434,0.02211224590799276,0.029581752078018927,0.02529518790319454,0.0044220034373028475,1.5223101872732565,1.5201418883853313,4.58111424774789,0.000779678641880732,0.1512745821872031,0.24993190460559425,0.20290553339074005,0.009887821954341316,0.022703222833084926,0.2350485106199036,0.26098517197872684,1.2462078905401701,1.2165760926641656,3.4188023738489957,0.00918271727098491,0.2032554263669841,0.4727991737190587,0.4037752770752448,0.009363538324836936,0.028294599424110285,0.4723113905003372,0.27362824842031525,1.2257256179623528,1.1829738294352834,3.314891742744166,0.011727719195609141,0.23212665173453814
2,1.9993061326166506e-05,0.08393017543153772,0.021425398961375186,0.2857058604904947,0.16206385558378825,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.9515597367015847,0.03500070247684407,0.027861214177608864,0.019419890848526036,0.027959908782965736,0.03327221190663669,0.003319378915108881,1.5266683413274522,1.524839993099191,4.602459099716573,0.000872380692536036,0.14830438711222335,0.24687332904943043,0.2066340410791693,0.00957522933863864,0.022762933926015215,0.23274766279579312,0.23655021200117096,1.2703346164447133,1.244914854123823,3.519441792132793,0.00819999351468496,0.19216194436534417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.9984390491662443e-05,0.08068389186732536,0.0209650681762981,0.3061790027442363,0.17443008371499244,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.7592857440727157,0.03377724032489121,0.026917525073750788,0.01818960731667647,0.02494148893477857,0.032297812484806857,0.0017578636297157192,1.5293758415552474,1.528068363938321,4.617126107166274,0.0007995370699417026,0.13922610241934696,0.2657489870934088,0.22546950631628201,0.009255964780383274,0.022184782754985116,0.24790686059920633,0.23548783763133152,1.2708603759651917,1.2430996400014058,3.5141845139442762,0.00854654786080782,0.1966716034948662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.9972256003598153e-05,0.07817573036062793,0.020328122544280507,0.3134338356994929,0.18473013102528854,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.5424595500829215,0.03275765173057235,0.02601481752313743,0.01756777940611132,0.022847940563779826,0.03148157007680043,0.001165238597323248,1.529266522211094,1.5281649904099617,4.617556825858726,0.0007512599766590093,0.1353407997452651,0.27203387473763724,0.23448563885150495,0.009630345827395477,0.02156233090302445,0.25744315034777315,0.23301228939240776,1.2733807185704595,1.2476233207936593,3.527889779499768,0.008235288185776108,0.19355377300061913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9956662540049773e-05,0.0770108017135995,0.020071387621221466,0.33258414116296203,0.20224180327364366,0.027552327313819944,0.013494646849191305,0.34739244032710564,0.21167916016064428,0.6225446310018125,0.32811565623877115,1,0.0,0.0,3.506290859452997,0.03236158442493309,0.025671800771733123,0.016950943879666062,0.02123540486067223,0.030876556161698106,0.0008889406479543521,1.5281963235726537,1.5272359344430948,4.61323065488097,0.0007151262123882545,0.1330022246548488,0.2898954576707399,0.2553330749681334,0.009077814372290714,0.021111915139498224,0.2685661612615744,0.23411890734065857,1.2718900059823166,1.2460212909304968,3.5200300808022256,0.008124649088707367,0.19205399035392234,0.02235206822266899,0.016051386290194578,0.01848593193122354,0.02040919752136456,0.02040203729610874,0.0004511922006042986,1.5290615600721358,1.5282799356202363,4.61824444486744,0.0005455622052630405,0.12859444279424942,0.3028858212500817,0.26698567536671297,0.00862345404201192,0.02114705008381557,0.28033514307167584,0.24596519890741592,1.2590314305689834,1.2319083690742014,3.4651193937014604,0.008503602593578128,0.19522696176046073,0.5471537083220163,0.4916335624684071,0.009318986696375629,0.02527617156203317,0.5625248453421072,0.2514300857271467,1.2469870587798815,1.207039667606148,3.3890612722214923,0.010648236183323414,0.20994862571300799
6,1.993761611259434e-05,0.07411601077348146,0.01968168881947445,0.3418932922832871,0.21132031804639223,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.2854803608221315,0.031139944290620024,0.02450256134129298,0.016560136207378156,0.020216044513929797,0.029508950711796735,0.0007191867208047862,1.5270146359446815,1.5261235802574888,4.608047226593848,0.0006877096490919319,0.13145649361574316,0.29885613078160433,0.263949843001795,0.008969794811675019,0.020580391786219444,0.27286972637744694,0.23118833706946623,1.2751336552508286,1.2456627696792206,3.5212462902351103,0.008475784796756656,0.19175999884580097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9915124063992195e-05,0.0737062347194868,0.019650212944385247,0.33699140938849714,0.20698344751702946,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.088017931051457,0.03100267422293398,0.024341922052548367,0.016256169424495464,0.0194016018509248,0.02946084846949169,0.0005699495266689712,1.5266889300983928,1.5258300676997945,4.606619226313274,0.0006714240884574123,0.13036287024794121,0.29467316730370996,0.2606411574838973,0.007932534447586962,0.020584351120169486,0.2679302518879158,0.2304616349433906,1.275809640654138,1.248091922230902,3.527978392469681,0.008260779124244954,0.19338260888674394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.988919506535624e-05,0.07231152063947613,0.01927586968226551,0.3362296822873606,0.20894394577524228,nan,nan,nan,nan,nan,nan,1,0.0,0.0,2.8265851763627357,0.030453535014164305,0.02382598268831041,0.015844951825678334,0.018369554662898968,0.028773596354706475,0.0005233456289314068,1.52500541797888,1.5241100803431498,4.5986761985004945,0.0006679756886798278,0.13058782905076588,0.2944057114952633,0.2630246601329252,0.008078762728308464,0.019736334626981586,0.2649596462377154,0.22577163942045197,1.280892329913697,1.2532586334486104,3.5450189887650683,0.007936606107934946,0.18983994256881853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.9859839112809026e-05,0.34233469631647145,0.10458106123837888,0.18716526493215546,0.11723909291783037,nan,nan,nan,nan,nan,nan,2,0.0026005367859126788,0.0,3.337701423464794,0.15027950866549603,0.13692043809056578,0.019728207421142705,0.02127284855002105,0.1504682794895532,0.016895074685429806,1.540483216231268,1.535142176644798,4.667195976335143,0.0030945790184499183,0.14692839634534274,0.1657344386736378,0.15255825405303522,0.02576283365209347,0.018850797449920794,0.1575927384483027,0.001860733557362638,1.5556479214923973,1.5483448477969057,4.720633439602863,0.003312393645964838,0.14192969100828248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.9827067523629075e-05,0.32524011539908965,0.10163113160925787,0.19069945689348156,0.12024594082598655,0.028271385378514084,0.013727799438817658,0.19844728635016792,0.12557185767588225,0.43127326934204874,0.22625125987060532,2,0.002587630798959062,0.0,3.6345680233257323,0.14305782516849277,0.13190763781614345,0.020988823457911553,0.020801311562962756,0.14349871438132883,0.0016822533758034948,1.5564471205195556,1.5524091824778226,4.735924036127952,0.0026841552762663927,0.13978020275973152,0.16901547613315454,0.1566917619013182,0.023200652197622025,0.017740067681999656,0.1636663458971938,0.001858599518588096,1.5580880844477072,1.5510257664220888,4.732632181580071,0.0032582137505349396,0.1400557806415568,0.022464547816550627,0.016581384878419765,0.021897108744058,0.022449703834283134,0.020824903803868856,0.0009893980688285148,1.5557363771647061,1.5546343143029233,4.742899529234615,0.0005510635788174035,0.12985286394759157,0.17601285625394889,0.16336751839039218,0.02327273363613411,0.017504449199983063,0.17039646789699922,0.0019030605813643697,1.5582056663485941,1.5508453421986539,4.732118819794826,0.003393571091718668,0.14056593192423186,0.38194099042273616,0.35595742206301834,0.022121038635164486,0.02143284530380084,0.42158168580995636,0.0016408696244914931,1.5480448085787382,1.5332379834529497,4.6496643719613475,0.005063218521926975,0.15734197476530673
