epoch,lr,train_loss,train_action_mse_norm,val_loss,val_action_mse_norm,val_start_loss,val_start_action_mse_norm,val_roll_loss,val_roll_action_mse_norm,val_evt_tail_loss,val_evt_tail_action_mse_norm,active_closed_loop_chunks,train_state_consistency_m2,train_selected_xi_mean,train_mixture_nll,train_energy_score,train_diversity_penalty,train_smoothness_penalty,train_map_action_mse_norm,train_probability_entropy_penalty,train_candidate_entropy,train_responsibility_entropy,train_effective_candidates,train_probability_responsibility_l1,train_pairwise_trajectory_distance_norm,val_mixture_nll,val_energy_score,val_diversity_penalty,val_smoothness_penalty,val_map_action_mse_norm,val_probability_entropy_penalty,val_candidate_entropy,val_responsibility_entropy,val_effective_candidates,val_probability_responsibility_l1,val_pairwise_trajectory_distance_norm,val_start_mixture_nll,val_start_energy_score,val_start_diversity_penalty,val_start_smoothness_penalty,val_start_map_action_mse_norm,val_start_probability_entropy_penalty,val_start_candidate_entropy,val_start_responsibility_entropy,val_start_effective_candidates,val_start_probability_responsibility_l1,val_start_pairwise_trajectory_distance_norm,val_roll_mixture_nll,val_roll_energy_score,val_roll_diversity_penalty,val_roll_smoothness_penalty,val_roll_map_action_mse_norm,val_roll_probability_entropy_penalty,val_roll_candidate_entropy,val_roll_responsibility_entropy,val_roll_effective_candidates,val_roll_probability_responsibility_l1,val_roll_pairwise_trajectory_distance_norm,val_evt_tail_mixture_nll,val_evt_tail_energy_score,val_evt_tail_diversity_penalty,val_evt_tail_smoothness_penalty,val_evt_tail_map_action_mse_norm,val_evt_tail_probability_entropy_penalty,val_evt_tail_candidate_entropy,val_evt_tail_responsibility_entropy,val_evt_tail_effective_candidates,val_evt_tail_probability_responsibility_l1,val_evt_tail_pairwise_trajectory_distance_norm
1,0.00019947958005998598,0.43501669000545123,0.10171568144494811,2.7365055241768883,1.208104921065033,0.08407098398096836,0.03448899618878766,2.8667384557579894,1.266785718211721,3.242785878720652,1.5298726083202991,1,0.0,0.0,0.19438756102284901,0.11410255882642874,0.006752265918916414,0.09490479604700754,0.19896345302636337,0.0024305089507886688,1.587498135731282,1.5526880436720523,4.78349613313974,0.008450192067990322,0.3589988373675869,2.5414247614148393,1.0904272879560442,0.0005222506304829136,3.4057438932665245,1.5004055887550305,3.1196283111104112e-06,2.0018617972816632,0.8428291365435966,2.7453500223009852,0.1419522666529934,1.8259806037808115,0.07478581762226243,0.04354419448846518,0.010595998330582708,0.03222141145543266,0.06934297051650104,7.626807906615291e-05,1.531383663318439,1.524537079784841,4.606126284989183,0.003262848383453051,0.19570671608854687,2.662770731976698,1.1401320640445125,4.1878067035877276e-07,3.573725519130946,1.5682908580446806,0.0,2.025385705400663,0.8087437400305105,2.6523112064996037,0.1488867378616106,1.9074942983166572,2.9820961732347135,1.4579670209067277,0.0004956017715785823,3.357875933288379,2.124567878373217,3.8760500400786174e-06,2.000365321952788,0.7760113934410028,2.5686359980040843,0.14852639969956563,1.9067782480722537
2,0.00019792402206971155,0.1332487963245493,0.030312505325246458,3.4573922072308485,1.8189608349294701,nan,nan,nan,nan,nan,nan,1,0.0,0.0,0.058648583269423876,0.03556835202334695,0.012184595557514395,0.025271569605050156,0.05501939987990081,0.0007557229481895546,1.523902331965908,1.5177153042400238,4.570734259631406,0.0024576040878355712,0.16956548680391487,3.204837156080264,1.7256678866181026,0.0008855993764934007,2.741571575428888,2.07749717735264,1.9791168972213712e-06,1.9911332483784017,0.6950806900777067,2.556386539659249,0.1515384807677301,1.5062666605665052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0001953503690480396,0.09048722886481785,0.020228918650101076,4.124565904836638,2.5639672155428475,nan,nan,nan,nan,nan,nan,1,0.0,0.0,0.03933558698575727,0.02389506515570577,0.013583012063562829,0.02270127073557754,0.033593359279185886,0.0009055258788938271,1.5248496804237324,1.5191111404382418,4.574684505620209,0.0017148027053030467,0.13934047795615057,3.759559833703225,2.4702624304993903,0.0005548281477462005,2.7285259844255645,3.129342667300771,1.403723302358105e-05,1.9731687738229613,0.8931523938798076,3.1645839522994654,0.13066391760189056,1.3016915878698854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.00019178681847604708,0.07756384072582667,0.015480160245097834,4.6350858135962065,3.1339722992539567,nan,nan,nan,nan,nan,nan,1,0.0,0.0,0.03403137141060862,0.021026093160489947,0.013356472165008345,0.01722430863112989,0.023271629525053652,0.0007482202757332419,1.51656321628403,1.5092598442626302,4.526706455413404,0.0017284606753004775,0.12592174412876878,4.200271052519692,2.971546763591953,0.0012494642314280061,2.362260362510701,3.8128716951725514,4.203242124939077e-05,1.9551312443557927,0.9483471973776797,3.306994819069572,0.12183963983554516,1.2480585330539706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0001872724133595217,0.06735440687507582,0.013962319628385548,5.14638067464361,3.6396805059868576,0.028595274706091404,0.010880313577414596,5.397526119206909,3.821120513011101,5.9653745691924795,4.27449634342361,1,0.0,0.0,0.02926387925967191,0.017964148411440478,0.013500466389005516,0.014334644723136097,0.02033715258002558,0.0006310197695708335,1.5139586288375513,1.5076368533979074,4.518010053865752,0.0014089657847918143,0.12364405116859713,4.597780577016463,3.4406547214253758,0.0007871153849422251,2.118247132177669,4.9289299250422225,4.044960747673714e-07,1.921991426801777,1.1295028673246625,3.7636066901031775,0.10750309045493442,1.215309654580259,0.024316058823689618,0.015509747821067312,0.01646203841239868,0.012657986835525893,0.015277153933145101,1.0351276158915258e-05,1.5077023463425887,1.5011183875215595,4.487037116472974,0.0011950238568207458,0.11567979839938296,4.821862739917532,3.608248756103105,1.1901994043353198e-06,2.220621012928717,5.173745038749712,0.0,1.9427058814796347,1.1109220921714418,3.727435167938798,0.11281849383555247,1.2702911455580423,5.325970607496066,4.066972619937386,0.0006316723814872237,2.1741677435709064,5.768978249510489,0.0,1.9406594522667178,1.061181003010508,3.5529113960444474,0.11701911036796046,1.3211765328408522
6,0.00018185661446562003,0.060487882418873706,0.012295250571639415,5.8303846306883615,4.189252513973917,nan,nan,nan,nan,nan,nan,1,0.0,0.0,0.026173288150196258,0.016052710890960473,0.013523959243603825,0.012695785520428542,0.017360314267810355,0.00037085366570724024,1.5089205553134721,1.50283724321275,4.495376343760592,0.0012942479668899478,0.12323031954652468,5.219881433975813,4.0402574038080425,0.0003094090058865291,2.2212431493780156,5.478409672320207,1.6437965664497803e-05,1.900373562493579,0.9991542116206608,3.389882539075855,0.11537450029653633,1.2222391424989292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.00017559875842035246,0.055945825845745395,0.011806395929477437,5.842484707716759,4.209238188380803,nan,nan,nan,nan,nan,nan,1,0.0,0.0,0.02399868653248754,0.014475647291941892,0.013642343444616442,0.011833648798119977,0.016505584490820513,0.0002844665956911551,1.5085435385055679,1.5029932526705836,4.495936966965778,0.0011467507002902025,0.12393153913014143,5.171882353298903,4.117218491618681,0.0011769267180655385,1.8585423536102594,6.106673810726693,1.6660002288813805e-05,1.8766397894490454,1.1747408363975662,3.8770038319872997,0.1039317813393488,1.1667406671221188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00016856740760409154,0.05333208116922301,0.01068634133567841,6.2879023876657,4.429034804576845,nan,nan,nan,nan,nan,nan,1,0.0,0.0,0.022905139558913556,0.01387163766941981,0.013461489781990842,0.011177306787665727,0.014793095600196092,0.00023756912842822932,1.5089761717598156,1.5031994331812166,4.4970844233554175,0.0011546702897310638,0.12461946579135467,5.430960647898934,4.403038606524198,0.0006410604930775822,1.4573564256872418,7.98241634600333,0.0,1.8700846314205803,1.1986909096140483,3.852546472315182,0.10611392330508687,1.216913164337254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00016083959896778495,0.4666222421697786,0.1376445522062359,0.3034546058282715,0.17720423950872416,nan,nan,nan,nan,nan,nan,2,0.0028947718648888545,0.0,0.20310671344216985,0.17724611093087012,0.0174322926431503,0.036554201733592306,0.2530404007372677,5.5642891243970545e-05,2.0540745049472546,2.0501313653004956,7.798594012216993,0.004139140270274107,0.168001135151583,0.2617217206481766,0.2184743064164709,0.020115837443959738,0.020976419878869813,0.36321001951849546,0.0,2.0733155667882297,2.0686081662850024,7.9223996334807465,0.006275795836809771,0.22563144250178277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0001525,0.4023415911632838,0.1195433005490297,0.21576980859149317,0.14395400581424808,0.045158136356409924,0.019968720406750372,0.22429706365123,0.15015327007300217,0.3474680195865211,0.2263403082066278,2,0.002892820976071192,0.0,0.17770340005954482,0.15857387130862124,0.01766911552730289,0.026965082449099665,0.1881699765061709,0.0,2.072242296017621,2.0692687522112903,7.928649839297707,0.003217864457735671,0.15637320237090574,0.18417131212018262,0.17120665495253726,0.022049414180041083,0.017720680525657402,0.26401810954746807,0.0,2.073449579071415,2.0716974402205817,7.945716539046722,0.0033317968168174164,0.13865637121902086,0.03930829061413867,0.02707355807139572,0.016307660195027246,0.031190194398059878,0.02821059319493539,0.0,2.072135675434641,2.0708311867304308,7.939985253889352,0.0011663161372101577,0.1393649299676264,0.1914685583055402,0.1784863283768176,0.022348723934704634,0.017021285191392694,0.27521120407336547,0.0,2.0735152758241218,2.0717407535346886,7.9460031019790005,0.0034400708577070325,0.13862094341042963,0.294989600794776,0.2726268039802187,0.020401749559204502,0.019921560706245164,0.46492678613015137,0.0,2.0783139879352635,2.072244599232175,7.950446924877208,0.004975563140433009,0.15266487066470674
