t,ego_lower,ego_mean,ego_upper,tar_lower,tar_mean,tar_upper,ego_world,tar_world
0.0,-1.860417776973092e-07,1.7654672852529532e-08,1.965106721035549e-07,-0.0003926188709387989,1.9467671712239584e-05,0.00044225153309615414,0.0,0.0
0.2,-5.633781044622197e-07,-6.823649198868983e-08,3.281853740233207e-07,-0.00033725105012010403,2.3889536357065344e-05,0.0003971944086717974,0.0,0.0
0.4,-7.308235111935994e-07,-1.8209040580548697e-08,6.010444554186018e-07,-0.0004389246738714147,-6.58989479527841e-06,0.00041529037989142107,0.0,0.0
0.6000000000000001,-1.1347476996051096e-06,-2.230995524617659e-09,1.0060842744662583e-06,0.0006282070756963245,0.0010955397235315443,0.001512373455640034,0.0,0.0011153221130371094
0.8,-1.0909242398955603e-06,-6.137798437796012e-08,1.3959102094326256e-06,0.004192016507563134,0.004569320673442027,0.004974130781505434,0.0,0.004529476165771484
1.0,-1.303528296329305e-06,-1.3398246442382819e-07,1.2881371874075638e-06,0.009217599949479585,0.009689772918518524,0.010098118504151472,0.0,0.009671688079833984
1.2000000000000002,-1.7644610696224177e-06,-1.4070526503928705e-08,1.9761520327007773e-06,0.014974079509472224,0.015351969395772755,0.01581162014830326,0.0,0.015354633331298828
1.4000000000000001,-2.1922032644723737e-06,1.4738892564499414e-07,2.4661753076703327e-06,0.01868071643387954,0.019213415776387983,0.019607383998915037,0.0,0.019271373748779297
1.6,-2.598204026525367e-06,5.271144959806406e-07,2.8863041633200067e-06,0.020631972910767345,0.021068607960836226,0.021460700987931923,0.0,0.02108907699584961
1.8,-3.3816173575375433e-06,3.051659405173268e-07,3.988500520945598e-06,0.02193999683491765,0.02230670292645309,0.022638342771819708,0.0,0.02233266830444336
2.0,-4.5086915238406315e-06,1.29968871078745e-07,4.388659780752639e-06,0.022854901272282516,0.0233477210945846,0.023724562887069183,0.0,0.023314476013183594
2.2,-6.3972088246695585e-06,1.6214464949371176e-07,4.3021137173322025e-06,0.0237005779823756,0.02404314676393681,0.024355710526384997,0.0,0.023999691009521484
2.4000000000000004,-5.765585760349313e-06,2.747087866813066e-07,4.900034178088122e-06,0.0239437530219324,0.02433578490684046,0.02469132343241256,0.0,0.024332523345947266
2.6,-7.2447135790055215e-06,-1.5917141809040914e-07,4.9449690559154725e-06,0.026567942878868,0.026921494796570276,0.027291292926019735,0.0,0.026873111724853516
2.8000000000000003,-6.743999496286773e-06,3.5213717922033536e-07,5.452169735934178e-06,0.03385619611323889,0.03425120988954716,0.034614742781164755,0.0,0.03428220748901367
3.0,-7.006358272095719e-06,1.00982275057504e-06,7.858521762072106e-06,0.0468686172999185,0.047219088867004856,0.04753589130403346,0.0,0.04722166061401367
3.2,-6.5054136525881055e-06,8.221287113959382e-07,9.431904453022041e-06,0.06519737640163012,0.06567735989361621,0.06607192256887053,0.0,0.06568765640258789
3.4000000000000004,-7.085956396169367e-06,7.860706045903498e-07,9.162383392563171e-06,0.08374191919000022,0.08415712991823372,0.08450783589242725,0.0,0.08414506912231445
3.6,-1.0852533859606083e-05,3.561234003276089e-07,9.83562319161114e-06,0.09179211058045511,0.09209333419272916,0.09244250150414672,0.0,0.09208154678344727
3.8000000000000003,-1.2792387195202747e-05,6.497982652338881e-07,9.840123921697215e-06,0.0916737774013098,0.0920643456724248,0.0922939012391307,0.0,0.09208154678344727
4.0,-1.3896851148698303e-05,-2.507674283454738e-07,1.1310295924627634e-05,0.09173417784896078,0.09207383473187304,0.09245892562516572,0.0,0.09208154678344727
4.2,-1.5471340964575724e-05,-4.5265748970753824e-07,1.5308440375555147e-05,0.09174265358697181,0.09208389599591113,0.09242521318905327,0.0,0.09208154678344727
4.4,0.004768442099285603,0.004782737561812004,0.0048025154561021485,0.09171513116811358,0.09209858575929818,0.09243952134118594,0.004787445068359375,0.09208154678344727
4.6000000000000005,0.017641549720388467,0.017658579275012017,0.017680384125439784,0.09171773885634699,0.09205956458518522,0.09248837322384444,0.01768970489501953,0.09208154678344727
4.800000000000001,0.033380866888391494,0.03340493619441986,0.0334322320269133,0.09161211642079507,0.09207656541933236,0.0924474159791842,0.033435821533203125,0.09208154678344727
5.0,0.053784056191454835,0.05381435076395671,0.053839715568446155,0.09175255992358776,0.09209471702048795,0.0924944410411644,0.05400514602661133,0.09208154678344727
5.2,0.07884790244257453,0.07888038297494253,0.07890985952384238,0.09177647925827853,0.09206740378806608,0.09239646592563275,0.07907438278198242,0.09208154678344727
5.4,0.09639808284070271,0.09642479538917542,0.09646875094544935,0.09165544299297258,0.09209373155702767,0.09250051176797311,0.09654784202575684,0.09208154678344727
5.6000000000000005,0.10494232484903201,0.10497431685527166,0.1050226082087394,0.09176203401897762,0.09207361538678027,0.09243046440861774,0.10509634017944336,0.09208154678344727
5.800000000000001,0.111075631342573,0.11107785801092783,0.11107956524917528,0.09177343048804988,0.09206909179160612,0.09239646294153693,0.11107873916625977,0.09208154678344727
6.0,0.11199469724665798,0.11199550916751226,0.11199619770043387,0.09178960120802857,0.09208625475038704,0.09242963293301577,0.11196637153625488,0.09208154678344727
6.2,0.10609250580889414,0.1060928691426913,0.10609329799188914,0.09178685936169503,0.09211355526715137,0.09253922501539691,0.1060333251953125,0.09208154678344727
6.4,0.10575199397279961,0.10575240234533946,0.10575273195280376,0.0917030433526879,0.09207620302309212,0.09241688943811359,0.10583877563476562,0.09208154678344727
6.6000000000000005,0.10775290969757524,0.10775340596834819,0.1077539609744895,0.09172785676249595,0.09206395784486947,0.09249513545086357,0.10774493217468262,0.09208154678344727
6.800000000000001,0.10208328673611797,0.10208362778027852,0.10208387440068428,0.09171619513471138,0.09206449190248665,0.09249854184925146,0.1020345687866211,0.09208154678344727
7.0,0.09227748755363908,0.0922777380545934,0.09227802781384417,0.09183220662336182,0.0921283022509974,0.09248951471500885,0.09217333793640137,0.09208154678344727
7.2,0.08283223547038013,0.08283248285452526,0.08283270560203318,0.09168773391410831,0.09206676482627409,0.09234411515893227,0.08274984359741211,0.09208154678344727
7.4,0.07285211775450197,0.07285236209630966,0.07285258919000626,0.0917112568934314,0.09208986917604622,0.09248175120669619,0.0727238655090332,0.09208154678344727
7.6000000000000005,0.061018186528227165,0.06101838394999504,0.06101859565823438,0.09162097059302714,0.09208683649172004,0.09240650633084292,0.06090593338012695,0.09208154678344727
7.800000000000001,0.05087838554750599,0.05087863340973854,0.05087887044061994,0.0917089352465017,0.09209172566204883,0.0924373547066196,0.05076956748962402,0.09208154678344727
8.0,0.03620974784714411,0.03620998173952103,0.03621022286823841,0.09168201182464471,0.09203134854107714,0.09236122465209778,0.03602409362792969,0.09208154678344727
8.200000000000001,0.012331759894731321,0.012331997367242971,0.012332242366390604,0.09176794984395789,0.0920788065539759,0.09247153200087437,0.012079000473022461,0.09208154678344727
8.4,-0.013114066061126846,-0.013113828785717487,-0.013113581051612956,0.09159525725056002,0.09208133696982877,0.09238293567393327,-0.013357877731323242,0.09208154678344727
8.6,-0.02966620184019099,-0.029665965860088666,-0.029665718320777967,0.09168042335459896,0.09207603771954394,0.09250029721150241,-0.02970266342163086,0.09208154678344727
8.8,-0.039035563822878226,-0.03903536260128021,-0.039035186311244634,0.09182064333316668,0.09210612932314095,0.09249139228663239,-0.0390620231628418,0.09208154678344727
9.0,-0.050359238637632545,-0.050359046906232836,-0.05035883677193073,0.09162951805918987,0.09208367347190397,0.09242431917533693,-0.05038928985595703,0.09208154678344727
9.200000000000001,-0.06385817853734749,-0.06385796924432119,-0.06385775273670366,0.09169402817330961,0.09208068847129362,0.09237509468571084,-0.06389212608337402,0.09208154678344727
9.4,-0.07487882673740387,-0.07487860391537349,-0.07487838510424731,0.09163910540830587,0.09212366739381966,0.09253467117896928,-0.07490825653076172,0.09208154678344727
9.600000000000001,-0.08126351647082394,-0.08126308043797811,-0.0812626250088548,0.09170420267364779,0.09209352492759244,0.09251200652545,-0.08126425743103027,0.09208154678344727
9.8,-0.08533538337798628,-0.08533489813407262,-0.08533428944648977,0.09155812058997453,0.09211237271099902,0.09249066806794948,-0.08533668518066406,0.09208154678344727
10.0,-0.09197530150413513,-0.09197487990061443,-0.09197424585001762,0.09173839486804876,0.09207475979595996,0.09251224495468724,-0.0919797420501709,0.09208154678344727
10.200000000000001,-0.10139631982921682,-0.10139584491650264,-0.10139551656321108,0.09165301697665103,0.09207530339032031,0.0924159775091642,-0.10140514373779297,0.09208154678344727
10.4,-0.11070699989795685,-0.1107065482934316,-0.1107061551884233,0.09160804248770667,0.09204811731447396,0.09244076708385726,-0.11071372032165527,0.09208154678344727
10.600000000000001,-0.11876031355938312,-0.11875990450382233,-0.11875929096719075,0.09166941731800482,0.09207749048341927,0.09246353605283239,-0.11877155303955078,0.09208154678344727
10.8,-0.1267029142007402,-0.12670258581638336,-0.12670215554537054,0.09180378708081124,0.09210675874818977,0.0924432376592129,-0.12671184539794922,0.09208154678344727
11.0,-0.1333864372223956,-0.13338603516419728,-0.13338559251281137,0.09173011576165144,0.09207876522808886,0.09245029780553894,-0.1333916187286377,0.09208154678344727
11.200000000000001,-0.13851145859809433,-0.13851100126902263,-0.13851018715654007,0.09173881208422524,0.09207482655316211,0.0924325267170701,-0.13851618766784668,0.09208154678344727
11.4,-0.14106622617700265,-0.14106539368629456,-0.1410646446052211,0.09169742262760625,0.09211573282350716,0.09255624808702334,-0.1410655975341797,0.09208154678344727
