epoch,lr,train_loss,train_action_mse_norm,val_loss,val_action_mse_norm,val_start_loss,val_start_action_mse_norm,val_roll_loss,val_roll_action_mse_norm,val_evt_tail_loss,val_evt_tail_action_mse_norm,active_closed_loop_chunks,train_state_consistency_m2,train_teacher_action_mse_norm,train_selected_xi_mean,train_mixture_nll,train_energy_score,train_diversity_penalty,train_smoothness_penalty,train_map_action_mse_norm,train_probability_entropy_penalty,train_candidate_entropy,train_responsibility_entropy,train_effective_candidates,train_probability_responsibility_l1,train_pairwise_trajectory_distance_norm,train_physics_action_mse_norm,val_mixture_nll,val_energy_score,val_diversity_penalty,val_smoothness_penalty,val_map_action_mse_norm,val_probability_entropy_penalty,val_candidate_entropy,val_responsibility_entropy,val_effective_candidates,val_probability_responsibility_l1,val_pairwise_trajectory_distance_norm,val_physics_action_mse_norm,val_start_mixture_nll,val_start_energy_score,val_start_diversity_penalty,val_start_smoothness_penalty,val_start_map_action_mse_norm,val_start_probability_entropy_penalty,val_start_candidate_entropy,val_start_responsibility_entropy,val_start_effective_candidates,val_start_probability_responsibility_l1,val_start_pairwise_trajectory_distance_norm,val_start_physics_action_mse_norm,val_roll_mixture_nll,val_roll_energy_score,val_roll_diversity_penalty,val_roll_smoothness_penalty,val_roll_map_action_mse_norm,val_roll_probability_entropy_penalty,val_roll_candidate_entropy,val_roll_responsibility_entropy,val_roll_effective_candidates,val_roll_probability_responsibility_l1,val_roll_pairwise_trajectory_distance_norm,val_roll_physics_action_mse_norm,val_evt_tail_mixture_nll,val_evt_tail_energy_score,val_evt_tail_diversity_penalty,val_evt_tail_smoothness_penalty,val_evt_tail_map_action_mse_norm,val_evt_tail_probability_entropy_penalty,val_evt_tail_candidate_entropy,val_evt_tail_responsibility_entropy,val_evt_tail_effective_candidates,val_evt_tail_probability_responsibility_l1,val_evt_tail_pairwise_trajectory_distance_norm,val_evt_tail_physics_action_mse_norm
1,4.999537377156956e-05,1.760125486532173,0.3715991412233937,1.9433302707495204,0.6203169287998944,0.3357014504112681,0.15048844606776188,2.0251369218346595,0.6438083467126213,2.158885997210522,0.7455167116972717,1,0.0,0.0,4.1887235154036855,0.7283230347663464,0.3830178703790813,5.463663239477749e-07,0.2542331084276819,1.1233114550159655,0.0,2.0077100305411255,1.7907542791222018,6.1171164416923185,0.03619196945164048,1.2984861354154884,0.29073432985559206,1.7966434749040812,0.5660883640963555,1.3276142839917333e-06,0.18772477800041829,1.7655378964666164,0.0,2.043573365209278,1.129777039241286,3.223162254755722,0.1321360478348213,1.9743462630600725,0.27829720777066547,0.22059279382784058,0.18688659283518175,2.6577025874304066e-05,0.09572457557101102,0.21418940510791273,0.0,1.929492833154884,1.910812306409049,6.760560604791122,0.004823755833070284,0.3478053276199802,0.22456243103321874,1.8767581757983913,0.5859097291855209,5.071736059885457e-08,0.1926389168471536,1.8441150915338937,0.0,2.0492774068847797,1.0907252906474778,3.0462923705910976,0.13850166374952053,2.0556733050649396,0.28118652296841107,1.9298515261514395,0.6789205748303265,2.6067203199879586e-06,0.18531003235964583,2.266236871922553,0.0,2.0430689879483137,1.1518873282944173,3.274978700326923,0.13069309747196792,2.0232532999701096,0.4407841250452613
2,4.998149686977735e-05,0.7022385066764922,0.1690915175564718,1.8920912128335157,0.5676681777191057,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.717671745899604,0.23541698002597183,0.21146702577025428,6.76959697559279e-05,0.08531529061607017,0.23351904583434002,0.0,1.91512508129329,1.9072382358667366,6.736319726729141,0.004274586918817704,0.24603393590117917,0.2254621275873934,1.731847059603923,0.5553227535374087,5.2181629891999095e-05,0.1555035682703935,1.2291712176971212,0.0,2.0328735270484533,1.1149789922406672,3.183155467368725,0.13119323848876072,1.8462622965583417,0.30626656219178583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.9958374644433185e-05,0.6182948688175051,0.15763396179635525,1.8747855303731695,0.5597892348518934,nan,nan,nan,nan,nan,nan,1,0.0,0.0,6.566409605913069,0.2080163837801706,0.19426182027324576,0.0006230474420602437,0.06449223344434502,0.20279963535907364,0.0,1.8880958415799882,1.8834560579500959,6.578167653588955,0.0030225994238016456,0.18763915425362065,0.19702471657886483,1.711210237764748,0.5635422858544117,0.0001769653378318577,0.14421873061774174,1.1694013984990312,0.0,2.0252561678991086,1.1108488709042668,3.1664143915830936,0.12969767704046883,1.8237067057717877,0.3129776707254971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.9926016009595074e-05,0.5584863998842152,0.14405975598104817,1.8989374176037461,0.5714817811206141,nan,nan,nan,nan,nan,nan,1,0.0,0.0,6.771521918182138,0.18606032648066748,0.17597938949373856,0.001745946730161655,0.05412860741425377,0.18182097261889033,0.0,1.8564676276635386,1.8527905778106448,6.380313212745126,0.0024058300173031887,0.16375148811127907,0.18158899200426712,1.7205761919557332,0.5995790452002125,0.0003790664044104746,0.1341546264483546,1.1512056078951107,0.0,2.013705998154394,1.1027101607002188,3.137811511463285,0.12787398256238766,1.7756425964924076,0.342009866637625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.988443344013272e-05,0.49651080238541845,0.12791941058420606,1.9215751455857886,0.586800088381972,0.19666232857810761,0.10105373833742579,2.00919877124953,0.6110873782449666,2.11545775930001,0.7173563954538964,1,0.0,0.0,6.943174876573821,0.16412802633731363,0.15681962761144838,0.004128554203286116,0.04427766778294327,0.16022894304131025,0.0,1.7954262054894397,1.792303154946733,6.008857777371936,0.0019186029772598847,0.1445368508314572,0.16381995101910848,1.7271547926280573,0.6389041149868053,0.0006525284191828307,0.12930924297701013,1.3172462184470695,0.0,1.9959148432412703,1.0784267022748812,3.0511203783231577,0.12729006688920494,1.7498874156154587,0.37341117830021786,0.12679461679505996,0.12273167821406529,0.013550066888136501,0.03719970818552707,0.12410839287557604,0.0,1.7526599365049602,1.7507324776622826,5.763266730856338,0.0010973988539558362,0.11615735261558968,0.13518178629421146,1.8084693152977058,0.6655421852843407,1.628670676242575e-07,0.13410155749757746,1.382002036482176,0.0,2.008077610616382,1.0448114640558266,2.9155133003024822,0.13359969665534846,1.8315739068025587,0.3854660183797093,1.8423239206550894,0.7275562537023446,0.0006484508798383321,0.12671518586270503,1.4578780799336681,0.0,1.9953476985124114,1.1172143401661943,3.1589227622746563,0.12449436508941232,1.7838396648077155,0.5291173553238703
6,4.983364296691823e-05,0.45265313493378295,0.1168651744228167,1.9440569104723513,0.5989932180804638,nan,nan,nan,nan,nan,nan,1,0.0,0.0,6.974712909480195,0.15041347788735626,0.14455560515840493,0.006179799609635205,0.03834052616336588,0.1474006260545568,0.0,1.7226659089647989,1.7198835060804036,5.589932862080303,0.0016543943864180237,0.13496428144659645,0.14755027373773932,1.7417124724635116,0.6586666632692225,0.0007290513416339356,0.1300704381970675,2.1682923212832654,0.0,1.9853846935705064,1.0700130558323186,3.0161364736700924,0.12713301161077203,1.7357753496212533,0.38884122875467403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.977366417064584e-05,0.4002819899917699,0.10171658081333666,2.0734421744273623,0.6851269762671903,nan,nan,nan,nan,nan,nan,1,0.0,0.0,6.974730617527618,0.13202614352754455,0.12697293555590727,0.007380022029445649,0.03518772585170368,0.1293716846419693,0.0,1.6298407253100624,1.6269993179785498,5.100448145455642,0.0014165290681396477,0.13096783110471175,0.1322484868355931,1.8456627902283729,0.7633799256229693,0.0007011055177892617,0.13374260688688547,5.264579273300245,0.0,1.9634043447234661,1.057839070728941,2.9614186879204354,0.12780761153248796,1.717245023184848,0.43754621084745243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4.9704520174283297e-05,0.38133094996781497,0.09787953224434168,2.0607636917564647,0.6654084562543234,nan,nan,nan,nan,nan,nan,1,0.0,0.0,6.974730616552352,0.12757906476112318,0.12333107506062649,0.008381477031270092,0.032437962445000766,0.12565884221004694,0.0,1.494393622947092,1.4917424416141603,4.459405223577448,0.0012910635526871906,0.12818259639133636,0.12221929201288753,1.8319711111848973,0.741032730166593,0.0007760175304096178,0.1368919358259789,7.3835372232516345,0.0,1.9475360060650933,1.0541234323114086,2.944819787365716,0.12790314375659767,1.7179781065171806,0.43994905545704915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.962623763415739e-05,1.4016319147005383,0.34831537159003056,0.35552005201545533,0.1829368775932822,nan,nan,nan,nan,nan,nan,2,0.0024880197487831494,0.0,6.928508185768683,0.49071005876059254,0.4142154256939053,0.0025261980682069803,0.053234369467015444,0.5589310824177084,0.0,1.5296905337964664,1.4903124756252504,4.50232824375279,0.00990217351895758,0.3258108208832089,0.4101125833587487,0.24123695610930274,0.22979708575397842,0.001540793501422457,0.04500734396252053,0.23275207164433837,0.0,1.543819493144588,1.535038637456435,4.657573317092075,0.002858751485123918,0.2023925558824344,0.22291602534087612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.953884672967752e-05,1.1369880512747945,0.3067919223328807,0.3553155304980176,0.1858735580705889,0.12654249726603228,0.06426445467702549,0.36694294390237203,0.19195420194772725,0.5734078134972146,0.2839635295836021,2,0.002524436163985141,0.0,6.9747040544812196,0.3816497442018694,0.37141799253175667,0.003153377769154867,0.03817023945738782,0.38155892221665016,0.0,1.4023627679595376,1.3965194932927438,4.082750155661183,0.003183069100593599,0.1894654181253762,0.3646765728421784,0.2426263300687196,0.233618768770748,0.002627376299327861,0.03982550352654651,0.23986917840481636,0.0,1.4845828457455186,1.4785974231922867,4.403242237734688,0.0025957771778612362,0.18418435106690986,0.2196467769119997,0.08546724760971611,0.08196033540225577,0.010066558149493067,0.030775770429800176,0.08359964624358812,0.0,1.274824152898897,1.2708066683086,3.583327790457525,0.0009302503970343504,0.15266375175188157,0.07888912121175215,0.25065010960786593,0.24135649202600865,0.002249160406598638,0.04035332129599268,0.24792023412314193,0.0,1.4950707075566738,1.4889868770724521,4.444237681653183,0.0026790536185207943,0.18576035857348677,0.22672655663044156,0.3858158729467747,0.3723123914118277,0.002825380556965752,0.034100870407154156,0.3805144676273289,0.0,1.4855090254177346,1.4771632631293923,4.386948945041767,0.0030899939646856244,0.19442854080804217,0.36677306626807216
