epoch,lr,train_loss,train_action_mse_norm,val_loss,val_action_mse_norm,val_start_loss,val_start_action_mse_norm,val_roll_loss,val_roll_action_mse_norm,val_evt_tail_loss,val_evt_tail_action_mse_norm,active_closed_loop_chunks,train_state_consistency_m2,train_teacher_action_mse_norm,train_selected_xi_mean,train_mixture_nll,train_energy_score,train_diversity_penalty,train_smoothness_penalty,train_probability_entropy_penalty,train_candidate_entropy,train_responsibility_entropy,train_effective_candidates,train_probability_responsibility_l1,train_pairwise_trajectory_distance_norm,val_mixture_nll,val_energy_score,val_diversity_penalty,val_smoothness_penalty,val_probability_entropy_penalty,val_candidate_entropy,val_responsibility_entropy,val_effective_candidates,val_probability_responsibility_l1,val_pairwise_trajectory_distance_norm,val_start_mixture_nll,val_start_energy_score,val_start_diversity_penalty,val_start_smoothness_penalty,val_start_probability_entropy_penalty,val_start_candidate_entropy,val_start_responsibility_entropy,val_start_effective_candidates,val_start_probability_responsibility_l1,val_start_pairwise_trajectory_distance_norm,val_roll_mixture_nll,val_roll_energy_score,val_roll_diversity_penalty,val_roll_smoothness_penalty,val_roll_probability_entropy_penalty,val_roll_candidate_entropy,val_roll_responsibility_entropy,val_roll_effective_candidates,val_roll_probability_responsibility_l1,val_roll_pairwise_trajectory_distance_norm,val_evt_tail_mixture_nll,val_evt_tail_energy_score,val_evt_tail_diversity_penalty,val_evt_tail_smoothness_penalty,val_evt_tail_probability_entropy_penalty,val_evt_tail_candidate_entropy,val_evt_tail_responsibility_entropy,val_evt_tail_effective_candidates,val_evt_tail_probability_responsibility_l1,val_evt_tail_pairwise_trajectory_distance_norm
1,1.999306132616651e-05,0.13531585724803896,0.02505881562102384,0.24691476651888314,0.14217178511026288,0.03139531768301683,0.015677089133933942,0.256833206047382,0.14849652283003156,0.46965300007623456,0.25496234195988876,1,0.0,0.03066718757165289,6.012988853700306,0.038166670967959636,0.03313464481347049,0.016056632102740366,0.0315785882428448,0.49804541079575454,1.0115355282424787,1.0087460246639235,3.1459331633451613,0.0007659774202600233,0.18621085828257042,0.22992476409169538,0.18376138167146114,0.009964155721813335,0.023090727141162077,0.26853715581652615,1.2380519755337773,1.213002013743251,3.4099468436608094,0.008508162803771228,0.2010289168365722,0.026626696870967827,0.01986161834529297,0.024306709442115722,0.030360517090159873,0.012407859059560005,1.5032468992936836,1.5010562970558818,4.4946948658282455,0.0007522897219537526,0.15784161951793102,0.23924817859904413,0.19114465152296906,0.009248674801230598,0.02276256084439054,0.28117307861752944,1.2247922292226492,1.1985993001417106,3.3557094379923305,0.00889595669165448,0.2031882770966852,0.4494969011009074,0.38159647264329327,0.009313492860884618,0.02829984054098008,0.2932025123681804,1.2058659413275556,1.1660058642442133,3.2566012954766794,0.011535708300652495,0.2325323710911841
2,1.9972256003598153e-05,0.33596152049940514,0.09936858061517174,0.17843899658353854,0.11514682827261433,nan,nan,nan,nan,nan,nan,2,0.002483972203607877,0.19514289660028986,3.9746022333605313,0.150917631878193,0.13263142866265062,0.020306917263127087,0.029691587613089033,0.0502503642718623,1.4906612548056526,1.4835306755681155,4.447384051096667,0.003844774433336958,0.16352893542663105,0.17289781732426002,0.15169361104565202,0.023228158264747983,0.023326025431918862,0.0061351736630989254,1.564107007032839,1.5535492809194524,4.752086969883736,0.004575775092476901,0.14845216543328701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.993761611259434e-05,0.7186284702364468,0.2649004245065509,0.17736995676858922,0.11284389319867823,nan,nan,nan,nan,nan,nan,3,0.008054286912481824,0.18186673472467058,4.137783516101721,0.3423556337038403,0.3193696406475022,0.023869927573550026,0.027653583581358776,0.00823655508870714,1.555434958865101,1.5441874444332193,4.70886211088414,0.005458302115352685,0.1564060693719984,0.171197978970115,0.14932626110321962,0.02705660758214896,0.022341268392224903,0.007936227565780336,1.5531735546262164,1.5419714999614174,4.697070688765696,0.004575938921995481,0.15215472674736072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.988919506535624e-05,1.0934872339119666,0.4402680795441158,0.18135018095554328,0.1144766176410582,nan,nan,nan,nan,nan,nan,4,0.018063165143326947,0.16946605604846848,4.599176134731792,0.528086122592405,0.5040504335890066,0.02415545531752276,0.02561017488290835,0.007222238869657034,1.556959246664087,1.5449760449601506,4.7119840113357965,0.006060275044988664,0.15321586920043304,0.17596826553888184,0.152779535145442,0.022977064521989967,0.022657770480747595,0.0036196671220369942,1.5720405584629502,1.5589029285053748,4.777660162085019,0.004950556881524048,0.15564416467827963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9827067523629075e-05,1.4165455814383923,0.5955161528013666,0.18095504127166628,0.11503649663150994,0.03780212882043313,0.02003602237110798,0.1874596569122821,0.11978652035442353,0.3572762121491047,0.20730901255918532,5,0.04207147767309874,0.15463294843364897,4.705805692616747,0.6877634956743122,0.6625628360290322,0.023590538250904895,0.024396905603988554,0.0053178691209814465,1.5649614165925962,1.5525804999323392,4.747755139860064,0.006632489985860716,0.15079012187953547,0.17538231917089092,0.1521131213934748,0.02441835393196375,0.020942447812359214,0.003588264978471189,1.5676872809974747,1.5548734776813988,4.757540091267273,0.004968022588592385,0.1541730505544893,0.03248932068175446,0.025496315664785836,0.02614624331537746,0.04040204310079115,0.014637756405413286,1.5408263883835482,1.5378312967401488,4.670621878640347,0.000932784418005221,0.15870753538408677,0.18188015342202896,0.157832759399267,0.024333606114689297,0.01998836562791625,0.0030250254189115315,1.5690303239524304,1.5557255880809477,4.761885988108738,0.005169784430980442,0.1539463425490753,0.35063115744355117,0.30872129501327134,0.02021953631731061,0.026401001853655865,0.005218108977418789,1.548713732136186,1.5227104886763903,4.618707600265522,0.007799720468068982,0.18431942285376304
6,1.975132928357909e-05,1.408050941678217,0.5892404492617247,0.18878645985057474,0.11711901101493759,nan,nan,nan,nan,nan,nan,5,0.04165583802162416,0.16324337473468659,4.825827274568395,0.6833860949547986,0.6564419871803894,0.022254723278298173,0.023756971293189,0.005084353722249979,1.5634596983071716,1.5503052994054092,4.73699665064936,0.007044483777729484,0.15382003058799767,0.18348619842030844,0.15810340006353926,0.02203079307046693,0.021336831168474783,0.004024792420461146,1.5640671816658624,1.5498361228741477,4.734453508345847,0.005400224104813931,0.16199192864244646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9662097128082828e-05,1.40366759173458,0.5857579265271944,0.1818390791214895,0.11358010380867674,nan,nan,nan,nan,nan,nan,5,0.0415665748905836,0.16790918916550665,4.889032602080086,0.6811296415639502,0.6529518520503912,0.02163081446100386,0.023732259218887417,0.0043780623625065745,1.5654135993048353,1.5517935794517967,4.7439012200477535,0.007276311199643074,0.15639194594209735,0.1765030455357987,0.15189055451801195,0.023187960720321883,0.021537333819443276,0.0024712087986162954,1.5710068898857086,1.5577463608881064,4.769677550279599,0.005157056672156738,0.16052990996612948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.9559508646656387e-05,1.4029157196438,0.5830029391464964,0.1842406492932321,0.11201785039663964,nan,nan,nan,nan,nan,nan,5,0.04135139048810385,0.17413415988082803,4.939736051704598,0.6805761693524406,0.6513359086112415,0.02095292731376435,0.023790263017071718,0.004264267526681139,1.5642020717392122,1.5500926323855198,4.736142327554278,0.007479885433311971,0.15897286709754224,0.1793561438260871,0.15164460453810535,0.020093374104382153,0.020720922318010187,0.0029368772841882403,1.5678558906424662,1.5530756644406616,4.749116429298283,0.005573408916861976,0.16880424858083146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.9443722023302363e-05,1.4037830848297113,0.5814985213574584,0.1868451223593581,0.11487731156581864,nan,nan,nan,nan,nan,nan,5,0.04140896726718185,0.17914885877082615,4.964313063072628,0.6809197620241992,0.6506819754521508,0.02010862254128519,0.023625692130044826,0.003690325727914666,1.565916688538089,1.5513977210669867,4.742140847785508,0.0076675056307036115,0.16135975907706548,0.18159960125024024,0.15480215074970466,0.02261766024556146,0.019917280692431826,0.00211354231162724,1.5712598060830942,1.5557098956191804,4.761011798497594,0.00553457021369722,0.1666997345820478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.9314915792601585e-05,1.4011051343094933,0.5806251678233493,0.18421393438742312,0.1124522966993117,0.03848057366372438,0.02090146299555691,0.1907795779080994,0.11702984273661937,0.3695093967913381,0.2059167920685624,5,0.04147155425159751,0.18427725144473237,4.981831629890165,0.6793242083264114,0.6496383111816109,0.02020228966562233,0.0232416796325619,0.003635454569552779,1.5640298558711883,1.5498067297054412,4.734024652022054,0.007579440816219812,0.1613853086112413,0.17943769763768525,0.15162362072980087,0.01956992666281258,0.020716416565301026,0.0023469442894927194,1.5674800366157084,1.5528596211348797,4.746675777248236,0.005574857349924752,0.1707838847200507,0.03371788550486749,0.02611970859432265,0.02421430335971009,0.04301920501610503,0.008783069026142303,1.559332101381089,1.556579866470498,4.757930781080767,0.0009228128987724777,0.16475456314991532,0.18600949445981907,0.15721145608316073,0.019341463902273107,0.01961556309782072,0.002011866494222114,1.5678874357816128,1.5526736109776418,4.746113067402699,0.005807459616921403,0.17108535086694057,0.36370843762743305,0.31529088015651346,0.014828374323429367,0.02672744982095695,0.0031306071233322143,1.5538541689963157,1.5253391602694122,4.627956283159383,0.008831577349873266,0.20482382502654975
