controller,factual_ade_m,factual_fde_m,factual_p95_m,event_energy_score,event_count,futures_per_event
frozen_hiqr,0.12442723661661148,0.23228144645690918,0.40103805065154996,131.06537948090386,265,32
idm_only,0.1979692131280899,0.4289378225803375,0.5982708096504207,67.72321575863072,265,32
a2_transfer,1.1714106798171997,2.914879560470581,4.212145614623977,80.67302040385117,265,32
calibrated_residual,0.13643154501914978,0.25714465975761414,0.4447479128837585,72.51124973976606,265,32
calibrated_supervised,0.13595697283744812,0.2565534710884094,0.4441152825951573,72.49503414576998,265,32
