epoch,stage,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_start_prior_roll_loss,train_start_prior_endpoint_loss,train_start_prior_control_loss,train_anchor_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_anchor_loss,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_start_prior_roll_loss,val_start_prior_endpoint_loss,val_start_prior_control_loss,val_roll_mode_ADE_m,val_roll_mode_FDE_m,val_roll_mode_1s_FDE_m,val_roll_mode_1s_gap_MAE_m,m0_1s_gate_pass,stage_gate_passed_so_far
1,roll,0.9,1.931739549831028,0.1043520161199354,0.028274393990231315,0.17884527573286138,0.03525337639235263,0.24016468447730013,0.1527040275783021,0.13787862368568576,0.05975426391306506,0.06923363185845889,0.24581495311734902,0.7231978612248174,4.672588928792272,0.45843691456371843,0.03910391855293809,15.212669683257918,2.901184489329656,0.3763078898191452,0.4384456879148881,0.42552545728782815,0.6113754846155643,0.5943535082042217,0.03783449336575965,0.7887453498939673,4.377921923995018,0.2621135478839278,0.756737175087134,0.09605818226312597,1.1361236460506916,0.03206118467884759,0.5893841795623302,0.5022287325312694,0.03761746214392284,0.1517513788615664,0.15282794491698345,0.05877545056864619,0.06799712466696899,0.2436228133738041,0.19180826659535652,0.7777435436242608,0.04145968986181262,0.026128163621636162,1.0,0.0
2,roll,0.8,1.8993901764105887,0.10610464211907322,0.030657975559388352,0.18699602057896048,0.03759660050947202,0.25253667485188036,0.15324658701592442,0.1394674372753946,0.05867911322354192,0.06762872194677456,0.2457243038248692,0.694280327714946,4.573705513552842,0.5408335092110871,0.03911255458496275,15.665158371040723,2.861598402261734,0.37576774569849175,0.43889570236206055,0.4210117527594169,0.6122662362953027,0.5879313126206398,0.03761763645646473,0.7645949584742388,4.322784274816513,0.2720047024389108,0.6636092824240526,0.16023198484132686,1.1439776457846165,0.031951327652980886,0.5817985199391842,0.554845771441857,0.03761746214392284,0.15059202009191117,0.15119755702714124,0.05796352463463942,0.0667947157441328,0.24359344380597273,0.19023957191250027,0.7705263594122552,0.04140606265007251,0.02616355429676204,1.0,0.0
3,roll,0.7,1.8663419868072233,0.1095784357432866,0.03367482662639197,0.1785691464446249,0.04071381908938356,0.24031269904310348,0.15466145166444561,0.13957091933327023,0.05786480471424388,0.06641176118772493,0.24583030448240392,0.6724843366653132,4.548615632553446,0.6003479741817146,0.039116618606974095,15.104072398190045,2.8210678497950235,0.376193846265475,0.4397011523445447,0.42231404160459834,0.6138988770544529,0.590102531015873,0.0373655422590673,0.7311371465524038,4.303521956006686,0.28291884809732437,0.6410776451230049,0.175868710813423,1.1453505804141362,0.03185547313963374,0.5770927301297585,0.6224146497746309,0.03761746214392284,0.15098036266863346,0.1516003729775548,0.057114775525406,0.06544774312836428,0.24382581313451132,0.19114249833921532,0.7749537594448618,0.04137617848119113,0.026208404811380877,1.0,0.0
4,roll,0.6,1.8445812258785126,0.1117398444546294,0.03727552362157209,0.18270780538878828,0.04452735839656036,0.24706869226842446,0.15443904097803038,0.1401428163591014,0.056974274506666,0.06484608539291636,0.24612198965581833,0.6518547726432662,4.520972715783443,0.659576164920945,0.03910950663166618,15.384615384615385,2.781492978334427,0.3754412805040677,0.43864631404479343,0.4223421874145667,0.6125507454077402,0.5898345969617367,0.0371170190628618,0.7050494998693466,4.273584961891174,0.2931697728733222,0.6064747634033362,0.18491078292330107,1.1479426013926666,0.03151379649837812,0.5741060363749663,0.6722040449579557,0.03761746214392284,0.15107640903443098,0.15154868053893247,0.056192583249260984,0.06374947912991047,0.24427703116089106,0.1920822042496549,0.7758921956852997,0.04125299768409012,0.02623600021446944,1.0,0.0
5,roll,0.5,1.8245409678549789,0.11568691160074726,0.04207962023187007,0.17983826421774352,0.049867560235758175,0.24311815473626103,0.15523638896542977,0.14045227528022963,0.05606304446226871,0.0630343193820429,0.24650131887440227,0.6382773852995618,4.487370474845576,0.7023037205454451,0.03913439843989066,15.171945701357465,2.755630701780319,0.3768477377792199,0.44076420987645787,0.4260522971550624,0.6160580317179362,0.5952218336363634,0.03694789779062072,0.6839495562016964,4.2388177663087845,0.299838970725735,0.5721666266520818,0.18995543662458658,1.1574864114324253,0.03149442945141345,0.5711981393396854,0.7112360050280889,0.03761746214392284,0.15176758511612812,0.1523519384985169,0.055344765384991966,0.06198236703251799,0.24461245816200972,0.19407073119594223,0.7827246896602404,0.0410967950079998,0.026261418703938104,1.0,0.0
6,roll,0.4,1.813240178569949,0.11959290669649435,0.048848174815803634,0.17443061422775774,0.05775282459493676,0.23579129020417977,0.1538302377203471,0.13781439883811442,0.055165934633480476,0.06127665287970957,0.24683787393893591,0.6339361548963176,4.451184777652516,0.7352282801364881,0.03912652447415153,15.0,2.738052954276403,0.3765872176736593,0.4402394574135542,0.4299753022690614,0.6153409443795681,0.6011427529156208,0.03675224973509709,0.6746600642800331,4.204488769173622,0.3044356281558673,0.5349769083162149,0.1901798639446497,1.1794648071130116,0.03128628502599895,0.5697487698247036,0.7419927716255188,0.03761746214392284,0.15219467909385762,0.15276048394540945,0.05447695800103247,0.060372765098387994,0.24494596105068922,0.19587662635338496,0.7892471727953088,0.04094490631974071,0.0262891855202011,1.0,0.0
7,roll,0.30000000000000004,1.8250375085286965,0.1265087113188942,0.0592024971760506,0.17878322294866877,0.0706637675507306,0.24211508920626942,0.15413028123152203,0.1385387847393886,0.05442441735264942,0.06009789952393031,0.2470787176988783,0.6335442794394169,4.41324573296767,0.7608051205652332,0.0391062046085143,15.14027149321267,2.714924931526184,0.3760545514523983,0.4397400990128517,0.43231670061747235,0.6145201635857424,0.6041166173915068,0.03656680781083802,0.6587172287205855,4.1589269787073135,0.30291239855190116,0.4998592870930831,0.18986624324073395,1.2145849913358688,0.031225957713710766,0.5662833750247955,0.7624260373413563,0.03761746214392284,0.1518474593758583,0.1521036901200811,0.053831674779454865,0.05940925803345939,0.2453104512145122,0.1973318631851186,0.7914828389942152,0.04090583206273041,0.02632035978904874,1.0,0.0
8,roll,0.19999999999999996,1.8532723156035755,0.13887777880710714,0.07635334981984682,0.17968455658239477,0.09319198751881112,0.2434141108791483,0.15580288755677943,0.14005426300596868,0.053930752215342284,0.05946079154427235,0.24738846368649425,0.6375317845948681,4.376511707564824,0.7740070517785949,0.039115348502117044,14.990950226244344,2.7053515315055847,0.3750718664377928,0.43782443180680275,0.43352658425768215,0.6114324579636256,0.6053846143186092,0.03641399935198327,0.6555882046620051,4.126491134365399,0.29920511568586033,0.4710000188400348,0.18654535648723444,1.2658126925428708,0.030990473732041817,0.5644594021141529,0.7754171205063661,0.03761746214392284,0.15196460423370203,0.15209525854637226,0.05345253770550092,0.05898209110212823,0.24546225431064764,0.19855905507880087,0.7932784268546459,0.0409465420335449,0.02635567864489457,1.0,0.0
9,roll,0.09999999999999998,1.9110319813991563,0.16137752584202797,0.10990942896626114,0.17933326226351487,0.1399696367493582,0.24318163251984712,0.1567293970563293,0.14143062962800668,0.053695369646694864,0.059209569968384314,0.2476805492359049,0.6429984245904431,4.343705025193918,0.7789675973659187,0.039117634616691065,14.981900452488688,2.697323431571325,0.37476307215789956,0.43664913934965927,0.43733901406327885,0.609568927437067,0.6109021417796612,0.03627538882816831,0.6476944039265314,4.099660779039065,0.29372295551002026,0.4553348111609618,0.17559849129368862,1.3132317240039508,0.030989473685622215,0.5631414260715246,0.7774556862811247,0.03761746214392284,0.15248454237977663,0.1525917217756311,0.05326596174078683,0.058835133289297424,0.24581725150346756,0.2002857132575571,0.7997227653884732,0.041013130828869454,0.02638763348309568,1.0,0.0
10,roll,0.0,2.073252033324263,0.21752028160505166,0.19698081393115122,0.1952177422180165,0.2662923650234533,0.2662379782124342,0.15449120279620676,0.14008684473204935,0.05355297337492666,0.05907467653241632,0.24790679781415345,0.6487460497817302,4.310649248269888,0.7784499237440291,0.03910899860152292,15.800904977375566,2.6862142980098724,0.3737015575170517,0.4349335879087448,0.4374981640527646,0.6067016497254372,0.6104909057418505,0.03608392893026272,0.6409464826186498,4.0694333265225096,0.28710411054392654,0.4328383505344391,0.1725519864509503,1.3668665265043576,0.03098500508349389,0.5608474463224411,0.7737757662932078,0.03761746214392284,0.15197258287419876,0.15173594684650502,0.053238497814163566,0.05878153947802881,0.24597111282249293,0.2010276777091293,0.7988233350165044,0.04108450261368394,0.026404241250357875,1.0,0.0
