train/loss,train/reconstruction,train/kl,train/destination,epoch,step,val/loss,val/reconstruction,val/kl,val/destination
1.4113160371780396,0.051730815321207047,1.2000001668930054,0.15958499908447266,0,199,,,,
1.4384818077087402,0.05884789302945137,1.2000000476837158,0.17963391542434692,0,399,,,,
1.3099654912948608,0.05570279061794281,1.2000001668930054,0.05426255613565445,0,599,,,,
1.4059511423110962,0.05709277093410492,1.1999999284744263,0.14885838329792023,0,799,,,,
1.2970134019851685,0.04831398278474808,1.2000000476837158,0.048699360340833664,0,999,,,,
1.3197253942489624,0.03185438737273216,1.2000001668930054,0.08787081390619278,0,1199,,,,
1.3406943082809448,0.03438033163547516,1.2000000476837158,0.10631392896175385,0,1399,,,,
,,,,0,1516,1.3620725870132446,0.0645979791879654,1.2000000476837158,0.09747461974620819
1.2811353206634521,0.029279837384819984,1.2000000476837158,0.051855504512786865,1,1599,,,,
1.2919012308120728,0.028896478936076164,1.2020049095153809,0.06099989265203476,1,1799,,,,
1.2831931114196777,0.02598194219172001,1.2000000476837158,0.05721111223101616,1,1999,,,,
1.2979425191879272,0.02716277353465557,1.20268714427948,0.06809261441230774,1,2199,,,,
1.2779831886291504,0.025945885106921196,1.2025552988052368,0.049482040107250214,1,2399,,,,
1.2768229246139526,0.02942798286676407,1.2000000476837158,0.047394923865795135,1,2599,,,,
1.2387183904647827,0.025943031534552574,1.2011560201644897,0.011619314551353455,1,2799,,,,
1.314291000366211,0.031619053333997726,1.2011774778366089,0.08149444311857224,1,2999,,,,
,,,,1,3033,1.4286725521087646,0.11519792675971985,1.2000263929367065,0.1134483814239502
1.2967936992645264,0.02578069269657135,1.2013516426086426,0.06966142356395721,2,3199,,,,
1.2811288833618164,0.026773439720273018,1.2002220153808594,0.05413338169455528,2,3399,,,,
1.2840020656585693,0.026867220178246498,1.2065002918243408,0.050634562969207764,2,3599,,,,
1.3110250234603882,0.023678360506892204,1.202193021774292,0.08515365421772003,2,3799,,,,
1.4136772155761719,0.022069351747632027,1.20039701461792,0.19121092557907104,2,3999,,,,
1.262701392173767,0.026387516409158707,1.2015153169631958,0.03479846939444542,2,4199,,,,
1.4324281215667725,0.03227989003062248,1.212502360343933,0.18764589726924896,2,4399,,,,
,,,,2,4550,1.3221346139907837,0.0467548631131649,1.2000000476837158,0.07537973672151566
1.320565938949585,0.030072366818785667,1.2048649787902832,0.08562865108251572,3,4599,,,,
1.298174500465393,0.034325309097766876,1.2001683712005615,0.06368076056241989,3,4799,,,,
1.2640206813812256,0.027229148894548416,1.2033061981201172,0.033485252410173416,3,4999,,,,
1.2969565391540527,0.02646161988377571,1.2008754014968872,0.06961952149868011,3,5199,,,,
1.2863478660583496,0.026167131960392,1.2013928890228271,0.058787792921066284,3,5399,,,,
1.2623085975646973,0.02853947877883911,1.2003270387649536,0.03344201296567917,3,5599,,,,
1.3660624027252197,0.02822217345237732,1.2006405591964722,0.13719959557056427,3,5799,,,,
1.2933616638183594,0.026356328278779984,1.2004157304763794,0.06658955663442612,3,5999,,,,
,,,,3,6067,1.307867407798767,0.0332394540309906,1.2000000476837158,0.07462795823812485
1.298012375831604,0.030511409044265747,1.201699137687683,0.06580191105604172,4,6199,,,,
1.3007627725601196,0.025999562814831734,1.2012470960617065,0.07351615279912949,4,6399,,,,
1.2659732103347778,0.028184641152620316,1.1999999284744263,0.037788670510053635,4,6599,,,,
1.2711845636367798,0.025251872837543488,1.2026447057724,0.043288007378578186,4,6799,,,,
1.2453020811080933,0.02709999307990074,1.2000000476837158,0.01820208691060543,4,6999,,,,
1.301971673965454,0.02065185457468033,1.2021816968917847,0.07913820445537567,4,7199,,,,
1.2921501398086548,0.03012845292687416,1.201053261756897,0.060968346893787384,4,7399,,,,
,,,,4,7584,1.3010504245758057,0.038365188986063004,1.2000010013580322,0.06268418580293655
1.262253761291504,0.028647007420659065,1.2013219594955444,0.0322846882045269,5,7599,,,,
1.2529654502868652,0.03236036375164986,1.2001500129699707,0.020455125719308853,5,7799,,,,
1.323599934577942,0.038434647023677826,1.2041658163070679,0.08099950850009918,5,7999,,,,
1.2672638893127441,0.026617422699928284,1.2010210752487183,0.03962542116641998,5,8199,,,,
1.2939391136169434,0.02687806636095047,1.2006642818450928,0.06639672070741653,5,8399,,,,
1.309424638748169,0.025682752951979637,1.201141357421875,0.08260051161050797,5,8599,,,,
1.2818759679794312,0.03082764334976673,1.200999140739441,0.050049178302288055,5,8799,,,,
