level,num_samples,subset_threshold,score_mean,score_p90,score_p95,score_max,risk_mean,risk_max,failure_fraction,collision_fraction,numerical_valid_fraction,proposal_acceptance_rate,chain_moved_fraction
0,512,2.5980488419160257,2.098385579200669,2.5980488419160257,2.870338746146633,4.521625705909435,0.049227528274059296,0.7560523748397827,0.0,0.001953125,1.0,0.37890625,0.630859375
1,512,3.55074414147156,3.0055188074500236,3.55074414147156,3.8188027927019785,5.027248008646789,0.3458636999130249,0.8508571982383728,0.005859375,0.005859375,1.0,0.2760416666666667,0.587890625
2,512,4.472571065177838,3.9713816748331165,4.472571065177838,4.690696006111069,8.493597302752956,0.6283020973205566,1.2328202724456787,0.064453125,0.04296875,1.0,0.10221354166666667,0.2421875
3,512,5.655861813280833,4.965607636497078,5.655861813280833,6.385711911170084,9.900141908663928,0.8289006352424622,1.307071566581726,0.650390625,0.412109375,1.0,,
