epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,0.0,2.2736228629003596,0.5991964242126369,0.7493871744674973,0.7470329939564572,1.0132666637625876,1.009447970722295,0.1383435296106942,0.15651883581016637,3.560125586352771,0.1253780841450148,0.04239599939577187,25.0,2.220862977206707,0.5837821140885353,0.7302451692521572,0.727131761610508,0.9876246340572834,0.9830098673701286,0.02599440549965948,3.594078928232193,0.17569831013679504,0.25774919986724854,0.022131933190394193,1.2794004902243614,0.029502591933123767,0.5578293520957232,0.1181338238529861,0.03955485159531236,0.13421675469726324,0.15166177228093147,0.3736464682151522,1.2666370198803432
2,0.0,2.266561295412764,0.5983827823325049,0.7483059514926959,0.7458984761298457,1.0119898613495162,1.0081947106349318,0.1384497010443784,0.1567350921185711,3.479481846471376,0.12066369767807707,0.04216525048206124,25.0,2.226090729236603,0.5854772478342056,0.7326078340411186,0.7283645570278168,0.9910936579108238,0.9846693202853203,0.02599166438449174,3.592821344733238,0.17386332992464304,0.2596869170665741,0.021702964149881154,1.2804987095296383,0.029564796946942806,0.5575757436454296,0.11908386228606105,0.03955485159531236,0.13443867210298777,0.15186843927949667,0.37656000722797855,1.2804168893564172
3,0.0,2.279059073593043,0.6019025022470499,0.7528424413898324,0.750305522091781,1.0184633988368361,1.0144305070744286,0.139346664842171,0.15778666112241865,3.480172163323511,0.12382080189034908,0.043030559049942824,25.0,2.218936897814274,0.5837233122438192,0.7301466502249241,0.7276581488549709,0.9876242056488991,0.9837717935442924,0.02598933153785765,3.548175662755966,0.17165426909923553,0.2613691622391343,0.02195619564736262,1.2686907760798931,0.029083787347190082,0.5493879057466984,0.11986092757433653,0.03955485159531236,0.13440863648429513,0.15187576320022345,0.3743243083171114,1.2706243502340155
4,0.0,2.2799992621699467,0.6022326523744608,0.7532764243174203,0.7512785520734666,1.0187368468393254,1.0155322468733485,0.13902951692101323,0.15723801394806633,3.464232423637487,0.12193921670506272,0.04271327918749067,25.0,2.2204967737197876,0.5844211168587208,0.7311513125896454,0.7284598350524902,0.9890634603798389,0.9849168621003628,0.02598852221854031,3.529290571808815,0.1743520637974143,0.2508975090458989,0.020681595080532134,1.3057364746928215,0.029389493633061647,0.5455071572214365,0.1139519028365612,0.03955485159531236,0.13443252118304372,0.15189142432063818,0.3754529768676411,1.2751464739754164
