x_ego,y_ego,x_tar,y_tar
0.0,0.0,202.668,3.65
3.5760002,0.0,199.092,3.6500003
7.1520004,0.0,195.51599,3.6500006
10.728001,0.0,191.93903,3.6410058
14.304001,0.0,188.3599,3.6047854
17.880001,0.0,184.78014,3.537312
21.456001,0.0,181.20192,3.4442623
25.032001,0.0,177.62463,3.3327816
28.608002,0.0,174.04816,3.2122092
32.184002,0.0,170.47385,3.0898132
35.760002,0.0,166.90149,2.9658453
39.336002,0.0,163.32864,2.8417494
42.912003,0.0,159.75323,2.7199275
46.488003,0.0,156.17636,2.5995765
50.064003,0.0,152.60074,2.4734185
53.640003,0.0,149.02623,2.3348532
57.216003,0.0,145.45135,2.1778128
60.792004,0.0,141.87708,1.9998251
64.368004,0.0,138.30235,1.8126135
67.944,0.0,134.72624,1.6276045
71.520004,0.0,131.15013,1.4425955
75.09194,-0.016949538,127.57402,1.2575865
78.63495,-0.07311104,123.99791,1.0725775
82.086975,-0.13722749,120.4218,0.8875685
85.36834,-0.20077738,116.84569,0.7025595
88.48177,-0.29705888,113.26958,0.51755047
