x_ego,y_ego
88.48174458821615,-0.2957290319601695
91.42376210530598,-0.4026735273996989
94.18187656213489,-0.48713995621292694
96.7682826586789,-0.5265468107254254
99.13437091647579,-0.5246576452573231
101.27855297410112,-0.5138802018124102
103.2875245591225,-0.4944450622023575
105.25478953947486,-0.46309384411571763
107.21419454445112,-0.4432944748001742
109.14083591867207,-0.4461886342100671
111.03447584291493,-0.4704861710417998
112.92002527281606,-0.502223660315505
114.71931753494398,-0.5155683568933614
116.35984956307254,-0.5106848650579453
117.84639393108097,-0.4868856846478936
119.15776433465449,-0.45197461337106
120.3342075189854,-0.42289776849999716
121.42898867610707,-0.3861409367741457
122.43583525902713,-0.3466172868087981
123.39464320319709,-0.304751953248379
124.3452326484533,-0.2581572190188516
125.28752574261222,-0.20655498798725166
126.22125399374136,-0.14537400466962527
127.14682358011989,-0.08217562234637485
128.0417313994981,-0.020156476211789832
128.90641413156922,0.03415088637746601
129.76301945981388,0.08937841486963191
130.58143004496048,0.14358982884462682
131.3621279116869,0.18896154319352404
132.13533947382788,0.2241334870055849
132.13533947382788,0.2241334870055849
