x_tar,y_tar
116.84233856201172,-0.20503410696983337
113.27099106031541,-0.533878053065805
109.71713953568184,-0.7789277547016699
106.19926245224816,-0.8989665409934775
102.70258670690333,-0.9110321973992968
99.21887091169354,-0.8567145638296233
95.77258706168256,-0.7527027613417335
92.33486139140604,-0.6797106623369509
88.85844027090286,-0.7134167310567207
85.34912291989573,-0.9966653065939296
81.84248933032035,-1.6140895856235467
78.36119260255458,-2.5971178509672788
74.88853737534502,-3.9151293649858925
71.45515649423015,-5.573691136569611
68.10399406520116,-7.56501695749787
64.86625213342394,-9.879804806818436
61.76940684275167,-12.507518810101963
58.83468806608905,-15.436460109730554
56.09565219228246,-18.650738725899096
53.584229593827814,-22.125591475567973
51.31452452257497,-25.84526981371765
49.29834952727908,-29.797413234656265
47.53882913591255,-33.97241217592493
46.04675771533964,-38.36088140538838
44.83403808564525,-42.94532864347524
43.91943265330043,-47.702478856549924
43.32056479784788,-52.59978589801866
43.05292449675656,-57.60130532895491
43.12470887368552,-62.67513798676232
43.53840096346549,-67.80255198817521
43.53840096346549,-67.80255198817521
NaN,NaN
116.84752655029297,-0.20496132969856262
113.25631178815263,-0.5457807293433077
109.63552928791955,-0.8558578277334956
105.96898043978078,-1.0640057627347757
102.26589985463542,-1.0541534365163328
98.55038057837167,-0.810091923913005
94.84764063530525,-0.32188645510529174
91.21629936890001,0.4719402895876405
87.70904993034556,1.5782240855415062
84.36146014821877,2.994062046881375
81.18342738699779,4.69897747749147
78.18912406013834,6.698809706293226
75.39468197728024,8.989536260188249
72.81764575055493,11.55491951601188
70.49092820613777,14.364258128543813
68.45285459365391,17.37663332775215
66.72113180169733,20.56645283036314
65.30635285297714,23.91019262495538
64.215163471094,27.389282211749048
63.45905036081673,30.96859591150438
63.0524001279805,34.593889324135496
62.99942556677182,38.219483942130346
63.30032246921386,41.830907667231074
63.94981356408475,45.42334713057958
64.94357728495926,48.9544121794149
66.26115183182564,52.35599824514021
67.87514210018217,55.56392326844537
69.76146024629203,58.538975454227064
71.90739381546578,61.261539656274444
74.29146418246735,63.718339134132165
74.29146418246735,63.718339134132165
NaN,NaN
116.84386444091797,-0.20501236617565155
113.2894489719893,-0.5518840506269922
109.79257558972834,-0.8798261043780844
106.3674438933981,-1.1521244286006125
103.01931446894741,-1.3395447153394195
99.74414428803885,-1.4277639601232999
96.53869321995076,-1.4551995542284164
93.41184159031668,-1.4078745242446904
90.3703321322647,-1.302862500929144
87.41590409475083,-1.2781880737552989
84.55433087987743,-1.418809515764419
81.7863951755507,-1.76300006353376
79.10738278245432,-2.340927138341095
76.55366112206569,-3.2096626637484094
74.20034007259461,-4.42039909541448
72.07623521656123,-5.9123313831476825
70.22760174552688,-7.629970869679786
68.70102287355279,-9.528962521679532
67.51434624305105,-11.549028158796805
66.69950409379601,-13.663008014254832
66.24639195900053,-15.842427827213402
66.15826534554371,-18.044630464704667
66.42261116324927,-20.189545519068815
67.04246589569631,-22.20001790852696
67.97848057050201,-24.032898254689673
69.16586102855722,-25.648878719161615
70.55888093558555,-27.018254733763605
72.13582850551467,-28.093873369746056
73.85261935656769,-28.819609268506877
75.64826409578099,-29.16276485817769
75.64826409578099,-29.16276485817769
NaN,NaN
116.84880065917969,-0.20503361523151398
113.24921382482856,-0.565710033368781
109.62183001324402,-0.960589345839823
105.96242929952265,-1.3344014520560428
102.25244777650705,-1.5506250120663068
98.50346803794585,-1.514084256561848
94.72408576313849,-1.228313929388937
90.93014374442551,-0.6420122354840728
87.16168582655718,0.2793852222821305
83.45590672973631,1.5399481263908987
79.8446498880982,3.130645025094114
76.36828620299035,5.0466849323132035
73.07175553714742,7.263433756240171
69.98794034057713,9.75277865547469
67.09303579655396,12.45287262239991
64.32525986181065,15.274907339350287
61.77258744076106,18.28078124868871
59.49909581458613,21.497685290101714
57.53031418761989,24.906707235403754
55.87939015805668,28.467855028186413
54.55837065612673,32.15702179467336
53.562683067079355,35.94583125759157
52.834084013475156,39.77669523871584
52.277319519878425,43.616200467206056
51.87637534348016,47.45604871092943
51.5200442078034,51.295305583200964
51.111877239485544,55.14760195808418
50.65904994424138,59.019317779756065
50.12528321820643,62.916912168857024
49.52273346479804,66.8360123492099
49.52273346479804,66.8360123492099
NaN,NaN
116.84175872802734,-0.20497824251651764
113.26987293007294,-0.5539754744032905
109.71428359097644,-0.9341813763639848
106.18112414799738,-1.4157937518273027
102.65311428364534,-2.022405659512846
99.12628139583944,-2.7999634438143133
95.61502601590914,-3.7758995382902
92.16743076850899,-4.973221548642708
88.85329301325996,-6.463018056050673
85.7036988869997,-8.275663114989241
82.74379409930681,-10.389701784801908
79.99970754176732,-12.782123793107594
77.49379552742172,-15.433167650311548
75.25871662090748,-18.307103118505317
73.33089979813442,-21.354373278633346
71.73220194584212,-24.543527187202386
70.46678044384828,-27.858179051571824
69.54227516279994,-31.26254598833656
68.97062074786989,-34.707143977352445
68.75656654690322,-38.169264438756095
68.89558119365664,-41.63134737626076
69.3859746059074,-45.062684611057904
70.22316968283535,-48.43761924580814
71.40049282901288,-51.729468336944606
72.91025890302626,-54.92600521345491
74.7465883444546,-58.009226475489655
76.8981174241854,-60.95686978136948
79.35407440278061,-63.74214954347665
82.09949793106635,-66.34629348576313
85.12534041756606,-68.75578496759704
85.12534041756606,-68.75578496759704
NaN,NaN
116.85008239746094,-0.20499199628829956
113.2891184806074,-0.5732341396631628
109.77277782676244,-1.0648131230832125
106.31096791228985,-1.8062547575992212
102.9323377416685,-2.8880403247136064
99.66585470825672,-4.317317934801138
96.52548665774812,-6.071305247554781
93.5448331725412,-8.135511511867229
90.74738769344398,-10.495102628159998
88.16441010490595,-13.129690341170818
85.81464588140115,-16.020580778536406
83.72273579980792,-19.14575099608311
81.92504958286862,-22.46194610784488
80.42759586576128,-25.934625917174472
79.17347638906715,-29.520890486928003
78.09151567425644,-33.18386860594928
77.22107163725025,-36.89475388101004
76.70106572413299,-40.628480662273084
76.54378659840066,-44.338771170508124
76.74581560756491,-48.010487675052126
77.2962997855414,-51.61666162896694
78.19115630144883,-55.13092047261983
79.41966119710959,-58.528908872069856
80.96340354606511,-61.767798466215105
82.7993488268593,-64.80476485941622
84.89647671160893,-67.60171576400515
87.23202390454405,-70.12830050001666
89.77082265992304,-72.36417278619577
92.45277510594862,-74.2815921912032
95.26255267597529,-75.85172525305099
95.26255267597529,-75.85172525305099
NaN,NaN
116.84539031982422,-0.20499630272388458
113.26851240218704,-0.5401764651752514
109.67707301613329,-0.7960172598958859
106.04407605080104,-0.8933879649176885
102.36272851274208,-0.7794173553728163
98.64497401927686,-0.3989401723388398
94.91245960860061,0.3053673124936206
91.2039906894622,1.364350418020699
87.57599933294632,2.7642401275306714
