x_ego,y_ego,x_tar,y_tar
0.0,0.0,202.668,3.65
3.5760002,0.0,199.092,3.6500003
7.1520004,0.0,195.51599,3.6500006
10.728001,0.0,191.93979,3.6463294
14.304001,0.0,188.36177,3.6297667
17.880001,0.0,184.78305,3.593881
21.456001,0.0,181.20708,3.537197
25.032001,0.0,177.63306,3.466038
28.608002,0.0,174.05946,3.3898952
32.184002,0.0,170.48544,3.309533
35.760002,0.0,166.9121,3.225887
39.336002,0.0,163.33774,3.1397097
42.912003,0.0,159.76208,3.0525396
46.488003,0.0,156.18507,2.9569638
50.064003,0.0,152.60513,2.833438
53.640003,0.0,149.02586,2.66206
57.216003,0.0,145.4487,2.4225981
60.792004,0.0,141.87445,2.1139016
64.368004,0.0,138.30023,1.7766467
67.944,0.0,134.72362,1.4463716
71.520004,0.0,131.147,1.1160964
75.09601,0.0,127.57038,0.7858212
78.66795,0.01575306,123.99376,0.455546
82.19464,0.08045401,120.41714,0.12527078
85.663765,0.2024436,116.840515,-0.20500442
