BrakeDataHarsh,BrakeDataMedium,BrakeDataGentle,BrakeModelHarsh,BrakeModelMedium,BrakeModelGentle,SteerDataHarsh,SteerDataMedium,SteerDataGentle,SteerModelHarsh,SteerModelMedium,SteerModelGentle
3.376132930513595,3.202416918429003,3.2628398791540785,2.99366812142808,3.717134956782755,3.712825372087399,3.391238670694864,2.4395770392749245,2.43202416918429,3.8443800582451226,3.8258023239185315,3.6836100216490992
3.7235649546827796,3.806646525679758,3.4441087613293053,3.9311572241324924,3.9137593976602054,3.752523761343349,3.919939577039275,3.3308157099697886,2.7492447129909365,3.8918232047919634,3.904473732314039,3.754144928444935
3.9274924471299095,4.244712990936556,3.700906344410876,3.9377695881636283,3.9204985892317117,3.7577985864145864,4.229607250755287,3.685800604229607,3.217522658610272,3.9566051250378615,3.9700971239033187,3.913727736349301
4.169184290030212,4.66012084592145,4.0105740181268885,4.1080349145804815,3.9227056174275052,3.7605172176162407,4.433534743202417,4.070996978851964,3.7613293051359515,4.086714769520342,4.15180137812663,4.1989804979484076
4.622356495468278,5.022658610271903,4.403323262839879,4.933154573525625,4.121685408728405,4.151397224958473,4.788519637462236,4.7960725075528705,4.977341389728097,4.4737533929860644,5.157868450044135,4.426355536996807
