epoch,lr,train_loss,train_action_mse_norm,val_loss,val_action_mse_norm,val_start_loss,val_start_action_mse_norm,val_roll_loss,val_roll_action_mse_norm,val_evt_tail_loss,val_evt_tail_action_mse_norm,active_closed_loop_chunks,train_state_consistency_m2,train_teacher_action_mse_norm,train_selected_xi_mean,train_mixture_nll,train_energy_score,train_diversity_penalty,train_smoothness_penalty,train_map_action_mse_norm,train_probability_entropy_penalty,train_candidate_entropy,train_responsibility_entropy,train_effective_candidates,train_probability_responsibility_l1,train_pairwise_trajectory_distance_norm,val_mixture_nll,val_energy_score,val_diversity_penalty,val_smoothness_penalty,val_map_action_mse_norm,val_probability_entropy_penalty,val_candidate_entropy,val_responsibility_entropy,val_effective_candidates,val_probability_responsibility_l1,val_pairwise_trajectory_distance_norm,val_start_mixture_nll,val_start_energy_score,val_start_diversity_penalty,val_start_smoothness_penalty,val_start_map_action_mse_norm,val_start_probability_entropy_penalty,val_start_candidate_entropy,val_start_responsibility_entropy,val_start_effective_candidates,val_start_probability_responsibility_l1,val_start_pairwise_trajectory_distance_norm,val_roll_mixture_nll,val_roll_energy_score,val_roll_diversity_penalty,val_roll_smoothness_penalty,val_roll_map_action_mse_norm,val_roll_probability_entropy_penalty,val_roll_candidate_entropy,val_roll_responsibility_entropy,val_roll_effective_candidates,val_roll_probability_responsibility_l1,val_roll_pairwise_trajectory_distance_norm,val_evt_tail_mixture_nll,val_evt_tail_energy_score,val_evt_tail_diversity_penalty,val_evt_tail_smoothness_penalty,val_evt_tail_map_action_mse_norm,val_evt_tail_probability_entropy_penalty,val_evt_tail_candidate_entropy,val_evt_tail_responsibility_entropy,val_evt_tail_effective_candidates,val_evt_tail_probability_responsibility_l1,val_evt_tail_pairwise_trajectory_distance_norm
1,1.9996915924780017e-05,5.269193575264715,1.2061307300138293,7.24255208281951,1.744355495708965,0.3463975417764506,0.16822826453825623,7.588026420152649,1.8231618803141156,7.441982766772806,1.6327064689707025,1,0.0,0.0,3.9494612331363697,1.7174473545982476,1.1156816497067377,0.0,0.9763060000592999,1.7924590657713684,0.0,1.9771616420737153,1.6666374984063692,5.562418029858922,0.0511381941452217,1.284700184131941,3.291342021512524,1.4205863243394852,2.4307520741214052e-08,0.9408746013161846,7.855190899917532,0.0,2.0066086516817565,0.8929306377143787,2.6406906805529995,0.15999620969239148,2.1761732090160018,0.24051955039149311,0.1937789766358135,0.0,0.4026259912303999,0.19982788172031726,0.0,1.849156302019963,1.821557651353756,6.186010968435924,0.005842355500210383,0.36503175330122567,3.4437420353783854,1.4817383649299367,2.777452459380884e-08,0.9687231416964822,8.2395595267771,0.0,2.0144812732353836,0.8464992826953731,2.4634246614590807,0.16770390314126551,2.2667302857992984,3.2060014751210963,1.3512590469996408,0.0,0.8495498407814867,8.427946572817584,0.0,2.006351571325912,0.7763266161420743,2.3175929182297104,0.170414561831579,2.2020993453961384
2,1.9987665812791165e-05,0.7424738632649267,0.1833717226272305,5.518571738652685,1.4242750565427187,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.949461233104705,0.2522216344113911,0.21980031291025617,6.24410089049296e-07,0.3013345396791127,0.22760783571382784,0.0,1.6994408111685075,1.6761605723212427,5.374775079037124,0.0048895234460813765,0.3090123001899317,2.9089222709968867,1.0148321951841341,3.161774454119894e-07,0.7532801558167183,5.183936671482354,0.0,1.9429474592016156,1.0802618773531991,3.132009802357108,0.14937649319503174,2.045409739148739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.9972256003598153e-05,0.6192789921373788,0.15981984094211305,4.918508190390565,1.4894481566915578,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.9494612328809433,0.20734786956036036,0.19360432359743177,1.3255502513175324e-05,0.18960064702593488,0.19691782751471518,0.0,1.3372383675434625,1.3202678713353067,3.791117556823849,0.002728184901006565,0.23705340139727163,2.8687628188009486,0.9296484702461929,6.240493409529959e-06,0.6795296512606946,4.067306550837349,0.0,1.8559172674700835,1.2734568774344714,3.7565208921150393,0.12641322223599952,1.9984302920637893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.9950697058314458e-05,0.5582946597013616,0.1467476100436447,4.575134114376564,1.5454198422421934,nan,nan,nan,nan,nan,nan,1,0.0,0.0,3.9494612331363697,0.1857476768916225,0.17870601143282888,3.710816505435832e-05,0.13933940667898803,0.18043468732629225,0.09200442358389206,0.9336852417101071,0.9207906466302882,2.5614095813189905,0.0016041659624516217,0.21273041588889122,2.8182740183219983,0.970108427488004,9.494287825772957e-06,0.6317948540259761,3.481681165377835,0.010760792753051572,1.7456856703850128,1.3174672362901965,3.8788827841008646,0.105994291681544,1.9881881890321047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9923003752364293e-05,0.5108064760904731,0.1355739732106198,4.317392335778111,1.6459820369726061,0.20686453381968542,0.11232672840375334,4.522203373361192,1.7226647999705649,4.557224125986287,1.4497626995529276,1,0.0,0.0,3.951869527106594,0.16938639561560942,0.16565760614880043,4.279113845310616e-05,0.10872334593250176,0.1665417886962052,0.3913088595586504,0.6073601272393832,0.597981149705118,1.8690786773427261,0.0009138820973510718,0.20318422870047007,2.769739259008111,1.1307388626495458,7.832546264970328e-06,0.5849103328563622,3.0609923909366645,0.02469264716593686,1.6246945858170916,1.250244906536842,3.630695350257253,0.08582060401262188,2.018741381764465,0.13700698284450413,0.1349748131843167,0.0001591715666047754,0.09141882472010139,0.13517131240033284,0.5161179298299412,0.486385396661484,0.47950646463844054,1.6660104201462322,0.0005357177473296809,0.18105028303321957,2.900319104183784,1.1794918912470254,4.246324963738116e-08,0.6101272388008953,3.207976131816257,0.0,1.6816100488758265,1.2887818275241225,3.7289295832914884,0.09008484791325032,2.110625935917536,2.80923994546862,1.0556490979525979,5.993641405894718e-06,0.5500749341190642,3.463853282870843,0.024714946412134214,1.5874255944148978,1.1992497167181169,3.425613303541914,0.10484648264388252,2.0230448030941846
6,1.9889195065356238e-05,0.468441394829893,0.1243517893082088,4.142828878307447,1.7293018236495024,nan,nan,nan,nan,nan,nan,1,0.0,0.0,4.0,0.15510182069921297,0.15296811308757383,2.4697558023774504e-05,0.08720943281807346,0.15343173321779777,0.6117813285352569,0.38777124265290197,0.38103225287839476,1.5169046965961615,0.0005351707467709263,0.2033974044225156,2.717573430736031,1.337129143733433,2.443566402571854e-06,0.5480849022965221,2.8128064106757926,0.03354701023997231,1.5128166072234737,1.0930177478075576,3.1254476634969923,0.07381916490430751,2.05152614329704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.984929416807559e-05,0.43766629328268,0.11491416439133134,4.238674707825677,1.7836191607107248,nan,nan,nan,nan,nan,nan,1,0.0,0.0,4.0,0.14480256474104752,0.14340150987022307,1.0737521350756917e-05,0.07356509592647938,0.14372075718966318,0.7361356466585078,0.26444376557114163,0.2594853969105632,1.3512228918456801,0.0003436657255063764,0.20777307561016414,2.7800256152607568,1.413560481964787,9.44634881800594e-07,0.5465388080907868,2.878096175747232,0.03686469399784575,1.459596937115004,1.0604522540217238,3.038898415719703,0.07153152112315082,2.096793544890194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.980332840660425e-05,0.40510591075797886,0.10578327699880243,3.995044762221209,1.781424343160485,nan,nan,nan,nan,nan,nan,1,0.0,0.0,4.0,0.13397885533092993,0.1328877475627455,5.344042226824968e-06,0.06768918337428677,0.13313612629011448,0.797077515151915,0.2041872908926244,0.19999691396079583,1.2778047574410505,0.00026139041446613434,0.2159723812740293,2.655491958052865,1.491797071600678,3.578753206953592e-07,0.5162494369093024,2.6389446712055125,0.040137237999462116,1.4004361785073531,0.9173269286819459,2.645251890564187,0.06674266022562626,2.13105910047324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.9751329283579086e-05,1.5174804641888406,0.3895410922354738,0.34096226643270916,0.17870034614206448,nan,nan,nan,nan,nan,nan,2,0.0024446387935980673,0.0,4.0,0.5058079105710557,0.4625210947672633,1.489969446277678e-07,0.10260783859753625,0.4937064201474875,0.7727078042753086,0.2376414467926328,0.17081760156747602,1.254887037695277,0.004979112083111751,0.6906758895982629,0.22691583439129487,0.21970842279292363,4.140144789700441e-08,0.08927060439238979,0.22191328019415757,0.8456398610078117,0.1587731629070717,0.12777696497263719,1.1973250775227657,0.0013025669251691986,0.8960933804011456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.9693332436601612e-05,1.2394412750187422,0.3230583294436465,0.3349297930800466,0.17724700703127252,0.13379369702454655,0.06692405138276572,0.3441811915394979,0.1827631514235526,0.5223750290022087,0.26303345958391827,2,0.002469473268820546,0.0,4.0,0.40937318730334044,0.3992803759500394,6.29682733695739e-11,0.08096288089366978,0.41022572273008745,0.8910503295059565,0.11045168893041166,0.09498004026677806,1.1576885974494906,0.0009257305549332512,0.6698710669016146,0.2223582033592782,0.21726545367216488,3.1547002598427465e-08,0.08149744188403017,0.21916791803194002,0.8856770751264803,0.12049368374935572,0.09837994799557692,1.1647001763010372,0.0008831668336857662,0.9341334005042371,0.08838499299187118,0.08725384099436359,0.0,0.0654326990772678,0.08776367878542507,0.9303220095187333,0.076063245395478,0.07160453185041211,1.135183869057673,0.00019162959674191285,0.3828232014655475,0.22851711380077036,0.22317340224222523,3.528828920527922e-08,0.08272250090850064,0.2252102333025961,0.8830626663049292,0.12271520585969131,0.0997187189278803,1.1661759894936998,0.0009177437030900747,0.961698898612725,0.3460449781491248,0.33383126530934026,0.0,0.06840026918962146,0.3446154786650868,0.903162772990597,0.09410228344853397,0.07312505100034429,1.0769881548563913,0.0010506430088183057,0.9425621803004764
