epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,1.0,1.2383631001819264,0.08490355983376503,0.02416314555501396,0.7751267519864169,0.03153635309162465,1.0502031976526434,0.14551572860641912,0.16549013636328957,7.083392689444802,0.10306340896270492,0.03868915819647637,2.5399568676948547,0.6359655906756719,0.7970129201809565,0.7689887608091036,1.0807094126939774,1.0411996965607007,0.026343531673774123,6.759791890780131,0.16786818113178015,0.3081163975099723,0.025543323601596057,1.5172630722324054,0.11441234312951565,1.1529071753223736,0.11590917936215799,0.038011956649521984,0.14555483870208263,0.16527540609240532,0.4308129899729459,1.4872537211761088
2,1.0,1.2043957634405655,0.08417409780350599,0.0240743495693261,0.7669050693511963,0.03139988139949062,1.0388325398618525,0.14400290704586288,0.16374174180355938,6.584844797307794,0.10001846192912622,0.038649385557933284,2.6379869282245636,0.6668476064999899,0.8424215863148371,0.7902525266011556,1.1447000155846279,1.07032011449337,0.02640005969442427,6.769303540388743,0.16217002334694067,0.2801095321774483,0.025469355129947264,1.6095313057303429,0.11194297485053539,1.157445768515269,0.1011873356377085,0.038011956649521984,0.1447183402876059,0.16431815177202225,0.4388649707832723,1.5253079442268307
3,1.0,1.2033348966728556,0.08443378745154902,0.024096571518616244,0.7713366773995486,0.03144736433909698,1.0446657625111666,0.14450167817148296,0.16433158422058278,6.4693569920279765,0.10235682265325026,0.038662643322128466,2.565788825352987,0.6577286695440611,0.8280974179506302,0.7634769678115845,1.1241027240951855,1.0337420031428337,0.026380733742068212,6.329715271790822,0.16008752770721912,0.26139423189063865,0.02203643574224164,1.6679338340957959,0.1042485252643625,1.0729930152495701,0.0883174908036987,0.038011956649521984,0.1448047747835517,0.16456559921304384,0.47318049296488446,1.6674108990763936
4,1.0,1.1907939509911971,0.08442539863965728,0.024082953228869223,0.7679160616614602,0.03141282825646075,1.0402147244323383,0.1444855283607136,0.16431489993225445,6.28739072192799,0.10236785831776532,0.03869578695263375,2.6063945392767587,0.6642210309704145,0.837017205854257,0.7785389324029287,1.1353109404444695,1.0544653261701267,0.02639112031708161,6.532347718874614,0.1486711474135518,0.2698987697561582,0.026029570183406275,1.5778780753413837,0.09046500890205304,1.120562729736169,0.09841946295152108,0.038011956649521984,0.1446171241501967,0.16412240639328957,0.440946002871755,1.5372124799136548
5,1.0,1.182755571603775,0.08417068408294158,0.02413089019669728,0.7662125755440105,0.03148464968597347,1.0376303082162683,0.143855361843651,0.16355066949670966,6.164828543229537,0.10060669441114772,0.03864275681024248,2.6302412350972495,0.6704805418848991,0.8480606203277906,0.7636164923508962,1.1524770657221477,1.0331861103574436,0.02638051953787605,6.961670875549316,0.15867015595237413,0.2352597719679276,0.01969167380593717,1.692482441663742,0.09171231091022491,1.2066432560483615,0.08042201089362304,0.038011956649521984,0.14394315394262472,0.16321669022242227,0.45257497949970577,1.5622325634467549
6,1.0,1.1854984511028637,0.08423477126793429,0.024094779874113473,0.7678892135620117,0.03146720281378789,1.0399494290351867,0.14395026429132982,0.1636465843428265,6.185593674399636,0.09425428204915741,0.03865767147561366,2.5993950366973877,0.6500525996088982,0.8178449347615242,0.7737961684664091,1.1103425373633702,1.0474606901407242,0.026361588621512055,7.154026210308075,0.15449230217685303,0.27139561126629513,0.0227964783164983,1.5353337054451306,0.0938607444986701,1.2455295249819756,0.10297318113346894,0.038011956649521984,0.1449469244107604,0.16429274156689644,0.4273570005696068,1.4771673496459876
7,1.0,1.182940581711856,0.0846591863442551,0.024101825380189852,0.7700226924636148,0.0314603811299259,1.0433033395897258,0.14490856318311257,0.16492329592054542,6.083137473193082,0.09987755031748251,0.03862949913706292,2.5457451045513153,0.6577458331982294,0.8285686497886976,0.7694551646709442,1.1249756092826526,1.041977768143018,0.026367250131443143,5.799508730570476,0.15946734324097633,0.24821276031434536,0.018972767361750204,1.5878871008753777,0.09072298929095268,0.9770322193702062,0.09034131250033776,0.038011956649521984,0.14524913082520166,0.1647645973910888,0.4462647843257378,1.553884109465435
8,1.0,1.182160767100074,0.0841041893444278,0.02413896872577342,0.7652592192996632,0.031507420624521644,1.0364809366789731,0.14360015046867458,0.16325647329742257,6.173167679526589,0.10501618446274237,0.03864275687797503,2.600585321585337,0.6591336727142334,0.8295686468482018,0.7711825345953306,1.1276385734478633,1.0456222643454869,0.026353872458760936,6.814008851846059,0.1589258530487617,0.26252370079358417,0.016173315079261858,1.6007690603534381,0.08549591821307938,1.1781395648916562,0.0951030779009064,0.038011956649521984,0.1474760870138804,0.16794625607629618,0.4305966105880973,1.5040235767658887
9,1.0,1.1724890264597807,0.08404035392132672,0.02414297883144834,0.765854642607949,0.031541455604813314,1.0371161379597404,0.14341070435263895,0.16301415752280843,5.96902096488259,0.09710913476618853,0.038707387388091194,2.518717974424362,0.6466576034824053,0.8133466318249702,0.7651592046022415,1.1032361189524333,1.0353934292991955,0.02633833885192871,5.871090988318126,0.15411025658249855,0.2475189088533322,0.02111391754200061,1.542831766108672,0.08335126268987854,0.9958577329913775,0.09455158778776725,0.038011956649521984,0.1438289306436976,0.1631501546750466,0.42172534994336847,1.4442802750825388
10,1.0,1.1363188786940142,0.08361385640772906,0.024121342006732115,0.7583934404633262,0.031502360359511594,1.0266496923836794,0.14245687912810934,0.16192395402626558,5.403804909099232,0.09799943525682796,0.03864441396329891,2.56021257241567,0.6647093370556831,0.8359587863087654,0.782531775534153,1.1344461341698964,1.059507022301356,0.026406173904736836,5.540252864360809,0.16155394849677882,0.21923736048241457,0.01620148230964939,1.6671656668186188,0.0817323684071501,0.9289472550153732,0.0810251262349387,0.038011956649521984,0.14701049185047546,0.1667544487863779,0.42309009587559976,1.4453919091495988
11,0.95,1.155438894033432,0.08499002680182458,0.025158751840618523,0.7676386247981678,0.03261952532285994,1.039471028067849,0.14359676932746715,0.16319897066463124,5.553029771284623,0.10193244340744885,0.03866595762189139,2.5760815938313804,0.6776481916507086,0.8543179854750633,0.7731286436319351,1.1605428953965504,1.0466590126355488,0.02643266428882877,5.419735550880432,0.15692901673416296,0.27335030026733875,0.02203130004151414,1.4311044042309125,0.07681266901393731,0.9065672308206558,0.10762500173101823,0.038011956649521984,0.1471036790559689,0.1672686611612638,0.4479681329730394,1.5298026136966434
12,0.9,1.1391503236510536,0.08483789685097608,0.026122757606208323,0.755563223361969,0.03355484823272987,1.022406821901148,0.14154440022327683,0.16078179214488375,5.452528788826682,0.10279930355873974,0.03865767136554826,2.555514653523763,0.664469338953495,0.8394124185045561,0.7641282404462496,1.1389282296101253,1.0339344963431358,0.02639536124964555,5.75009286403656,0.1658016281823317,0.2836521975696087,0.020336606695006292,1.4126966074109077,0.08082370615253846,0.9692609012126923,0.11106970502684514,0.038011956649521984,0.14153812763591608,0.16046320895353952,0.42584619730933365,1.461542473551151
13,0.85,1.1414312704042955,0.08558448803695766,0.02726678943092173,0.755494254285639,0.03473386270078746,1.0223936010490764,0.14120569439096883,0.16038089922883295,5.461714714223688,0.10287956724112685,0.03866264297711578,2.526545504728953,0.6554470583796501,0.8244499117136002,0.767723428706328,1.1178449541330338,1.0385940621296565,0.02636522869579494,5.578501959641774,0.15564948009947935,0.25523047770063084,0.026006668301609654,1.5034940168261528,0.0711548738181591,0.9389173810680708,0.09898680821061134,0.038011956649521984,0.14440648909658194,0.16391805931925774,0.4326439082196441,1.4974435359424942
14,0.8,1.135005580295216,0.08680051944472573,0.028608046218075535,0.7578308522701264,0.0361546843228015,1.0256358087062836,0.14159959419207138,0.1608728212389079,5.235323190689087,0.10357666686177254,0.038619556007060137,2.4766031901041665,0.6417317787806193,0.8066319252053896,0.7529062107205391,1.0932855581243832,1.018225500981013,0.026354808437948424,5.506665488084157,0.15938188135623932,0.28395838662981987,0.02703459948922197,1.3698640738924344,0.07343584625050426,0.9240777517358462,0.12135755239675443,0.038011956649521984,0.142077900779744,0.16103043220937252,0.4255160010053468,1.4662078544583306
15,0.75,1.1308530802076513,0.08797968910499053,0.030226086401803926,0.7558567854491147,0.03784499463032592,1.0229840809648687,0.14148628461090001,0.16070324290882457,5.135810349204323,0.10512908114628358,0.038617899002168665,2.6684254705905914,0.7120287542541822,0.9035929664969444,0.7735569874445597,1.2299297253290813,1.0469738493363063,0.02651546864459912,5.5849350690841675,0.1754422833522161,0.2924567013978958,0.02819098171312362,1.3367651278773944,0.06415129189069073,0.9381005118290583,0.1240135704477628,0.038011956649521984,0.14510720471541086,0.16451610128084818,0.4900935629919418,1.7148277917179582
16,0.7,1.1861903981728987,0.08951205536723136,0.03213050909001719,0.7597725006667051,0.039930884709412404,1.028365509076552,0.14182158159938726,0.16115716289390217,6.095506646416404,0.10658870688216253,0.03864938538860191,2.4712332785129547,0.6402851591507593,0.8054688920577368,0.7538801530996958,1.0925794293483098,1.0196765412886937,0.02633744035847485,5.431981484095256,0.17151503637433052,0.2779108453541994,0.02337975943616281,1.381930833061536,0.0638941042125225,0.9099598079919815,0.11160698253661394,0.038011956649521984,0.14189655613154173,0.16087906745572886,0.421034643887161,1.4536061351734821
17,0.65,1.1324101177128878,0.09067985320633108,0.034048547206277195,0.7547692336819388,0.04197721339084885,1.021534913778305,0.14145414653149518,0.16072354086420754,5.058249607953158,0.09907839305021546,0.03865269999951124,2.45581908027331,0.6398108551899592,0.80454600105683,0.755826952556769,1.090905691186587,1.022889922062556,0.026343555422499776,5.112704892953237,0.15950629829118648,0.28074447562297183,0.020167872115659218,1.3817564596732457,0.06372236087918282,0.8486249670386314,0.11442032580574353,0.038011956649521984,0.14249114754299322,0.16166470323999724,0.41248666739589246,1.4152550652290208
18,0.6,1.1225625542077151,0.09159080155871131,0.03644337467849255,0.7497614893046293,0.044596012884920294,1.0142588051882657,0.13984652175144716,0.15872845202684402,4.895337614146146,0.10631950815970248,0.03866927194493738,2.5065352817376456,0.6557220195730528,0.8274129132429758,0.7634706571698189,1.1223857601483662,1.0317735051115353,0.02638646129829188,5.1985933383305865,0.1619127473483483,0.2382952937235435,0.014227766718249768,1.487874875466029,0.05991679305831591,0.8704544057448705,0.09575275083382924,0.038011956649521984,0.14124229767670235,0.16010228109856448,0.39937081331612173,1.358680168842561
19,0.55,1.15916873162443,0.09403397806666114,0.03960972905836322,0.7528557847846639,0.048149721459908916,1.0188253505663438,0.14069238704713907,0.15978610488501463,5.453384681181475,0.10734193352135744,0.03865601444955576,2.4858577847480774,0.6465002745389938,0.8149245902895927,0.7641891315579414,1.1066070546706517,1.0342904205123584,0.026344646932557225,5.204875628153483,0.1544235705708464,0.2639084942638874,0.016014927183277905,1.42896714558204,0.05956600187346339,0.8707441712419192,0.1023939431955417,0.038011956649521984,0.14285274812330803,0.16225309669971466,0.4133777918134322,1.4093523699961015
20,0.5,1.1323605537414552,0.09621155878359622,0.04314368824389848,0.7488930073651401,0.05205210769041018,1.013335793126713,0.14039805064147168,0.15947034413164313,4.8822458722374655,0.10631826763803309,0.03863115645945072,2.489565442005793,0.6476372803250948,0.8162868941823641,0.7621004829804102,1.108630081017812,1.0315369466940563,0.026325265721728403,5.270815292994182,0.16077050690849623,0.27914557171364623,0.024940928909927607,1.3395872389276822,0.05250517108167211,0.8837112585703532,0.12608029507100582,0.038011956649521984,0.14282574908186993,0.16195653999845186,0.4665878175131326,1.6286793840395584
21,0.44999999999999996,1.1375778805125842,0.09949205402623523,0.04808903214606372,0.7520627319812775,0.05782238695431839,1.0178302325985649,0.14081410575996745,0.15991998260671442,4.758681223609231,0.10810539830814708,0.03864607115022161,2.4743437071641288,0.6470436130960783,0.8156644577781359,0.7549573729435602,1.1082098310192425,1.0221445659796398,0.02633203115935127,5.133565207322438,0.1752525276194016,0.2567299542327722,0.02213617693632841,1.4015383993585904,0.054854717726508774,0.8548414458831152,0.10791425500065088,0.038011956649521984,0.14299188274890184,0.1624800314505895,0.4555216800200585,1.5829744723446768
22,0.4,1.153111723878167,0.10347466699101708,0.05487103082916953,0.7524862674149599,0.06581218405203386,1.0183124152096834,0.14034592827612705,0.15940963097594002,4.845595000006936,0.11375024630264803,0.03865104288032109,2.5234813193480172,0.6417475740114847,0.8086970870693525,0.7572227269411087,1.098586191733678,1.024487520257632,0.02631652223256727,6.316279113292694,0.16666564345359802,0.31152644008398056,0.029314780607819557,1.22105011343956,0.06407889428858955,1.0878861770033836,0.14462411093215147,0.038011956649521984,0.14247485405455032,0.16176122551163039,0.4064724503629553,1.3990711246429843
23,0.35,1.1495988049290398,0.10868006152185526,0.06341324255547741,0.7478095748207786,0.07611731971529397,1.0117574344981801,0.14003086598082023,0.1589858201417056,4.593918525088917,0.1088408043438738,0.03867092927579175,2.418647716442744,0.6241651251912117,0.784108134607474,0.7559248755375544,1.0641732116540272,1.0226044207811356,0.026271888210127752,5.088992019494374,0.17064410696427026,0.24094903841614723,0.021522301365621388,1.4501981536547344,0.053102548699826,0.8480448996027311,0.10215432569384575,0.038011956649521984,0.14165348218133053,0.16069626435637474,0.41359177668346153,1.422932020889068
24,0.30000000000000004,1.198429863019423,0.11683419651605866,0.07598864175379276,0.7533501955595884,0.09131836132569747,1.0197658891027623,0.14085647159002043,0.15994984778490934,5.045136566595597,0.12298696671019901,0.03864772843874314,2.4238459269205728,0.6329446559151014,0.7967713301380476,0.7463289772470793,1.081872860590617,1.0095716739694278,0.026306554907932878,4.956019153197606,0.1752389638374249,0.2601717412471771,0.023525181614483397,1.3572588562965393,0.04799982525097827,0.8219537635644277,0.1097838959346215,0.038011956649521984,0.14123342465609312,0.16017275241514048,0.4417291981520465,1.5222345399186512
25,0.25,1.2080209211869672,0.12895529127933764,0.09595068950544704,0.7496078697117892,0.11667073931206356,1.014294515956532,0.13993354961276055,0.15888348072767258,4.670141168074174,0.1080179515210065,0.03863778520714153,2.4550563295682273,0.640884148577849,0.8080290630459785,0.751867080728213,1.0974858850240707,1.017526278893153,0.02630758595963319,5.085520585378011,0.1807878998418649,0.2263588091979424,0.01711350619249667,1.484898641705513,0.04690090334042907,0.8486269613107046,0.09403633590166767,0.038011956649521984,0.14134988375008106,0.16027172530690828,0.4404044995078678,1.5220904593038218
26,0.19999999999999996,1.2564839774912053,0.1487805296751586,0.12694089934229852,0.7482921681620858,0.15697993514212696,1.0124422615224664,0.13969112600792538,0.1586146116256714,4.64940757968209,0.12318190729076212,0.038679215185005555,2.4458272953828177,0.6388718858361244,0.8049973845481873,0.7572712823748589,1.094223141670227,1.025522696475188,0.026272404395664733,4.893734077612559,0.16626816925903162,0.25760622322559357,0.030431569321081042,1.4733616063992183,0.045334027304003634,0.8051507423321406,0.11063869545857112,0.038011956649521984,0.14266018414249024,0.16184313719471297,0.4086982046998584,1.4017825088202198
