level,num_samples,subset_threshold,score_mean,score_p90,score_p95,score_max,risk_mean,risk_max,failure_fraction,collision_fraction,numerical_valid_fraction,proposal_acceptance_rate,chain_moved_fraction
0,512,2.1845381777559467,2.0371684381891795,2.1845381777559467,2.751256036834068,3.9979370811961963,0.03027302585542202,0.6421680450439453,0.0,0.0,1.0,0.5384114583333334,0.822265625
1,512,3.3902756813567754,2.7765313937864766,3.3902756813567754,3.693774227429843,4.321149482488309,0.2670525312423706,0.7144715189933777,0.0,0.0,1.0,0.326171875,0.599609375
2,512,4.010442851582162,3.7378848146245782,4.010442851582162,4.112952309123941,4.578283344834327,0.574216365814209,0.7673752307891846,0.0,0.00390625,1.0,0.22330729166666666,0.4921875
3,512,4.489206185425875,4.231723220807179,4.489206185425875,4.643414782605461,7.089451761467645,0.6930831670761108,1.1217254400253296,0.05859375,0.0234375,1.0,0.2565104166666667,0.53515625
4,512,5.162803449601908,4.75207165659723,5.162803449601908,5.31080618741245,6.983378166271556,0.7986454963684082,1.1113649606704712,0.580078125,0.01953125,1.0,,
