epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_plan_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,1.0,1.168304592370987,0.07592949613251469,0.024194369329647584,0.4659669917415489,0.03123917847194455,0.6490840710699558,0.12588247545063497,0.1489879674193534,12.04427435614846,0.0946876836432652,0.03859304084696553,15.4,3.3410857121149697,0.805454303820928,1.0424865658084552,0.9521392161647478,1.4432147641976674,1.311752180258433,0.026216967885072034,10.820111910502115,0.02934296304980914,0.26988333215316135,0.02085115194010238,1.8634258210659027,0.46775926897923154,1.9132837504148483,0.07111373854180177,0.038011956649521984,0.16914258462687334,0.19572184359033903,0.0,0.49710631161921637,1.8340429953237032
2,1.0,0.9915264454754916,0.0704089110547846,0.02411696164106781,0.39871744486418637,0.031041115556250918,0.5517279300500046,0.11382716965268959,0.1347402835772796,9.965662427382036,0.07766715731810439,0.03870738743042404,14.772727272727273,3.3069751461346946,0.8195546890298525,1.0606769646207492,0.9486871237556139,1.468229706088702,1.3069572746753693,0.02622720048141976,9.561126748720804,0.06259034605075915,0.28089964762330055,0.020472288442154724,1.8081370691458385,0.3932892866432667,1.6703681747118633,0.07783818027625482,0.038011956649521984,0.16896632251640162,0.19540549255907536,0.0,0.5075659557216223,1.8733445918661635
3,1.0,0.9396658756516196,0.0702462879771536,0.024168122017925436,0.39098959348418494,0.031060264005579732,0.5410578573969278,0.11344785622575067,0.1343491028994322,9.085237303647128,0.08189890753816474,0.038637785147875546,14.590909090909092,3.0877817471822104,0.7501747980713844,0.9594015032052994,0.9357916687925657,1.3220801999171574,1.2885783265034358,0.02617837682676812,8.848275264104208,0.06436462296793859,0.29425107936064404,0.019864342796305817,1.7077541078130405,0.3942616122464339,1.5297190298636754,0.08578917880853017,0.038011956649521984,0.16731203409532705,0.193428548052907,0.0,0.4621545073219728,1.6791038838324803
4,1.0,0.8950489618561485,0.07019031542268667,0.0240810105915774,0.3758335288275372,0.030961773917078973,0.5207490083168853,0.11346299787136642,0.13439052958380093,8.498882141980259,0.08710342215543443,0.03866098601032387,14.6,3.21895240743955,0.8133912086486816,1.0539741814136505,0.9470409030715624,1.4580418368180592,1.3053830862045288,0.02625829369450609,8.090921819210052,0.06965140020474792,0.26909154281020164,0.01705121446866542,1.782962441444397,0.3820464300612609,1.3814681222041447,0.07639160938560963,0.038011956649521984,0.1670868651320537,0.19309520907700062,0.0,0.4900621518540797,1.799933656078691
5,1.0,0.888195173848759,0.07052088362926787,0.02408811321312731,0.39268531433560633,0.031014651601964777,0.5430520126765425,0.11417563459412618,0.13510812405835498,8.018017096952958,0.08540521440180865,0.03867092897099528,14.836363636363636,3.1149433056513467,0.7783129811286926,1.001343548297882,0.9391245817144712,1.3829853634039562,1.2934279243151348,0.026215018161262076,7.923243522644043,0.07732786595200498,0.32123641297221184,0.02321860733597229,1.5892973964413006,0.37333136051893234,1.3461609731117885,0.10221102088689804,0.038011956649521984,0.16749210034807524,0.19364213074247041,0.0,0.475857319529947,1.7399875471268456
6,1.0,0.8431849355047399,0.0696568432518027,0.024247452853755517,0.3799484240737828,0.03119592097672549,0.5256085536019368,0.11209363067014651,0.13274571052329107,7.386644233356822,0.0866850307719274,0.038712359262122346,14.454545454545455,3.088213433821996,0.7784351234634718,1.0027880395452182,0.936327688395977,1.3853003680706024,1.2893060048421223,0.026202734482164185,7.4132519364356995,0.09069017382959525,0.2793967053294182,0.01570841995999217,1.7289515708883603,0.35646456728378934,1.2477508311470349,0.08187139220535755,0.038011956649521984,0.16700961192448935,0.19296706902484098,0.0,0.45845529539996355,1.6669621084231272
7,1.0,0.8159666654738513,0.06960436396978119,0.023985321904447944,0.37011274282227863,0.030821615897796372,0.5127258578484709,0.11226570900868285,0.13301419839262962,7.045284670049494,0.08660120340910825,0.03865104254165834,14.381818181818181,3.1361594597498574,0.8029510279496511,1.0398536200324695,0.9404080311457316,1.4383121927579243,1.2952709992726643,0.02624499153656264,7.058935880661011,0.09145170543342829,0.28473377351959545,0.017206493571090203,1.6976314385732014,0.3620704635977745,1.175813116133213,0.08545395483573277,0.038011956649521984,0.1666902502377828,0.19257653628786406,0.0,0.49104352208588425,1.797293290650342
8,1.0,0.8654983338984577,0.07293250276283784,0.024032023058018902,0.42848377430980855,0.030893669836223124,0.5926612810655074,0.1196690101515163,0.14123871671882543,6.80100040435791,0.0883162650195035,0.03865601428022439,15.790909090909091,3.0083679854869843,0.762268046538035,0.97923743724823,0.9400874152779579,1.3511215796073277,1.2948277741670609,0.026208203363542754,6.535501877466838,0.09329709565887849,0.27722740918397903,0.016581988893449306,1.7352332770824432,0.34031395241618156,1.0748546198010445,0.08241428714245558,0.038011956649521984,0.16690540624161562,0.19286066790421805,0.0,0.46031416870926056,1.67256661313823
9,0.9545454545454546,0.7585963414473967,0.06889063577083024,0.024876646951518276,0.34411469122225585,0.03178550453687256,0.4764030789787119,0.10913114043121988,0.1294688942418857,6.414287276701494,0.08816669874570586,0.03866927180523899,13.9,3.063167085250219,0.7787611360351244,1.0027219926317532,0.9356974338491758,1.3851394553979237,1.2882925023635228,0.026204478073244292,6.919731001059215,0.10311086662113667,0.2658944179614385,0.02219549547104786,1.7635769943396251,0.34873505930105847,1.14778017749389,0.07891083850214879,0.038011956649521984,0.167757303143541,0.19402584619820118,0.0,0.4703738767683136,1.7160386263678848
10,0.9090909090909091,0.8458240313963457,0.07394582564857873,0.02556171611967412,0.4233453444120559,0.032482319037345324,0.5858806901357391,0.1188815802674402,0.14033154333856973,6.45942269672047,0.08949650106104938,0.03862784195860679,15.681818181818182,2.9858103593190513,0.7585413679480553,0.9734370708465576,0.9424395561218262,1.3427668263514836,1.2977752387523651,0.026192448412378628,6.227847198645274,0.09542397347589333,0.2841619203488032,0.026645630054796737,1.6883572315176327,0.33725426718592644,1.0124544228116672,0.087202456779778,0.038011956649521984,0.1665233305344979,0.19222623916963735,0.0,0.45783076462030603,1.6598519758265349
11,0.8636363636363636,0.8399385999549519,0.07497014355930415,0.02667016439478506,0.4303587648001584,0.03366240591488101,0.5954841338098049,0.1191421916200356,0.14057293117723682,6.158790362964977,0.08996427370743318,0.03862121316434985,15.727272727272727,3.0205299258232117,0.7758446335792542,1.0000528916716576,0.9345166360338529,1.3815727084875107,1.2869769384463627,0.026222902272517484,6.202315350373586,0.10257339446494977,0.29623520374298096,0.025542818785955507,1.6316104903817177,0.30177129184206325,1.0136579970518749,0.09495174263914426,0.038011956649521984,0.1661098307619492,0.19185169848303,0.0,0.4610470789658222,1.6760421696689045
12,0.8181818181818181,0.8008190049366517,0.07339624112302606,0.027541334385221654,0.40347185714001005,0.03459035850722681,0.5578413183716211,0.11403073367070068,0.13475708233361894,5.928191380067305,0.08912770348516377,0.03861789883707057,15.10909090909091,3.0252944827079773,0.7773002311587334,1.0018437157074611,0.9406802008549372,1.3840268204609554,1.2958453347285588,0.026204675746460755,6.1094065109888716,0.11325530149042606,0.2816693459947904,0.021427414030767977,1.7013546203573544,0.3226807080209255,0.9890070060888926,0.08859034099926551,0.038011956649521984,0.16720791285236677,0.1933002695441246,0.0,0.46331536479098406,1.6892304085443932
