,JSD,JSD_std,WD,WD_std
0,0.13,0.03,0.90,0.06
1,0.03,0.02,0.34,0.05
2,0.02,0.01,0.38,0.05
3,0.02,0.02,0.38,0.05
4,0.10,0.03,0.44,0.06
5,0.02,0.01,0.38,0.05
6,0.13,0.03,2.33,0.07
7,0.02,0.01,0.38,0.05
