BrakeDataRS,BrakeDataRNS,BrakeModelRS,BrakeModelRNS,SteerDataRS,SteerDataRNS,SteerModelRS,SteerModelRNS
2.4,-0.45,2.6702684921720086,0.6253752092183825,2.03,-0.83,2.7975470620553633,0.7539184007237084
2.7800000000000002,0.4425,2.8771682447039555,0.8396603275060229,2.76,0.4675,2.9940664147315688,0.8213498064075488
3.11,0.73,2.8828370646119272,0.8452590973277984,3.1,0.7849999999999999,3.020086361627271,0.9784037709178585
3.39,0.9425,3.082216264539189,0.848337741798336,3.38,1.0675000000000001,3.044710394194851,1.0043743448570936
3.43,1.25,3.300106087651556,1.0635790453971452,3.71,2.13,3.1425439069443835,1.0804341559032362
