,x_position,source,safe,crash
data_RS,1.2,1.0,0.0,0.0
data_RNS,2.2,1.0,0.0,0.0
model_RS,0.8,0.0,0.9791666666666666,0.020833333333333332
model_RNS,1.8,0.0,0.6354166666666667,0.3645833333333333
