epoch,stage,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_start_prior_roll_loss,train_start_prior_endpoint_loss,train_start_prior_control_loss,train_plan_loss,train_plan_state_loss,train_joint_plan_loss,train_overlap_loss,train_local_residual_loss,train_plan_smoothness_loss,train_plan_mode_mixture_loss,train_plan_mode_diversity_loss,train_plan_mode_calibration_loss,train_anchor_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_anchor_loss,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_start_prior_roll_loss,val_start_prior_endpoint_loss,val_start_prior_control_loss,val_plan_loss,val_plan_state_loss,val_joint_plan_loss,val_overlap_loss,val_local_residual_loss,val_plan_smoothness_loss,val_roll_mode_ADE_m,val_roll_mode_FDE_m,val_roll_mode_1s_ADE_m,val_roll_mode_1s_FDE_m,val_roll_mode_1s_gap_MAE_m,selection_eligible
1,joint,1.0,2.4568320762530593,0.09677653585899186,0.025390129160908045,0.3124840762445098,0.032221961855078335,0.4413899359623411,0.15135086237506715,0.14765569207386145,0.060644097250726996,0.06932729754348034,0.24593591620873487,0.08649200870152372,0.08546661847985074,0.0,0.001977641041715453,0.0009043819585072546,0.003978187399721227,0.0,0.0,0.0,0.7608700402730724,10.671716842888976,0.5873848112091202,0.03911779912363734,19.96489241223103,3.706922080781725,0.4247205512864249,0.5095664166584217,0.5361556387136853,0.7213422271309706,0.7628062307519257,0.03791496808093692,0.8148429478917804,8.178749558786867,0.1980481789540992,0.6511713701581198,0.25092908653317303,1.1840098497098086,0.3688001949635763,1.2827596506744465,0.7460702266642656,0.037916582141800846,0.16399021233831132,0.16944689938315638,0.058555620825952955,0.06545935265680469,0.2436727854625258,0.17276263118736326,0.6701758718364453,0.0,0.007559696655897867,0.0007670901548831906,0.0031377512680750993,0.23164215286255807,0.9920568130403657,0.030249558343518536,0.04127261966792077,0.026080253230224552,1.0
2,joint,1.0,2.2128889143534454,0.09694831479142503,0.025371275316936514,0.3216263154186182,0.03222161454031516,0.4553305162612606,0.15182553700014256,0.14823750079116896,0.05882993634549705,0.06607844850991347,0.24578668980406743,0.08603140629093887,0.08523993096224719,0.0,0.0015834307318895059,0.0013624002713639404,0.0040247593236409996,0.0,0.0,0.0,0.7029103461235323,7.17777256625425,0.8664051588637373,0.039097468348669305,20.101925254813136,3.5464212907054438,0.42000011634574363,0.503369058093066,0.5318199867609317,0.7120364917018426,0.7557247249537675,0.03763126173899287,0.7839423288743963,6.042226150553063,0.21558608619308978,0.30036056640917663,0.21414604696331832,1.8618310759307215,0.3510890828553962,0.8991173206183015,0.887070824860265,0.037916582141800846,0.1625428263630186,0.16730153931196404,0.05786289410695197,0.06536992568345297,0.24378225790760505,0.17161328814647817,0.6620854218170126,0.0,0.00561464364300408,0.0017701874471087225,0.00332940144405242,0.2303654407877395,0.9811273259383704,0.030240530358362674,0.04129486537816507,0.02612729761044483,1.0
3,joint,1.0,2.075724608090834,0.09667131492903927,0.025358484235264166,0.3055807732442227,0.032222458413493055,0.43221541935428215,0.15083722318791587,0.1464095942903888,0.05799963066643389,0.0656766446174406,0.24593416990402195,0.08678336482862115,0.08570806801082864,0.0,0.0014454960769795446,0.002129615736847885,0.004193940409801959,0.0,0.0,0.0,0.6662667130424914,5.58326456311875,0.9046397811964171,0.03912415249022156,19.727066817667044,3.435260504011124,0.4197087660037651,0.5031525497398679,0.527691246655883,0.7118746162091614,0.7490632716940824,0.03728707905405413,0.7549973928108418,4.639338074537812,0.21861270062191776,0.2513948818520894,0.19388198797349576,2.229290148568532,0.3202598839209824,0.6195732170627231,0.9146497221220107,0.037916582141800846,0.16239360566177066,0.16691740771765431,0.0568428930466768,0.06451402423243044,0.24410065377830828,0.1713916192609797,0.6619081844097723,0.0,0.005656823008345864,0.002460260202901231,0.0032878331519742175,0.2296070045498745,0.9733603883060263,0.030217376310255797,0.04123156478468623,0.026177428077644203,1.0
4,joint,1.0,2.000016096629211,0.09697970193583995,0.025326157790331313,0.32083301286667687,0.03222567178857421,0.45396082391825293,0.15174916231348723,0.14774217351106664,0.05681214164752652,0.06436339873369121,0.24617987408778405,0.0859528044460179,0.08511555672434422,0.0,0.0015995250561296737,0.0026221043583995,0.004160146757386549,0.0,0.0,0.0,0.6327428189976434,4.6349639087949175,0.9275877097049899,0.03912859993416179,20.057757644394112,3.3692013876778737,0.4193285038231542,0.5023741534462681,0.5330818836335782,0.7107997940330909,0.7568348942610322,0.036929911938766956,0.7204084967179273,4.16108904692231,0.22564964469463106,0.2626808325922678,0.14713262790252293,2.376670167559669,0.3052998334957809,0.5252317119212377,0.9251479046054618,0.037916582141800846,0.162444277494042,0.1668549059402375,0.05555714018366955,0.06292113399615994,0.24443081454940574,0.17097328059257022,0.6609955013744415,0.0,0.006297507845653743,0.0025746161315255063,0.0034382471004156053,0.23204905077831248,0.9800947032882802,0.030160289770321043,0.041020048935560355,0.02621616104492213,1.0
5,joint,1.0,1.926371145356417,0.09695924717262135,0.025305637872502597,0.3133347461407209,0.03222479151260205,0.443089179331827,0.15144711673799754,0.1469036215074605,0.055658420516201214,0.06293970036361522,0.24662267307867955,0.08639223913272942,0.08543835105300625,0.0,0.00192772451285083,0.003056276339662102,0.00426938376834538,0.0,0.0,0.0,0.6005583786883414,4.151667684012875,0.9476174417195476,0.03910699829940145,19.84144960362401,3.3336035221342057,0.4219058187550338,0.5067449311415354,0.5463654706402431,0.717860516101595,0.7768490033805686,0.03666806575797853,0.6908158975303489,3.7540246393314747,0.21716167434813485,0.23430996581360145,0.14742807909925149,2.538643731011285,0.2795325281128051,0.4481862906425718,0.9464931702487683,0.037916582141800846,0.16265429225232866,0.1669388527750338,0.05456239540898611,0.06157790179605837,0.2448200775044305,0.17106764357556742,0.6673586863689321,0.0,0.006630846917648953,0.002649277999317126,0.0034467509969891537,0.237057454409995,1.0028993133037076,0.03014093746681808,0.040909811944862505,0.026255474294653802,1.0
6,joint,1.0,1.8824604165108532,0.09709207156708935,0.025307647831155786,0.31619505290604394,0.03227684330427228,0.4470105212211339,0.15174622902075,0.14720008130758022,0.0549013064678501,0.06190111718877796,0.2470380531229492,0.08617826442351292,0.08538632877888253,0.0,0.0022630170408250304,0.0033862299018456166,0.0042536876835182124,0.0,0.0,0.0,0.574044486033147,3.8831420757492427,0.9484802325206597,0.03912415246068925,19.917327293318234,3.2325016506134516,0.4118273354396618,0.4911303975910106,0.5178116153156946,0.6938519036328351,0.7326747986374709,0.0364332481942795,0.6704620977558157,3.5462319724774236,0.21218959931974057,0.22245839782177457,0.12304041714028076,2.6138142050889432,0.26759551907027207,0.41349889945100854,0.9351125277539409,0.037916582141800846,0.1617109952937989,0.16552151849976293,0.05396416726172286,0.060722564696950254,0.24521605489115236,0.170527102928313,0.646431099485468,0.0,0.006889602802595291,0.0036446527459673464,0.0035669670708812578,0.22798636053945984,0.9496228747000349,0.030164505374328507,0.04093035041886309,0.026294303558493215,1.0
7,joint,1.0,1.8482833819913163,0.09719166541862326,0.025312602705620694,0.3137219797478122,0.03233551926750559,0.443042934734041,0.15192209639811166,0.14727795435408908,0.05454615685384244,0.06161847205606889,0.24746052937693935,0.08610262002032314,0.08540986124784733,0.0,0.0025432748218527906,0.003707015706017394,0.004406805696558642,0.0,0.0,0.0,0.5531828299181648,3.7095708366428606,0.9444393602664987,0.03912859992045036,19.92638731596829,3.2188203410496787,0.41546698269389926,0.4962780149210067,0.5085806561210168,0.7015902835225302,0.718724651626809,0.036273750363203586,0.655570580530419,3.4021851322638295,0.19229369291237422,0.19022101376737868,0.12908162149014296,2.7327087783308888,0.2477106711378804,0.3919401859480237,0.9457256522758928,0.037916582141800846,0.16224277752732474,0.1660466280879167,0.05417207324946368,0.06173658688311224,0.24568526628156187,0.17097263266800572,0.6535959391997604,0.0,0.007060758308778522,0.0035377357527120877,0.0035060809262431963,0.2245443338308852,0.9328836403128637,0.030316839450547466,0.0413866319652611,0.026365396085511642,1.0
8,joint,1.0,1.8375263717679449,0.09741813316519371,0.025311977263974578,0.3138338483000936,0.03238586003713875,0.4423486729946709,0.15249068240212152,0.1479519489701175,0.05509379059329443,0.06349819024870781,0.2480292663163804,0.08578662839238263,0.08526128792918011,0.0,0.0027636211436127957,0.0039031072862505374,0.0043664648010904895,0.0,0.0,0.0,0.5372733055262712,3.6071317773713125,0.9352219313349351,0.03910763369449166,20.05096262740657,3.1951530244615345,0.40665150146005014,0.48182190820653603,0.4879665363717962,0.6794959281487439,0.688198931002743,0.036126580187883325,0.6402664294949284,3.3153900545110147,0.17625667454389038,0.1959509922871514,0.09990227616653241,2.7513071859955156,0.23849627210034263,0.38339140853553855,0.9144081776104276,0.037916582141800846,0.16231961926770588,0.16584393799935698,0.057541305741305074,0.07062594635934426,0.24675624529836038,0.17051354192552112,0.634131702796492,0.0,0.007107595274983732,0.0036427226563097623,0.003864044094428657,0.2153157521240999,0.8993526843434979,0.0308731382761052,0.043272509925293676,0.026524481494963434,1.0
9,joint,1.0,1.8208187310908956,0.09754717214157466,0.025308260162564527,0.30598620331233384,0.032409734034642895,0.4304181447891795,0.15270238983975395,0.14796348232543888,0.055406587985201844,0.06532475936183303,0.24861241411312252,0.08585394657346697,0.0853156287682961,0.0,0.003040713125983272,0.004028874566506422,0.004402559842821527,0.0,0.0,0.0,0.5255326328299189,3.4826925405694564,0.9194163767154733,0.03912796455489246,19.978482446206115,3.1377187683468772,0.4057418051220122,0.47855223975484334,0.48880014580393594,0.6738605726332891,0.688911532914197,0.035822311800623695,0.6388293164116996,3.1472842188739274,0.19882439952048045,0.18630797467219135,0.09406766346680424,2.776711656933739,0.22053690120656655,0.35067387106557374,0.9172289239035712,0.037916582141800846,0.16326625952644955,0.16695440406837161,0.0540917258335169,0.06356271202602083,0.2466808602450386,0.17136821016748116,0.6294929659555829,0.0,0.007111051408130498,0.0036387379532532085,0.0037160179917774504,0.2179645560885489,0.9017207743969322,0.030451994911754834,0.04182664072120238,0.026488356726030254,1.0
10,joint,1.0,1.7925005889289916,0.0977302110529297,0.025299833479969176,0.31175090666197974,0.03245105100574134,0.43854716092786866,0.1532026120078658,0.14861653530010416,0.05396332603163114,0.06271787546364124,0.24869511201387084,0.08543188497002235,0.08503868980153906,0.0,0.0032337316876701327,0.004183995765280548,0.004368288072811214,0.0,0.0,0.0,0.513422962392038,3.3668034198195045,0.9085480554592569,0.03913495325961172,20.151755379388447,3.0826920378145086,0.39855448499558466,0.4682574401456843,0.4809668079885856,0.658201018338481,0.6769256847245353,0.03569117289962907,0.633746465993306,3.1568526401721613,0.22350888387866752,0.1920736392654439,0.08205817143122356,2.7354455158193276,0.2077147594046971,0.35352716165244896,0.9066766661310953,0.037916582141800846,0.16185962081586242,0.16502100489442312,0.0526319185971583,0.06054610439709255,0.24674955530772133,0.17014334473029646,0.6155110777370514,0.0,0.00697252929959663,0.004329279682318133,0.003762097279023793,0.21666650393167408,0.8889020874107578,0.030375503302968048,0.04143854583533628,0.026528643074056703,1.0
