feature,real_count,generated_count,ks,wasserstein,real_mean,generated_mean
ego_vx_mps,2209,2209,0.03576278859212313,0.2225171301147958,31.31216049194336,31.340496063232422
ego_vy_left_mps,2209,2209,0.10004526935264826,0.027586092727217494,0.03312358632683754,0.04048318415880203
ego_ax_mps2,2209,2209,0.030330466274332276,0.024710746055351708,-0.1321050226688385,-0.11664476245641708
ego_ay_left_mps2,2209,2209,0.21231326392032593,0.0066494444484669485,0.0009506563656032085,-0.000857534003444016
same_front_rel_x_m,2138,2138,0.02853133769878391,1.6683546713961965,24.57973289489746,23.59084129333496
same_front_rel_y_left_m,2138,2138,0.0304022450888681,0.03238189394713854,-0.053580448031425476,-0.06396257132291794
same_front_rel_vx_mps,2138,2138,0.023854069223573433,0.1491407197843489,-0.5432039499282837,-0.45155394077301025
same_front_rel_vy_left_mps,2138,2138,0.04677268475210477,0.02409610226166665,-0.023695040494203568,-0.021005412563681602
same_front_other_ax_mps2,2138,2138,0.03601496725912067,0.026657824013364785,-0.036141254007816315,-0.035868845880031586
same_front_other_ay_left_mps2,2138,2138,0.05332086061739944,0.005115876910330074,0.001548175816424191,0.0018047962803393602
same_rear_rel_x_m,854,854,0.053864168618266976,1.713221874951758,-31.916439056396484,-30.905338287353516
same_rear_rel_y_left_m,854,854,0.06088992974238876,0.06446782848634158,-0.007218967191874981,0.044839046895504
same_rear_rel_vx_mps,854,854,0.05152224824355972,0.21542096150214557,0.5737704634666443,0.4553307592868805
same_rear_rel_vy_left_mps,854,854,0.05737704918032787,0.03622847104519257,-0.012341920286417007,-0.015434394590556622
same_rear_other_ax_mps2,854,854,0.06674473067915691,0.09650797527763269,-0.21943792700767517,-0.17728985846042633
same_rear_other_ay_left_mps2,854,854,0.07728337236533958,0.01007781378582417,-0.009812646545469761,-0.008114080876111984
left_front_rel_x_m,500,500,0.124,3.7393003892004493,30.640050888061523,30.736406326293945
left_front_rel_y_left_m,500,500,0.122,0.09734426522254944,3.7945001125335693,3.738342761993408
left_front_rel_vx_mps,500,500,0.094,0.5285117122121156,3.9355998039245605,3.9336659908294678
left_front_rel_vy_left_mps,500,500,0.142,0.05114291814342142,-0.12425999343395233,-0.14873816072940826
left_front_other_ax_mps2,500,500,0.128,0.09540592672210187,-0.008440000005066395,0.021764341741800308
left_front_other_ay_left_mps2,500,500,0.184,0.017530704045377207,-0.002040000632405281,0.0005759454797953367
left_rear_rel_x_m,217,217,0.1382488479262673,3.772062159971708,-33.607994079589844,-34.57807922363281
left_rear_rel_y_left_m,217,217,0.08294930875576037,0.0776780585539506,3.847188711166382,3.8863260746002197
left_rear_rel_vx_mps,217,217,0.1152073732718894,0.5266391855282583,4.625668525695801,4.788352012634277
left_rear_rel_vy_left_mps,217,217,0.10138248847926268,0.08165456762339937,-0.05447005480527878,-0.0325128398835659
