source,row_index,log_prob,continuous_log_prob,event_structure_log_prob,nll,mask_pattern,primary_slot,event_risk
tail_all,31,104.48297,106.68201,-2.199037,-104.48297,51,same_front,0.7285761
tail_all,32,224.28157,225.19064,-0.90907377,-224.28157,17,same_front,1.1276243
tail_all,33,218.11021,219.01929,-0.90907377,-218.11021,17,same_front,1.0502256
tail_all,34,33.88401,35.971176,-2.087167,-33.88401,51,same_rear,0.93047917
tail_all,35,17.505095,19.704132,-2.199037,-17.505095,51,same_front,0.8983169
tail_all,36,246.39365,247.30272,-0.90907377,-246.39365,17,same_front,0.87882745
tail_all,37,234.43095,235.34003,-0.90907377,-234.43095,17,same_front,0.8288473
tail_all,38,220.18346,221.09253,-0.90907377,-220.18346,17,same_front,0.8214077
tail_all,39,191.81528,192.72435,-0.90907377,-191.81528,17,same_front,0.79381245
tail_all,40,80.26038,82.45942,-2.199037,-80.26038,51,same_front,0.7920218
tail_all,41,233.99222,234.90129,-0.90907377,-233.99222,17,same_front,0.7815033
tail_all,42,233.06738,236.89648,-3.8290942,-233.06738,1,same_front,0.77271605
tail_all,43,240.79526,241.70433,-0.90907377,-240.79526,17,same_front,0.7718662
tail_all,44,48.393394,50.48056,-2.087167,-48.393394,51,same_rear,0.74638206
tail_all,45,217.5519,218.46097,-0.90907377,-217.5519,17,same_front,1.0670298
tail_all,46,239.32161,240.23068,-0.90907377,-239.32161,17,same_front,0.99542177
tail_all,47,126.67249,129.24289,-2.5703964,-126.67249,21,same_front,0.81753224
tail_all,48,78.18591,80.27308,-2.087167,-78.18591,51,same_rear,0.8075518
tail_all,49,246.46822,247.37729,-0.90907377,-246.46822,17,same_front,0.74870515
tail_all,50,148.27321,149.18228,-0.90907377,-148.27321,17,same_front,1.21304
tail_all,51,144.12856,145.03763,-0.90907377,-144.12856,17,same_front,1.0447953
tail_all,52,209.83932,210.7484,-0.90907377,-209.83932,17,same_front,1.0198694
tail_all,53,113.602844,117.97093,-4.3680906,-113.602844,21,left_front,1.0189971
tail_all,54,216.08649,219.91559,-3.8290942,-216.08649,1,same_front,0.98406106
tail_all,55,106.69069,110.92525,-4.2345595,-106.69069,50,same_rear,0.9698024
tail_all,56,85.29261,89.857414,-4.564801,-85.29261,19,same_rear,0.9487215
tail_all,57,196.94974,200.77884,-3.8290942,-196.94974,1,same_front,0.9403912
tail_all,58,165.2531,169.10324,-3.8501477,-165.2531,5,same_front,0.9336206
tail_all,59,185.72409,186.63316,-0.90907377,-185.72409,17,same_front,0.8422409
tail_all,60,149.65755,153.50769,-3.8501477,-149.65755,5,same_front,0.82572323
tail_all,61,98.729385,104.637924,-5.9085355,-98.729385,13,same_front,0.82210475
tail_all,62,233.43134,234.34041,-0.90907377,-233.43134,17,same_front,0.78534836
