epoch,rollout_seconds,selection_metric,stage,stage_epoch,train_action,train_behavior_kl,train_behavior_reconstruction,train_diversity_floor,train_initial_plan_position,train_interaction,train_loss,train_overlap,train_physical,train_plan_action,train_plan_position,train_position,train_refinable_fraction,train_roll_loss,train_start_fraction,train_start_loss,train_start_summary,train_velocity,val_action,val_behavior_kl,val_behavior_reconstruction,val_diversity_floor,val_initial_plan_position,val_interaction,val_loss,val_overlap,val_physical,val_plan_action,val_plan_position,val_position,val_refinable_fraction,val_roll_action,val_roll_behavior_kl,val_roll_behavior_reconstruction,val_roll_diversity_floor,val_roll_initial_plan_position,val_roll_interaction,val_roll_loss,val_roll_overlap,val_roll_physical,val_roll_plan_action,val_roll_plan_position,val_roll_position,val_roll_refinable_fraction,val_roll_start_summary,val_roll_velocity,val_start_action,val_start_behavior_kl,val_start_behavior_reconstruction,val_start_diversity_floor,val_start_initial_plan_position,val_start_interaction,val_start_loss,val_start_overlap,val_start_physical,val_start_plan_action,val_start_plan_position,val_start_position,val_start_refinable_fraction,val_start_start_summary,val_start_summary,val_start_velocity,val_velocity
1,1.0,0.05336268436145544,buffer_warmup,1,0.04375176381449529,0.1596541746377869,0.8279097521251911,0.0,0.058947150841570546,0.03962031693633775,0.1384448063074783,0.0095827152533971,9.307224517324944e-06,0.04792066148546356,0.046019302894730836,0.023587153246507567,0.5253068747009983,0.13509615211919293,0.5000090384847954,0.1417934603533354,0.04068042713588542,0.03833166389435707,0.015735606282269433,0.0,0.0,0.0,0.05204191962109199,0.03131796976196624,0.04323087888400233,0.0012734672609007074,6.7480340666251655e-06,0.020541865349052443,0.03134757610008357,0.019865737717953465,0.52489456546212,0.015883493739815933,0.0,0.0,0.0,0.05231743399053812,0.031378879744027345,0.04166649046930529,0.0012966535393229967,6.746606245885218e-06,0.020737210525170205,0.031480567832846966,0.019885458296076172,0.52489456546212,0.0,0.019060547914474257,0.015587718780374243,0.0,0.0,0.0,0.051766405177731366,0.031257059646859056,0.04479526725435068,0.0012502809824784184,6.74946193180223e-06,0.020346520180326132,0.031214584108619464,0.019846017272876843,0.52489456546212,0.03472541042027019,0.017362705210135096,0.01857915786760194,0.018819852924299618
2,1.0,0.04594119168368435,buffer_warmup,2,0.019230060653639174,0.06304325265279744,0.05987835566915996,0.0,0.04738134455597289,0.032338192091404934,0.05037072521516501,0.0034433606188718985,9.184451292711868e-06,0.02341496329137402,0.03059525883257288,0.01972508231714406,0.5253163663228892,0.04889318204548973,0.5000090384847954,0.05184826835635464,0.018524327749796305,0.018524098727526105,0.01406211568604386,0.0,0.0,0.0,0.04227076150063011,0.0309886760595772,0.03794496552279544,0.0010242105689406069,6.729435718113117e-06,0.018869464603504017,0.026074233058366984,0.01859233227543651,0.52489456546212,0.014067736491265278,0.0,0.0,0.0,0.0422386195776718,0.030990749826684358,0.03671038544012441,0.001045713264916447,6.727324457669749e-06,0.018891648319180287,0.02615384655516772,0.018626823570461026,0.52489456546212,0.0,0.012074900122122869,0.014056494854952372,0.0,0.0,0.0,0.04230290346793712,0.03098660240334178,0.0391795454132888,0.001002707872964767,6.731546969082581e-06,0.0188472809100021,0.025994619546783348,0.018557841039543586,0.52489456546212,0.026414336555356546,0.013207168277678273,0.01186689719306453,0.011970898679768046
3,1.0,0.04613658557258487,buffer_warmup,3,0.0162107011472637,0.04880993585232819,0.044912475076588715,0.0,0.043163369685892544,0.03165310221987704,0.044320444469621044,0.0023989773085601974,9.141089897897265e-06,0.020582137429990197,0.02673075141776084,0.018854049274170916,0.5253020646770626,0.043017322195973956,0.5000090384847954,0.0456235668508806,0.014594491441420002,0.013624105616745649,0.014521247237950327,0.0,0.0,0.0,0.04480972798866412,0.031074633755322014,0.03836333374714568,0.0009320713514979514,6.726877279290766e-06,0.018955807061126782,0.025930184235293714,0.018631146163753574,0.52489456546212,0.01456053260092934,0.0,0.0,0.0,0.04501801367021269,0.031074352902434176,0.03703743183896655,0.000940156372500554,6.72633587324555e-06,0.019015825035730526,0.026052528164452977,0.018646493849773255,0.52489456546212,0.0,0.01296391019538518,0.014481961923015733,0.0,0.0,0.0,0.04460144214450367,0.03107491452690391,0.03968923544836423,0.0009239863339600907,6.7274186557864275e-06,0.018895788920215435,0.025807840505703575,0.018615798440776647,0.52489456546212,0.028318821696475857,0.014159410848237929,0.012728133822776495,0.012846022001689389
4,1.0,0.0445774520667417,buffer_warmup,4,0.01616428428018559,0.03960649559500618,0.04402492445725045,0.0,0.04198768101600944,0.03176167036011853,0.04331557489393521,0.001919856672028844,9.251403668007197e-06,0.020443287128131572,0.025852190791142624,0.018662069155854395,0.5253068747009983,0.04221046147211285,0.5000090384847954,0.044420688483506415,0.014055058605392908,0.012647794315096121,0.013969821581942222,0.0,0.0,0.0,0.043086973920701044,0.030968814075643582,0.03671667273969404,0.0008375552953645912,6.730303867348156e-06,0.018440322096770007,0.02439208986562869,0.01832367799111775,0.52489456546212,0.013952336248217357,0.0,0.0,0.0,0.04319744129916505,0.030967074224636668,0.035539428806967206,0.0008342356487114485,6.730278749775232e-06,0.01845831442846074,0.02445534102263905,0.018333487619187624,0.52489456546212,0.0,0.010624532288472568,0.013987306889797014,0.0,0.0,0.0,0.042976506527454134,0.03097055417795976,0.037893916628072184,0.0008408749385529922,6.73032902890706e-06,0.018422329842689492,0.024328838745575575,0.018313868363047877,0.52489456546212,0.024261492940168532,0.012130746470084266,0.010524956782954552,0.010574744526474248
5,1.0,0.04537859614926255,buffer_warmup,5,0.01540342112647064,0.03378880424970981,0.04794739884820497,0.0,0.04025722236492012,0.031576831252990684,0.04222732622211225,0.001671017562126236,9.187366703285073e-06,0.01974392976982166,0.024852034133386592,0.018337783031007346,0.5253163663228892,0.041068775631557,0.5000090384847954,0.04338587681266749,0.013012179160868859,0.011312912900345803,0.015055158663363684,0.0,0.0,0.0,0.041825897193380764,0.031308753985083766,0.0385593083051462,0.0009733498092308375,6.732725882416378e-06,0.019351862925326542,0.026324706758180307,0.018405829164539537,0.52489456546212,0.015159631454725825,0.0,0.0,0.0,0.041978764865133494,0.03129987294475237,0.037154361073459895,0.0010122159343039143,6.732407254075735e-06,0.019518895326034416,0.026484069872706656,0.01836596578655262,0.52489456546212,0.0,0.013304615533718514,0.014950685886784441,0.0,0.0,0.0,0.0416730297729373,0.03131763498106646,0.039964255714227286,0.0009344836830028466,6.733044518651941e-06,0.01918483048026997,0.02616534358452237,0.018445692498177763,0.52489456546212,0.0291474550400698,0.0145737275200349,0.013208381266200117,0.013256498398111454
6,1.0,0.04262330986846366,buffer_warmup,6,0.01494050196379094,0.022764682248329702,0.039843385271607766,0.0,0.03726486050814213,0.03151946044831633,0.04005565618369776,0.0014738657802759575,9.130000174579576e-06,0.01929156161123094,0.023674562293324007,0.01798596018379334,0.5253020646770626,0.038825416024347026,0.5000090384847954,0.04128589638419443,0.011924832763376638,0.009853781416565939,0.013957522022316144,0.0,0.0,0.0,0.036746624975450455,0.03103825295462258,0.03519038771027847,0.0009533460418294583,6.724575577829946e-06,0.018443730948049398,0.022817093198971142,0.017782162353839902,0.52489456546212,0.014024426791048239,0.0,0.0,0.0,0.036771237510182554,0.031034486641782145,0.03409343987466797,0.0009820311092808547,6.723508178426513e-06,0.018558697398042397,0.022785843911743354,0.017759080218624265,0.52489456546212,0.0,0.008618402076766842,0.013890617286845569,0.0,0.0,0.0,0.036722012396369665,0.031042019223114326,0.03628733550154027,0.0009246609746090447,6.7256429262547575e-06,0.01832876447218633,0.0228483423605443,0.017805244614710173,0.52489456546212,0.021786498489774882,0.010893249244887441,0.008650582374280525,0.008634492231991201
7,1.0,0.04304011205625829,buffer_warmup,7,0.014288437159489856,0.01956012458188385,0.0352318992706913,0.0,0.03716649569590009,0.03147895689246608,0.03912774267699016,0.0013716405177664585,9.203703854517023e-06,0.0189140061353323,0.02350484492129052,0.01795843389034018,0.5253290633782555,0.03823211230970634,0.5000090384847954,0.04002337313447853,0.010978503101295653,0.009282380855620895,0.01260819999382846,0.0,0.0,0.0,0.036071997076746014,0.031045996968353553,0.03478804476825254,0.0009968099669398118,6.717879403463629e-06,0.017927187421019116,0.02320814791268536,0.017849596398365166,0.52489456546212,0.01270291360006446,0.0,0.0,0.0,0.03605578298724833,0.031016617244671262,0.03384032691015847,0.0010133871717640894,6.717577427763452e-06,0.017978068197234756,0.023100364236308943,0.017785125400959736,0.52489456546212,0.0,0.008472746480182404,0.012513486402375358,0.0,0.0,0.0,0.03608821107754632,0.03107537648507527,0.035735762471126184,0.00098023275841981,6.7181813446517304e-06,0.01787630653393174,0.02331593150775584,0.01791406751403378,0.52489456546212,0.018412231659841915,0.009206115829920957,0.008135564536565826,0.008304155474188663
8,1.0,0.04338517747540284,buffer_warmup,8,0.011927041358859638,0.018785591906659817,0.028033102872823394,0.0,0.037341789857578564,0.03154432526397928,0.037753633740172106,0.0017070400368575775,9.150497132806001e-06,0.018411784984342306,0.0233544062509715,0.01801263208096703,0.525321815767426,0.03684729887781856,0.5000090384847954,0.03865996877976971,0.009298051086301103,0.008682643649300454,0.010280562797561288,0.0,0.0,0.0,0.038070880793153294,0.03168266973946066,0.034355756205817066,0.0017511052881470984,6.723533059377428e-06,0.01800365563082908,0.022904673812999612,0.017976904517069223,0.52489456546212,0.010400358310324095,0.0,0.0,0.0,0.03799040380510546,0.031609118679567935,0.033458453240907855,0.001741167235498627,6.722421100598406e-06,0.018018136791411846,0.02274066304403638,0.017882227535463043,0.52489456546212,0.0,0.00816704852632173,0.010160767270015582,0.0,0.0,0.0,0.03815135773685244,0.03175622061456716,0.035253059059854534,0.0017610433403336043,6.72464495409482e-06,0.017989174433289064,0.0230686845154398,0.01807158135454215,0.52489456546212,0.01658346210532482,0.00829173105266241,0.007751348504190525,0.00795919850971254
9,3.0,0.15878672250707962,closed_loop,1,0.036250549427905426,0.025713195118296672,0.01959813930910831,0.0,0.07038141830730155,0.06328779960347113,0.08354839316063649,0.002036228401015909,1.1600977828526568e-05,0.04674839479698401,0.05486518736476096,0.03620670467596137,0.5253202815934978,0.08355679492147271,0.5000090384847954,0.0835399915453936,0.007157032311155747,0.04431780737871423,0.03404757883843212,0.0,0.0,0.0,0.06697944006217378,0.05913517837013517,0.07508116948699194,0.0017502301244161254,8.354372442548243e-06,0.0438009099887004,0.05015411703950829,0.033618490610803874,0.5248945698378578,0.034242538757444846,0.0,0.0,0.0,0.0672358844931873,0.05968181989968769,0.0749219214277608,0.0017845404818506232,8.378117539696033e-06,0.04384698324082863,0.050520635579550076,0.03368372805712242,0.5248945698378578,0.0,0.04013721896187654,0.03385261878637331,0.0,0.0,0.0,0.06672299583812082,0.05858853704754322,0.07524041763492047,0.0017159197748350423,8.330627537134205e-06,0.04375483663309188,0.0497875985290323,0.03355325280969578,0.5248945698378578,0.011005398994755177,0.0055026994973775886,0.03916500737920167,0.03965111316314766
10,3.0,0.13996119441606647,closed_loop,2,0.029978486763894203,0.039763697107324886,0.018021813902399403,0.0,0.0657765071747307,0.05652813176318256,0.07523934952693159,0.0030277003480727606,1.1049126643911416e-05,0.03941650626296296,0.048823343138879094,0.03384254375091274,0.5252995015254138,0.07434424619960299,0.5000090384847954,0.07613445265169556,0.006280601399688774,0.03717847577531204,0.02815492126706337,0.0,0.0,0.0,0.0602321196495304,0.05395333789702919,0.06950636262754126,0.0012181087910744643,8.18153816791011e-06,0.037411108450402346,0.04675291624984571,0.032353457809972855,0.5248945698378578,0.02825035952356836,0.0,0.0,0.0,0.060189861656417924,0.05416487036125055,0.06956688891209308,0.001245050688296379,8.201473462580878e-06,0.03741285028970904,0.04729498300464854,0.03262729554747542,0.5248945698378578,0.0,0.03639982345085296,0.028059482995775483,0.0,0.0,0.0,0.060274378012215336,0.05374180550672232,0.06944583643168684,0.0011911668920046871,8.161602828576655e-06,0.03740936690675361,0.04621084945069419,0.03207961996899001,0.5248945698378578,0.011090178109173263,0.005545089054586632,0.035133100417812195,0.03576646184933091
