epoch,observed_tail_fraction,rollout_seconds,selection_metric,stage,stage_epoch,train_behavior_anchor,train_interaction,train_loss,train_overlap,train_physical,train_plan_horizon_control,train_plan_horizon_position,train_prefix_control,train_prefix_nll,train_prefix_position,train_prefix_velocity,train_sampled_physical,val_behavior_anchor,val_interaction,val_loss,val_overlap,val_physical,val_plan_horizon_control,val_plan_horizon_position,val_prefix_control,val_prefix_nll,val_prefix_position,val_prefix_velocity,val_sampled_physical
1,0.10089160018770531,1.0,0.04211456966538051,start_prefix,1,0.049703130863463486,0.04850260339179503,0.2732257171284032,0.00025561036577654927,1.4001852977192832e-05,0.042901270618896384,0.003596919948669701,0.02440766228673007,4.09739565418406,0.01798372660127562,0.016716492146101707,0.0,0.04800994272427584,0.047424604278550574,0.09978782627041693,0.0015527865955379432,6.82093376487727e-06,0.04207707009224034,0.0035432252734800967,0.023934386995813205,0.659808636622666,0.017710674578747736,0.01614101111356701,0.0
2,0.10007703000628636,1.0,0.04188298641248462,start_prefix,2,0.04722826305190407,0.048103312180205623,0.07976021418848422,0.0021774622011562707,1.6355042399659205e-05,0.04090278780051968,0.003611401778973833,0.023470626447860275,0.2614440589519004,0.018061004314331143,0.016287846516054187,0.0,0.04593367129564285,0.04659803933094418,0.06292436534363934,0.0017701615505511799,6.816717325785214e-06,0.03971177339553833,0.0035248054696552494,0.022882400593035434,-0.03904707782850084,0.017663622590363342,0.015768320639691656,0.0
3,0.10098014042481605,1.0,0.04297838839153211,start_prefix,3,0.045098911169262464,0.04749040510653099,0.0323351770583619,0.0031762793497999843,1.3791747274455294e-05,0.03896456505019019,0.0036123457300399737,0.02230824410729743,-0.654251834429328,0.01814419869017088,0.015867654118151112,0.0,0.043570849177225555,0.04611682813003581,0.014070580015671175,0.002412434595282234,6.820161979222484e-06,0.03748757130017987,0.0035379873982891836,0.02152569693508287,-0.9806692644894596,0.017816356605007536,0.01539116718919662,0.0
4,0.09956349663104398,1.0,0.042794226860426506,start_prefix,4,0.04349453430011075,0.04691820136468651,0.007418201468149735,0.0025359637932989023,1.512736909342798e-05,0.03720413626404743,0.00361170360711978,0.02140581009789272,-1.123426448813263,0.018203410791446238,0.015556851696193488,0.0,0.041217566403762375,0.04521260426315681,0.0006183057124698756,0.0023351732177029133,6.819698868370054e-06,0.03517091666501035,0.0035289958102145682,0.02024751392109369,-1.2075520788551009,0.017793101810470776,0.014969870403763793,0.0
5,0.10028952657535217,1.0,0.04306886570673351,start_prefix,5,0.04200844921905754,0.04609237259859272,-0.005206940454537718,0.0025519135258859813,1.3614948926520256e-05,0.03578116834408362,0.003589098392917204,0.020596379068250834,-1.346909761994166,0.0181212336445145,0.015212489469219442,0.0,0.0408050210742408,0.045181238343791355,-0.0074134325601219655,0.002618948687557821,6.820719609552403e-06,0.034842795933838246,0.003525348633981098,0.020091983681869884,-1.36307272748657,0.017820010355934893,0.01493292513781439,0.0
6,0.10153794391861382,1.0,0.043069589669277875,start_prefix,6,0.041740444818952484,0.04629962732709548,-0.013801749035638468,0.00249166594618364,1.2584093409217652e-05,0.03551391629651948,0.003598634289927772,0.020432165833369386,-1.5165935266100605,0.01818340361784903,0.015250546066670563,0.0,0.04065423283390898,0.04500697450663047,-0.011896831833476585,0.0027149156618015793,6.819452287032695e-06,0.03459962105585469,0.0035270048593658778,0.019904624818572924,-1.4490990604042375,0.017827682103468943,0.014845297849249272,0.0
7,0.09953693455991075,1.0,0.04315561391339754,start_prefix,7,0.04119916315931966,0.04570575422973352,-0.01870189632034923,0.0025787193806460157,1.392207827644898e-05,0.03502039856457764,0.003574225292957703,0.020137902572835424,-1.601387946070135,0.018078322705864434,0.015053154028412102,0.0,0.040201634070072226,0.045008523557236585,-0.017149939728903794,0.0025061681132428544,6.821342845007416e-06,0.03410684696778103,0.0035238454349969745,0.01976562683623304,-1.546768012185576,0.017831210357447464,0.01482424512012768,0.0
8,0.09925360580115633,1.0,0.042910997404036075,start_prefix,8,0.04064680912267176,0.04556437291939018,-0.025584633992868498,0.002524266158159936,1.1878070889678005e-05,0.034526470983200545,0.003581892092272403,0.019864399652687638,-1.7305806872549878,0.01812747468705693,0.014919780100888803,0.0,0.039950885134872306,0.04472443354981286,-0.027684126065294974,0.0021681277649280017,6.820469328881435e-06,0.03379534010494512,0.0035197250434153135,0.019475097575831036,-1.750574017091403,0.017802869428008322,0.014800995302499918,0.0
9,0.10081191397430563,1.0,0.042851944290668624,start_prefix,9,0.040335487228388964,0.04569408918139214,-0.03144480928695325,0.0022547269996259856,1.4374177457380321e-05,0.03415237781027435,0.003588536891892198,0.019626850926761315,-1.8434063076829519,0.018154062385568534,0.015018497943869736,0.0,0.0392359969398332,0.04454217123843375,-0.032293291890589645,0.0018937106647100004,6.820880800645797e-06,0.033162106754918576,0.0035194968521378186,0.019132418114514577,-1.830006817503581,0.017796846766951223,0.01463653513343719,0.0
10,0.10061712545266197,1.0,0.04276620751535499,start_prefix,10,0.03997595397289315,0.045498860926111044,-0.03408338159636124,0.0021431606849877,1.3635114621446172e-05,0.03384732503532553,0.003592217528806537,0.019440292484113275,-1.8896678640482902,0.0181716106829918,0.014875919627719733,0.0,0.039803546572488455,0.04465399716029722,-0.03389654955432489,0.0018980320408772775,6.822180150371789e-06,0.03351879961512707,0.0035191244204287177,0.019392116320511653,-1.8704141260139526,0.017787573918227165,0.014697708830079705,0.0
11,0.09887288278158009,1.0,0.04313797980206107,start_prefix,11,0.03959611896530958,0.04542878889905907,-0.03657778325155251,0.0021212059496358744,1.1918705669787009e-05,0.0334729004613338,0.0035890698731409665,0.019233448636567268,-1.9329304732593242,0.01816046053474075,0.014836215719977227,0.0,0.038564864329244726,0.044345357312411855,-0.03741232048049963,0.002138467051000113,6.819096127223232e-06,0.03250844456334278,0.0035205541274672936,0.0188206493085812,-1.9220783871908982,0.01783543182093473,0.014490723200930805,0.0
