epoch,train_nll,val_nll,learning_rate
1,57.60382901061934,46.46391453598485,0.0005
2,42.451893357320245,34.48546882398201,0.0005
3,31.914467145170516,25.860163648200757,0.0005
4,24.30029682601749,20.395594556403882,0.0005
5,19.312376961854703,15.6988925818241,0.0005
6,15.21604740016766,12.597675808993253,0.0005
7,11.987978854364812,9.801586682868725,0.0005
8,9.626027925885051,8.174004248416786,0.0005
9,7.61671648303628,6.268327470259233,0.0005
10,5.4284901567744654,3.58446747750947,0.0005
11,3.4522239853439225,3.485086706912879,0.0005
12,2.4320469703292042,1.8638098514441288,0.0005
13,1.021650337981804,0.818243593158144,0.0005
14,0.010849438249038923,0.5046993371212121,0.0005
15,0.010339554780683607,0.3508859345407197,0.0005
16,-0.5628054039252751,-0.8181546297940341,0.0005
17,-1.6399202141489306,-2.12779365308357,0.0005
18,-3.644588125182701,-2.2378806374289772,0.0005
19,-3.6619265055340304,-3.2477601022431344,0.0005
20,-4.979129102784108,-4.793417265920928,0.0005
21,-5.547250088044346,-5.565466493548769,0.0005
22,-6.608451907476711,-6.267261297052557,0.0005
23,-7.715481413015357,-8.972583377722538,0.0005
24,-9.375256425377925,-9.196832460345643,0.0005
25,-9.694378177721834,-8.958363665956439,0.0005
26,-10.192210734980831,-9.991653349905302,0.0005
27,-11.07723257681989,-8.879179983428031,0.0005
28,-10.804383306138279,-9.02140743371212,0.0005
29,-10.69391208649432,-5.526808860085227,0.0005
30,-7.787873907878232,-5.196513782848012,0.0005
31,-9.033862605997793,-9.418519176136364,0.0005
32,-11.00796595943946,-11.334036162405303,0.0005
33,-12.710235346379303,-11.591403290719697,0.0005
34,-13.344837672742573,-9.324370043205493,0.0005
35,-11.545498250774326,-8.106791918205493,0.0005
36,-11.971931297377823,-11.10619784268466,0.0005
37,-13.953615564387277,-14.099772135416666,0.0005
38,-15.094385915252897,-10.02589962121212,0.0005
39,-12.872047710588257,-12.806466397372159,0.0005
40,-15.022380257623658,-12.017855187618371,0.0005
41,-14.875057354317473,-13.726397890033144,0.0005
42,-15.530632220945295,-13.21649169921875,0.0005
43,-16.12393560983894,-11.387024295691289,0.00025
44,-15.77367298402766,-15.425103574810606,0.00025
45,-17.35494608378155,-18.611018880208334,0.00025
46,-19.94311725586483,-18.284988310842802,0.00025
47,-20.241994532614513,-19.414645478219697,0.00025
48,-21.199760235581245,-17.624442175662878,0.00025
49,-20.99835080599004,-18.450297407670455,0.00025
50,-21.451195090456334,-19.67455018939394,0.00025
51,-22.379141452504175,-20.22060546875,0.00025
52,-22.411646675923574,-18.31041814630682,0.00025
53,-21.338772247550498,-20.639416873816288,0.00025
54,-22.991126888528395,-21.959096827651514,0.00025
55,-23.756810389838787,-20.163740678267047,0.00025
56,-23.235773597594868,-20.996626420454547,0.00025
57,-23.44540214686322,-21.107026811079546,0.00025
58,-23.733166925293055,-19.934635416666666,0.00025
59,-23.497633333535347,-21.921533942945075,0.00025
60,-24.983683361258333,-22.768322383996214,0.00025
61,-25.297165004705278,-22.16178681344697,0.00025
62,-24.71005900669744,-20.829627574573863,0.00025
63,-23.934904821274046,-21.874624171401514,0.00025
64,-24.924084884789945,-24.65908203125,0.00025
65,-26.1949584174221,-23.061711351799243,0.00025
66,-24.942676694802305,-22.14543235085227,0.00025
67,-24.711006121884235,-22.903621419270834,0.00025
68,-25.992982700770416,-24.553443122632576,0.00025
69,-26.63457798175189,-22.42823301373106,0.00025
70,-25.423453555370646,-23.181203391335227,0.000125
71,-26.92633393774665,-25.860995945785984,0.000125
72,-28.46554824474027,-26.090920928030304,0.000125
73,-28.623313080939322,-26.03672910748106,0.000125
74,-28.619428022751322,-26.082220643939394,0.000125
75,-28.87047474588298,-26.477429569128788,0.000125
76,-29.358078366841596,-26.80628107244318,0.000125
77,-29.461832751462357,-27.612517755681818,0.000125
78,-30.031735997874083,-27.38726103811553,0.000125
79,-30.26614390613501,-28.32039462002841,0.000125
80,-30.547599859966077,-26.70032256155303,0.000125
