source,row_index,log_prob,continuous_log_prob,event_structure_log_prob,nll,mask_pattern,primary_slot,event_risk
tail_all,0,191.9234,195.7525,-3.8290942,-191.9234,1,same_front,1.4397757
tail_all,1,147.4586,148.36768,-0.90907377,-147.4586,17,same_front,1.0505784
tail_all,2,180.6118,181.52087,-0.90907377,-180.6118,17,same_front,0.98568314
tail_all,3,181.18677,185.01587,-3.8290942,-181.18677,1,same_front,0.9260028
tail_all,4,47.35038,49.549416,-2.199037,-47.35038,51,same_front,0.9254244
tail_all,5,65.92373,68.010895,-2.087167,-65.92373,51,same_rear,0.9216803
tail_all,6,158.53108,159.44016,-0.90907377,-158.53108,17,same_front,0.9001394
tail_all,7,183.59659,184.50566,-0.90907377,-183.59659,17,same_front,0.8852593
tail_all,8,175.53694,176.44601,-0.90907377,-175.53694,17,same_front,0.84990746
tail_all,9,44.524887,46.612053,-2.087167,-44.524887,51,same_rear,0.80769455
tail_all,10,189.05695,189.96602,-0.90907377,-189.05695,17,same_front,0.7967232
tail_all,11,21.090254,23.289291,-2.199037,-21.090254,51,same_front,0.78224695
tail_all,12,45.922134,48.12117,-2.199037,-45.922134,51,same_front,0.7616492
tail_all,13,33.85018,35.937347,-2.087167,-33.85018,51,same_rear,0.75994706
tail_all,14,186.50478,187.41385,-0.90907377,-186.50478,17,same_front,0.7560195
tail_all,15,149.80453,153.63364,-3.8290942,-149.80453,1,same_front,0.747292
tail_all,16,164.61052,165.51959,-0.90907377,-164.61052,17,same_front,1.368763
tail_all,17,41.635193,45.86975,-4.2345595,-41.635193,50,same_rear,1.2818282
tail_all,18,32.499752,37.42746,-4.9277062,-32.499752,19,same_front,1.2768068
tail_all,19,116.612915,117.52199,-0.90907377,-116.612915,17,same_front,1.1427242
tail_all,20,136.93163,141.85933,-4.9277062,-136.93163,16,right_front,1.0460229
tail_all,21,193.12737,194.03644,-0.90907377,-193.12737,17,same_front,0.9337961
tail_all,22,140.15831,145.08601,-4.9277062,-140.15831,16,right_front,0.8753915
tail_all,23,188.03677,188.94585,-0.90907377,-188.03677,17,same_front,0.8437807
tail_all,24,77.355804,82.28351,-4.9277062,-77.355804,16,right_front,0.84115565
tail_all,25,67.88346,71.73361,-3.8501477,-67.88346,5,same_front,0.82940847
tail_all,26,170.27315,171.18222,-0.90907377,-170.27315,17,same_front,0.7706394
tail_all,27,92.233,95.982056,-3.7490516,-92.233,49,same_front,0.76151305
tail_all,28,111.34719,115.19734,-3.8501477,-111.34719,5,same_front,0.75523865
tail_all,29,189.75241,190.66148,-0.90907377,-189.75241,17,same_front,0.73776656
tail_all,30,188.68112,189.5902,-0.90907377,-188.68112,17,same_front,0.73193043
tail_all,31,78.30992,80.50896,-2.199037,-78.30992,51,same_front,0.7285761
tail_all,32,181.631,182.54007,-0.90907377,-181.631,17,same_front,1.1276243
tail_all,33,171.41403,172.3231,-0.90907377,-171.41403,17,same_front,1.0502256
tail_all,34,-21.674967,-19.5878,-2.087167,21.674967,51,same_rear,0.93047917
tail_all,35,3.4749436,5.6739807,-2.199037,-3.4749436,51,same_front,0.8983169
tail_all,36,184.28456,185.19363,-0.90907377,-184.28456,17,same_front,0.87882745
tail_all,37,186.90477,187.81384,-0.90907377,-186.90477,17,same_front,0.8288473
tail_all,38,158.9944,159.90347,-0.90907377,-158.9944,17,same_front,0.8214077
tail_all,39,155.47012,156.3792,-0.90907377,-155.47012,17,same_front,0.79381245
tail_all,40,57.256775,59.45581,-2.199037,-57.256775,51,same_front,0.7920218
tail_all,41,178.87228,179.78136,-0.90907377,-178.87228,17,same_front,0.7815033
tail_all,42,178.22516,182.05426,-3.8290942,-178.22516,1,same_front,0.77271605
tail_all,43,193.43248,194.34155,-0.90907377,-193.43248,17,same_front,0.7718662
tail_all,44,30.58631,32.673477,-2.087167,-30.58631,51,same_rear,0.74638206
tail_all,45,170.27647,171.18555,-0.90907377,-170.27647,17,same_front,1.0670298
tail_all,46,185.33519,186.24426,-0.90907377,-185.33519,17,same_front,0.99542177
tail_all,47,100.05456,102.624954,-2.5703964,-100.05456,21,same_front,0.81753224
tail_all,48,56.90995,58.997116,-2.087167,-56.90995,51,same_rear,0.8075518
tail_all,49,188.05629,188.96536,-0.90907377,-188.05629,17,same_front,0.74870515
tail_all,50,117.04002,117.9491,-0.90907377,-117.04002,17,same_front,1.21304
tail_all,51,112.00775,112.916824,-0.90907377,-112.00775,17,same_front,1.0447953
tail_all,52,161.30695,162.21602,-0.90907377,-161.30695,17,same_front,1.0198694
tail_all,53,51.910313,56.278404,-4.3680906,-51.910313,21,left_front,1.0189971
tail_all,54,172.47989,176.30899,-3.8290942,-172.47989,1,same_front,0.98406106
tail_all,55,61.681732,65.91629,-4.2345595,-61.681732,50,same_rear,0.9698024
tail_all,56,51.885334,56.450134,-4.564801,-51.885334,19,same_rear,0.9487215
tail_all,57,166.66182,170.49092,-3.8290942,-166.66182,1,same_front,0.9403912
tail_all,58,121.77238,125.62253,-3.8501477,-121.77238,5,same_front,0.9336206
tail_all,59,155.7408,156.64987,-0.90907377,-155.7408,17,same_front,0.8422409
tail_all,60,91.83427,95.68442,-3.8501477,-91.83427,5,same_front,0.82572323
tail_all,61,23.175472,29.084007,-5.9085355,-23.175472,13,same_front,0.82210475
tail_all,62,173.84871,174.75778,-0.90907377,-173.84871,17,same_front,0.78534836
tail_all,63,-13.950769,-8.648369,-5.3024,13.950769,15,same_rear,0.7823446
tail_all,64,139.1096,143.28354,-4.1739345,-139.1096,17,right_front,0.7616864
tail_all,65,131.39551,135.56944,-4.1739345,-131.39551,17,right_front,0.7272907
tail_all,66,120.77232,125.70003,-4.9277062,-120.77232,16,right_front,1.1983548
tail_all,67,186.70276,190.53186,-3.8290942,-186.70276,1,same_front,1.1350788
tail_all,68,-15.274726,-8.267578,-7.007148,15.274726,21,right_front,1.1323394
tail_all,69,137.1826,138.09167,-0.90907377,-137.1826,17,same_front,1.0387865
tail_all,70,-13.703478,-8.401077,-5.3024,13.703478,15,same_rear,1.0385948
tail_all,71,-5.2069607,0.5474243,-5.754385,5.2069607,15,same_front,1.0359095
tail_all,72,170.77689,171.68596,-0.90907377,-170.77689,17,same_front,1.0314224
tail_all,73,173.0069,173.91597,-0.90907377,-173.0069,17,same_front,0.9281995
tail_all,74,177.1361,178.04517,-0.90907377,-177.1361,17,same_front,0.9022366
tail_all,75,-35.958794,-28.2585,-7.700294,35.958794,11,same_rear,0.8957592
tail_all,76,-14.261841,-6.5615463,-7.700294,14.261841,41,same_front,0.8532394
tail_all,77,188.29704,189.20612,-0.90907377,-188.29704,17,same_front,0.8330533
tail_all,78,161.11858,162.02765,-0.90907377,-161.11858,17,same_front,0.8298491
tail_all,79,179.68742,180.5965,-0.90907377,-179.68742,17,same_front,0.8105876
tail_all,80,66.61107,70.97916,-4.3680906,-66.61107,21,left_front,0.8067283
tail_all,81,164.37875,165.28783,-0.90907377,-164.37875,17,same_front,0.76022315
tail_all,82,68.654465,72.88902,-4.2345595,-68.654465,5,left_front,0.7465459
tail_all,83,154.50444,155.41351,-0.90907377,-154.50444,17,same_front,0.9894348
tail_all,84,185.29716,186.20624,-0.90907377,-185.29716,17,same_front,0.83600444
tail_all,85,30.062796,34.297356,-4.2345595,-30.062796,5,left_front,0.8340468
tail_all,86,191.22171,195.05081,-3.8290942,-191.22171,1,same_front,1.087799
tail_all,87,25.655474,29.404526,-3.7490516,-25.655474,49,same_front,1.0825558
tail_all,88,163.42094,164.33002,-0.90907377,-163.42094,17,same_front,0.9653448
tail_all,89,122.18587,123.09494,-0.90907377,-122.18587,17,same_front,0.9538697
tail_all,90,52.017284,56.944992,-4.9277062,-52.017284,16,right_front,0.94733787
tail_all,91,70.26249,74.49705,-4.2345595,-70.26249,5,left_front,0.9448667
tail_all,92,149.04152,149.95059,-0.90907377,-149.04152,17,same_front,0.9419386
tail_all,93,96.751465,97.66054,-0.90907377,-96.751465,17,same_front,0.92950594
tail_all,94,196.22939,197.13846,-0.90907377,-196.22939,17,same_front,0.9208736
tail_all,95,145.40434,146.31342,-0.90907377,-145.40434,17,same_front,0.90248764
tail_all,96,71.27721,76.20491,-4.9277062,-71.27721,19,same_front,0.90037686
tail_all,97,158.02493,158.934,-0.90907377,-158.02493,17,same_front,0.8901881
tail_all,98,-2.1537137,3.7548218,-5.9085355,2.1537137,35,same_rear,0.8773329
tail_all,99,166.09431,167.00339,-0.90907377,-166.09431,17,same_front,0.8344527
tail_all,100,169.85002,170.7591,-0.90907377,-169.85002,17,same_front,0.81122667
tail_all,101,103.8704,107.72055,-3.8501477,-103.8704,5,same_front,0.8111691
tail_all,102,183.05171,183.96078,-0.90907377,-183.05171,17,same_front,0.79137385
tail_all,103,47.94568,52.119614,-4.1739345,-47.94568,17,right_front,0.76877874
tail_all,104,103.27813,105.848526,-2.5703964,-103.27813,21,same_front,0.75061846
tail_all,105,147.8764,151.7055,-3.8290942,-147.8764,1,same_front,0.7389282
tail_all,106,162.79512,163.7042,-0.90907377,-162.79512,17,same_front,0.7204066
tail_all,107,177.0309,177.93997,-0.90907377,-177.0309,17,same_front,1.1777904
tail_all,108,181.54686,185.37596,-3.8290942,-181.54686,1,same_front,1.1568401
tail_all,109,144.39294,148.22205,-3.8290942,-144.39294,1,same_front,1.0901189
tail_all,110,97.58561,100.156006,-2.5703964,-97.58561,21,same_front,1.0817163
tail_all,111,177.2697,178.17877,-0.90907377,-177.2697,17,same_front,0.9994614
tail_all,112,147.12563,148.0347,-0.90907377,-147.12563,17,same_front,0.98481095
tail_all,113,110.61536,111.52443,-0.90907377,-110.61536,17,same_front,0.9774459
tail_all,114,168.41374,169.32281,-0.90907377,-168.41374,17,same_front,0.9413151
tail_all,115,70.51705,73.08745,-2.5703964,-70.51705,21,same_front,0.9344277
tail_all,116,35.94741,38.034576,-2.087167,-35.94741,51,same_rear,0.90430456
tail_all,117,186.26593,190.09503,-3.8290942,-186.26593,1,same_front,0.8847274
tail_all,118,165.53334,166.44241,-0.90907377,-165.53334,17,same_front,0.8691757
tail_all,119,88.63802,91.20842,-2.5703964,-88.63802,21,same_front,0.86303455
tail_all,120,79.89947,82.469864,-2.5703964,-79.89947,21,same_front,0.8550057
tail_all,121,-23.609451,-22.700378,-0.90907377,23.609451,17,same_front,0.82530206
tail_all,122,159.4008,160.30988,-0.90907377,-159.4008,17,same_front,0.8142513
tail_all,123,-18.100271,-11.498589,-6.6016827,18.100271,43,same_front,0.80680263
tail_all,124,33.25386,37.48842,-4.2345595,-33.25386,5,left_front,0.7664037
tail_all,125,29.463387,33.29248,-3.8290942,-29.463387,1,same_front,0.7560723
tail_all,126,104.59619,107.16659,-2.5703964,-104.59619,21,same_front,0.75431496
tail_all,127,138.3595,139.26857,-0.90907377,-138.3595,17,same_front,0.7509155
tail_all,128,155.85327,156.76234,-0.90907377,-155.85327,17,same_front,0.7472648
tail_all,129,-37.71103,-31.62017,-6.090857,37.71103,59,same_rear,0.73633873
tail_all,130,165.11244,166.02151,-0.90907377,-165.11244,17,same_front,0.7348005
tail_all,131,169.18121,170.09029,-0.90907377,-169.18121,17,same_front,0.72345984
tail_all,132,160.21803,161.1271,-0.90907377,-160.21803,17,same_front,0.9880048
tail_all,133,161.19193,165.02103,-3.8290942,-161.19193,1,same_front,0.8715633
tail_all,134,89.67857,93.85251,-4.1739345,-89.67857,17,right_front,0.8361874
tail_all,135,84.98921,87.55961,-2.5703964,-84.98921,21,same_front,0.81713164
tail_all,136,177.8711,178.78017,-0.90907377,-177.8711,17,same_front,0.8019675
