model,train,val,test
conditional_maf,-100.38749558971774,-68.21192294034091,-82.77729922587386
gaussian,1.424753734812096,16.24375447105623,6.750512673645745
gmm,-125.60694885253906,-43.39147186279297,-65.97911834716797
copula,30.338563086222763,36.506997593218955,32.64745499922238
unconditional_realnvp,78.43931451612903,81.3102598248106,79.27347163516338
