t,ego_lower,ego_mean,ego_upper,tar_lower,tar_mean,tar_upper,ego_world,tar_world
0.0,-1.6929036720390151e-07,1.1905901547241508e-08,2.067788859256442e-07,-4.536174630784621e-05,5.693291753535353e-07,3.6946406802006016e-05,0.0,0.0
0.2,-2.2931583197104116e-06,-3.096689051555283e-08,1.6049516823405572e-06,-3.562668039345373e-05,3.6102109999092136e-06,3.0341926154442353e-05,0.0,0.0
0.4,-3.176754728949848e-06,3.780245113678878e-08,3.5922818053624546e-06,-4.321218453403019e-05,-3.5512464902846355e-06,2.8310562371947728e-05,0.0,0.0
0.6000000000000001,-8.557902491185201e-06,-1.6814330633015592e-07,5.532333750200424e-06,-4.134514776056826e-05,-9.834202054056126e-07,4.1133459236728913e-05,0.0,0.0
0.8,-1.1172075447057431e-05,-1.5972184375338355e-06,7.375622113353139e-06,-3.953594343346775e-05,-1.0266926106320777e-06,4.175397474156901e-05,0.0,0.0
1.0,-1.5453360605768034e-05,-1.4117631691116609e-06,9.776740438781502e-06,-4.282378189195273e-05,3.9536473252610447e-07,4.377256739861423e-05,0.0,0.0
1.2000000000000002,-2.409314623135378e-05,-4.583609416689191e-06,1.2826637822534765e-05,-3.1980471207708725e-05,1.4191104569742189e-06,2.8310269658561616e-05,0.0,0.0
1.4000000000000001,-2.187533906081141e-05,-3.812122427007125e-06,1.7315978120459257e-05,-5.719161350552228e-05,-5.927992645335205e-06,2.981016004310487e-05,0.0,0.0
1.6,0.0007466484114875586,0.0007673944268996517,0.0007881693993944435,-2.9272994503972165e-05,2.7892379353033907e-06,4.771846054658218e-05,0.0007726480253040791,0.0
1.8,0.004043161472286117,0.0040650255295137565,0.004081717795934562,-4.638656158852795e-05,4.041849277124736e-06,3.805034631027836e-05,0.004071123898029327,0.0
2.0,0.014905269745543345,0.01492449061324199,0.014947008236641208,-4.347641802322901e-05,-4.111245866624813e-06,3.256311348978146e-05,0.014929338358342648,0.0
2.2,0.12340202927453275,0.12342263072729111,0.12343908119704412,-4.3586099297995024e-05,-2.6303321268035995e-06,3.77249499342669e-05,0.1234278753399849,0.0
2.4000000000000004,0.3514211386434016,0.35144069949785867,0.35146193243544854,-5.283517913683531e-05,-5.023331732445512e-06,4.642564429015498e-05,0.3514487147331238,0.0
2.6,0.5389179587364197,0.5389410448074341,0.538964854179414,-3.777827519276533e-05,-1.5987528968253172e-07,4.537227919568318e-05,0.5389482975006104,0.0
2.8000000000000003,0.7041538856880696,0.7041764791806538,0.704196950042313,-4.0176998669650444e-05,-7.148076838348061e-07,3.903740291112351e-05,0.7041875720024109,0.0
3.0,0.8410174749748738,0.8410462800661723,0.8410691536936674,-3.9683605352440036e-05,5.045823411364836e-07,4.182760319805982e-05,0.8410607576370239,0.0
3.2,1.0647016748770997,1.0647269344329835,1.0647491708395866,-3.403844522191077e-05,-2.247925359976458e-06,3.678349690234293e-05,1.0647385120391846,0.0
3.4000000000000004,1.3507174313019379,1.350747496287028,1.3507779836654663,-3.785326741594567e-05,-4.573428335182447e-06,2.9113608224853157e-05,1.3507614135742188,0.0
3.6,1.8228693082894623,1.8229051144917805,1.8229357972717812,-3.716121750402926e-05,6.068328540701867e-07,4.571373420435008e-05,1.822914958000183,0.0
3.8000000000000003,2.3198000699246295,2.3198341115315757,2.3198734044996714,-3.715748042799713e-05,-8.103117822126177e-07,3.021273681768526e-05,2.3198413848876953,0.0
4.0,2.8002352058882036,2.8002376397450766,2.8002393573521234,-3.689426082015531e-05,-2.350372473453414e-06,3.4357800665958606e-05,2.8002376556396484,0.0
4.2,3.233919382095337,3.2339213943481444,3.2339227527378656,-3.8281083748251364e-05,-2.9812564290902323e-06,3.479017429902793e-05,3.2339212894439697,0.0
4.4,3.592011538147654,3.5920135752360025,3.592015266418457,-4.251094341423042e-05,6.439067360020091e-06,4.095328163875555e-05,3.592013359069824,0.0
4.6000000000000005,3.773897343873433,3.773899017969767,3.7739008128640372,-3.755633858217718e-05,-1.4382060120018044e-06,3.4644271589425193e-05,3.7738990783691406,0.0
4.800000000000001,3.7735702991485596,3.773572425842285,3.7735743522644043,-3.683512925890453e-05,2.0129044658763935e-06,3.9254109506175944e-05,3.7735726833343506,0.0
5.0,3.6270840167999268,3.6270861784617106,3.6270876258610345,-3.035691986650984e-05,1.3504131129593588e-06,3.792934845268095e-05,3.6270861625671387,0.0
5.2,3.37392258644104,3.3739248434702556,3.373926910757885,-2.4443778788742608e-05,4.60966350696405e-06,3.430658134218558e-05,3.373924970626831,0.0
5.4,3.056131362915039,3.05613330523173,3.0561349391937256,-3.670146109887085e-05,-2.0544249355225474e-06,3.7842186645153585e-05,3.056133508682251,0.0
5.6000000000000005,2.776323080062866,2.776325044631958,2.776326927542553,-3.8605194943873754e-05,-5.785412167824689e-07,2.9285634000159672e-05,2.776325225830078,0.0
5.800000000000001,2.513233184814453,2.5132350667317707,2.5132365882394034,-3.185261543303116e-05,-2.2578246254549114e-06,3.220279391255406e-05,2.513235092163086,0.0
6.0,2.300551414489746,2.300553509394328,2.300555467605591,-3.2688436741422984e-05,5.781221958992925e-07,3.621442298650836e-05,2.300553560256958,0.0
6.2,2.1675586700439453,2.1675606536865235,2.1675627559422113,-2.9374730236467645e-05,1.3364609617383395e-06,3.5699230661846236e-05,2.167560577392578,0.0
6.4,2.185525265335764,2.1855272483825683,2.1855295360085685,-3.3179646834358145e-05,3.1753692474012497e-06,3.6884577275487464e-05,2.1855273246765137,0.0
6.6000000000000005,2.3358690947286065,2.335871394475301,2.335873398184643,-4.1988434222691764e-05,-2.194584582563645e-07,3.481349342213989e-05,2.335871458053589,0.0
6.800000000000001,2.4912510782477515,2.4912527879079183,2.4912541240452386,-3.722020048185167e-05,2.031875543859011e-06,3.1772229323893276e-05,2.491252899169922,0.0
7.0,2.675321340560913,2.675323028564453,2.675324949622021,-3.436160433155762e-05,-1.1868599813169568e-06,3.848343670182249e-05,2.6753227710723877,0.0
7.2,2.819520798325266,2.8195226542154948,2.8195243209599115,-4.224691713544086e-05,1.2746220393940652e-06,3.735865660224575e-05,2.8195226192474365,0.0
7.4,2.8909525871276855,2.890954367319743,2.890955924987793,-3.2293743704739066e-05,-1.139621692042662e-06,3.0037151396241478e-05,2.89095401763916,0.0
7.6000000000000005,2.8922847181555884,2.892286494572957,2.8922882080078125,-4.130381230477439e-05,-8.725319366931217e-07,3.493217512600495e-05,2.8922863006591797,0.0
7.800000000000001,2.8227028191084185,2.8227051321665444,2.8227076858280755,-3.243616342821856e-05,-4.07613248777731e-07,3.395422870349137e-05,2.8227055072784424,0.0
8.0,2.7520150482649126,2.752016919453939,2.752018484473095,-3.561736643729607e-05,-1.3573717781885837e-06,3.4147161834227866e-05,2.752017021179199,0.0
