epoch,train_joint_nll,train_mask_nll,train_c0_nll,train_k_nll,val_joint_nll,val_mask_nll,val_c0_nll,val_k_nll
1,164.70136251477237,2.3336388567678004,55.81735575845374,106.5503682866243,143.0115756824412,2.3157165743450867,53.167239283912664,87.52861923744099
2,126.94208005141986,2.3336388651550917,50.545425944486816,74.06301559697974,129.96300603084785,2.3157165743450867,51.33590654788391,76.3113833443187
3,116.40225823988952,2.3336388620098574,49.45027209311788,64.61834669744172,122.31511730350073,2.3157165743450867,50.71779371903673,69.28160774325649
4,109.74157695888472,2.3336388643163626,48.77084542445222,58.63709313519143,117.90002157910892,2.3157165743450867,50.4608863964762,65.12341837475253
5,105.73974049103953,2.3336388582355765,48.33228886396947,55.07381285878819,114.25108505292012,2.3157165743450867,49.665451720201496,62.26991810497649
6,102.60473921670807,2.333638861380811,48.04073987099729,52.2303613524146,111.43103385198546,2.3157165743450867,49.554194775773574,59.561123086285505
7,99.36526595147363,2.333638864735727,47.792679911823136,49.238947858478994,108.9297064616567,2.3157165743450867,49.395230340256894,57.21876022442273
8,96.88802324887318,2.3336388605420817,47.5503365524696,47.00404907550312,110.33917808431052,2.3157165743450867,50.348364263389456,57.67509725470904
9,94.04395451839073,2.3336388643163626,47.37839310210927,44.3319226513545,105.63853780493318,2.3157165743450867,48.98716046736989,54.33566177520368
10,93.6159086326885,2.3336388664131853,47.45002545308012,43.83224464281573,104.99340297937448,2.3157165743450867,48.90986067123372,53.76782659706227
11,91.50497111390096,2.3336388557193892,47.19006967812556,41.981263060018755,102.85044539816207,2.3157165743450867,48.56391033828191,51.97081886546533
12,89.01977392452652,2.333638863896998,46.91207205826432,39.77406356766861,100.98844669974967,2.3157165743450867,48.439336417861966,50.23339419901203
13,87.55041819436143,2.333638875429523,46.8526152962665,38.364164250590036,99.61929730033599,2.3157165743450867,48.60527329621707,48.69830736354746
14,85.95067362964814,2.333638851945108,46.63918967280493,36.97784525901458,99.488956508057,2.3157165743450867,48.19623186150228,48.9770087681675
15,85.28487622854357,2.3336388609614462,46.59553127275975,36.35570628479451,98.29458651393436,2.3157165743450867,48.382174421662036,47.596695581829884
16,84.17228758091521,2.3336388716552423,46.42938003868192,35.40926889472841,98.6972687480964,2.3157165743450867,48.00512645119879,48.37642740377294
17,83.34081232779884,2.333638867671279,46.45982519758042,34.54734908827596,97.32031361539157,2.3157165743450867,48.14448945999581,46.86010835136798
18,82.01956007544214,2.333638863896998,46.282640170019654,33.40328172425099,97.02682583651394,2.3157165743450867,48.5672281634587,46.14388080940546
19,81.23311454446998,2.3336388689293726,46.22835581355489,32.671120464193216,96.0255559260308,2.3157165743450867,47.98973484688499,45.720104847551255
20,80.28319340245213,2.3336388573968474,46.12857144275793,31.820983926139018,97.12720669068378,2.3157165743450867,48.91754880507357,45.8939412636286
21,80.174621381575,2.3336388672519144,46.30159402883382,31.539388966919773,94.30161942958577,2.3157165743450867,47.885969838919614,44.099933656509364
22,79.22268476678983,2.333638857816212,46.18313384463334,30.70591224110244,95.47259207780496,2.3157165743450867,49.613686285859096,43.54318952317159
23,78.29741610776442,2.333638859703352,46.147384824510496,29.81639326311842,93.75008633130759,2.3157165743450867,47.69369609312538,43.74067478736175
24,77.14181849139767,2.3336388538322486,45.84162906207916,28.96655108711102,93.32549371692492,2.3157165743450867,47.77926772610028,43.230510595773765
25,77.1430510474425,2.3336388567678004,45.866181521592566,28.943231036026113,94.3424035736551,2.3157165743450867,48.05738113346389,43.96930700796062
26,75.920159510442,2.333638857187165,45.65636767369449,27.930153440861357,92.47990413878684,2.3157165743450867,47.48623060259699,42.67795747190403
27,76.25281141998529,2.3336388680906435,45.75562441342641,28.16354836911875,91.31578809999144,2.3157165743450867,47.431068206045836,41.569003941198936
28,75.65069501656953,2.333638859703352,45.67167202755476,27.64538413350506,91.59673315193596,2.3157165743450867,48.40927211628151,40.87174470181568
29,74.87843084491934,2.333638858864623,45.543647087266905,27.00114528124828,94.60114723971817,2.3157165743450867,48.44760269633271,43.837827623966106
30,75.24046662915602,2.333638873123018,45.54271260212902,27.36411565127034,90.83985505263459,2.3157165743450867,47.443814120143436,41.08032475666617
31,73.57860512880302,2.3336388626389044,45.400952526536585,25.844013885985767,91.00876407772881,2.3157165743450867,48.19432550858881,40.49872270004771
32,73.43830134192363,2.3336388666228673,45.42168799024723,25.68297470417152,90.15861767886717,2.3157165743450867,47.31910230014562,40.523798942638535
33,73.26670704107319,2.333638857187165,45.36907178546936,25.563996537645707,91.51181549162891,2.3157165743450867,48.3081919301866,40.88790697664043
34,72.39699491276573,2.3336388695584196,45.2512778876759,24.812078912694123,90.27713591537064,2.3157165743450867,47.73452290092229,40.226897600807604
35,72.50411348318913,2.333638863896998,45.25108648969241,24.91938833257217,92.53352309366196,2.3157165743450867,48.9292917404808,41.28851487991843
36,71.79161047852595,2.333638851945108,45.23793192938937,24.2200400945394,90.44060725783808,2.3157165743450867,48.13814462940446,39.98674647119851
37,71.43613312652018,2.333638868510008,45.12284681462224,23.979647785170044,90.6223405346979,2.3157165743450867,47.06269902303596,41.24392602366177
38,71.08214349208475,2.3336388718649244,45.12578153785183,23.622723226210045,89.56953812081208,2.3157165743450867,47.709889217821996,39.543932745754965
39,70.61250596906734,2.3336388609614462,45.12612057228863,23.15274690359999,89.9196033935268,2.3157165743450867,47.464418451194035,40.13946891522667
40,70.3045139032032,2.3336388609614462,44.90490247767826,23.065973101769487,90.63371879283103,2.3157165743450867,47.10365233482687,41.2143498453175
41,69.59180981155784,2.3336388544612956,44.89781171749929,22.36035934255125,89.74728781385632,2.3157165743450867,46.959417741805,40.47215352442916
42,69.86477487222331,2.333638851945108,44.91765878255933,22.613477485773007,89.47751694056718,2.3157165743450867,47.54816113943049,39.613640080763275
43,69.30253263716402,2.333638870187466,44.80459444468242,22.164299662398783,89.6422971578633,2.3157165743450867,46.788790158558115,40.537791232457124
44,69.17978086732481,2.333638861380811,45.02467999666226,21.821462600585765,89.72197303548313,2.3157165743450867,47.01789389235371,40.3883631067284
45,68.82314787408875,2.3336388727036534,44.76456243757171,21.724947022178842,90.62143866625343,2.3157165743450867,47.12186165991681,41.183861713529964
46,69.09159198689747,2.3336388553000247,44.87183380430992,21.886119627342858,89.69703503638259,2.3157165743450867,47.55563526680761,39.82568381682832
47,68.03585774961007,2.333638863896998,44.613897145561936,21.08832203035142,89.04519774851519,2.3157165743450867,47.17125324355869,39.558229388753524
48,67.49975482941565,2.333638863896998,44.61988642963672,20.54622977575846,89.07034410276117,2.3157165743450867,47.45793482871155,39.296692652068025
49,67.5994036984921,2.333638865574456,44.58553780196395,20.680227302701926,90.27091165860809,2.3157165743450867,46.89231169513344,41.06288395495841
50,67.05396132833435,2.3336388567678004,44.66900488239649,20.05131807185866,87.70090678360333,2.3157165743450867,47.23404008509099,38.15115052268736
51,67.12357262395692,2.3336388651550917,44.48756542489668,20.302368482779563,88.95544735678968,2.3157165743450867,46.737146803823144,39.90258328963477
52,66.43448058861445,2.333638856348436,44.50389702062485,19.596944737641778,90.10069294073136,2.3157165743450867,46.91235920412201,40.87261841591792
53,66.5218573679011,2.3336388567678004,44.57597606530138,19.61224260309363,87.61407027799721,2.3157165743450867,46.89503641084244,38.40331761232291
54,66.0027783405091,2.3336388626389044,44.3770799576164,19.29206000713604,90.24685920605536,2.3157165743450867,47.192412723583956,40.73873025087685
55,66.81040183525202,2.333638859703352,44.536991429557276,19.939772110456087,92.78706620934621,2.3157165743450867,51.06533145868233,39.40601776618002
56,65.93718391319173,2.3336388756392057,44.527932779391,19.075612519845002,88.6826504261688,2.3157165743450867,47.192102049851755,39.17483235850589
57,65.49264014532747,2.3336388626389044,44.41111962767835,18.747882382502876,88.31312283465316,2.3157165743450867,47.04972625688271,38.94768081556985
58,64.85367848606415,2.3336388651550917,44.267303612316375,18.252736414118218,90.00126306941483,2.3157165743450867,48.109346799183115,39.576200484793794
59,64.8188223065013,2.333638868510008,44.37672489003389,18.108459074259923,88.87255770143675,2.3157165743450867,46.673361054779704,39.88348135385039
60,64.34423635552795,2.333638873752065,44.2085761420565,17.802021997073332,88.37933656806804,2.3157165743450867,46.851325033134565,39.212295754143014
61,64.50350311317459,2.333638873123018,44.171655947440215,17.99820861132842,89.28949590398472,2.3157165743450867,47.689487367521224,39.28429251865232
62,64.04738908055751,2.3336388607517637,44.10927349029296,17.604476634107336,89.80654908853175,2.3157165743450867,46.88429167653169,40.60654119899537
63,63.93527711287807,2.333638868510008,44.0863421431829,17.51529646980661,89.35017785290394,2.3157165743450867,46.62975305528059,40.40470875657486
64,63.41556952846945,2.3336388634776335,44.132381883053945,16.949548865391414,89.56170446555195,2.3157165743450867,47.32681106872953,39.919177880937454
65,63.75770134490817,2.3336388626389044,44.12342653412009,17.300636362061994,89.83652427032571,2.3157165743450867,47.95291032430233,39.56789716602797
