epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,1.0,1.0899482857097278,0.07419423047791827,0.02433879248459231,0.4455070794306018,0.031444406560198826,0.6205705888569355,0.12188484418121251,0.14439765062521803,10.918163681030274,1.0,0.03868915819647637,15.154545454545454,3.614082932472229,0.9153114855289459,1.203761155406634,1.0295060724020004,1.6729515393575032,1.4244680056969325,0.02635692013427615,9.310083707173666,0.034579298458993435,0.0,0.0,0.0,0.37700478732585907,1.7796999166409175,1.0,0.038011956649521984,0.17583308182656765,0.2044119412700335,0.5964685846762531,2.2137275824099745
2,1.0,0.8721683144569397,0.06856579912657088,0.024297185513106258,0.34835575128143487,0.03127676368775693,0.48292138542641294,0.10953362096439709,0.12994968288324096,8.618991418318315,1.0,0.038637785181741824,13.745454545454546,3.1580247382322946,0.7938422908385595,1.0228949710726738,0.9533781831463178,1.4139690051476161,1.3139202843109767,0.026215034459407132,7.758184969425201,0.06967145747815569,0.0,0.0,0.0,0.38970280190308887,1.4597621411085129,1.0,0.038011956649521984,0.16948487609624863,0.1963025312870741,0.4817110243732612,1.762557491292824
3,1.0,0.8661862655119462,0.0717659773135727,0.024120224233378063,0.39838800247419964,0.031085016138174316,0.5523123160004616,0.11689909520474347,0.13841068907217546,7.438241100311279,1.0,0.03866264292631637,15.136363636363637,3.0965687930583954,0.7832989369829496,1.0081037307778995,0.9403950199484825,1.3926462978124619,1.2951176315546036,0.026198657074322302,7.295421898365021,0.09065896769364674,0.0,0.0,0.0,0.38103985289732617,1.3647446160515149,1.0,0.038011956649521984,0.16840847209095955,0.19488542651136717,0.4740788774357429,1.7288821768963893
4,1.0,0.8237349664623087,0.06954231417991898,0.02421125095676292,0.38764989613132045,0.031160520389676094,0.5363321761516008,0.11176362924955108,0.13233225230466236,6.846629936044867,1.0,0.03860795551233671,14.50909090909091,3.1555456022421517,0.8162281016508738,1.0593251511454582,0.9566928346951803,1.4671240498622258,1.319583237171173,0.02623857945824663,6.4659905433654785,0.09727082929263513,0.0,0.0,0.0,0.35471904650330544,1.2028001298507054,1.0,0.038011956649521984,0.168945067251722,0.1956607655932506,0.485816839235746,1.7820555628293453
5,1.0,0.7935495880517093,0.07014837143096057,0.024156306565485217,0.38905279345133087,0.031077372790737585,0.5383317877623168,0.11330019455741752,0.13402261652729727,6.203842319141735,1.0,0.03864275664937767,14.718181818181819,2.9740306635697684,0.7643726294239362,0.9812822764118513,0.9403323531150818,1.354192465543747,1.294775515794754,0.02619063318707049,5.760868608951569,0.10157641240706046,0.0,0.0,0.0,0.3756627291440964,1.0567258993784587,1.0,0.038011956649521984,0.16779671298960844,0.1938490035633246,0.4617495633486295,1.6768608286588924
6,1.0,0.758395409042185,0.06986012343655933,0.02409557717090303,0.3743414728140289,0.030976109833202578,0.5182685560800813,0.11273157166486436,0.13357239250432362,5.801964564756914,1.0,0.038621213363314214,14.5,2.9632677932580314,0.759898749490579,0.9747592856486639,0.9512042899926504,1.3451088815927505,1.3109187583128612,0.026174276368692517,5.548109531402588,0.09765993244946003,0.0,0.0,0.0,0.35810795923074085,1.018468327820301,1.0,0.038011956649521984,0.16761619597673416,0.19376370000342527,0.4637056981222046,1.6880853710512884
7,1.0,0.7590841260823337,0.0703124667771838,0.024056840349327435,0.3912579207257791,0.03095328506420959,0.5412596789273348,0.11375349746509032,0.134582301534035,5.469137833335183,1.0,0.03860464117235758,14.754545454545454,2.8538296024004617,0.7334569493929545,0.9360745946566263,0.9305427620808283,1.2892037630081177,1.28115480641524,0.0261706553089122,5.0751054883003235,0.1024762224406004,0.0,0.0,0.0,0.3383476138114929,0.92685633401076,1.0,0.038011956649521984,0.1664704376210769,0.19255838729441166,0.4492600467202549,1.6271666584133526
8,1.0,0.7276253857395866,0.06891837092963132,0.024152087098495527,0.3736163458363576,0.031053016978231342,0.5167990418997678,0.11058429266241464,0.13099385140971703,5.218771422993053,1.0,0.03864441398869861,14.381818181818181,2.9598554968833923,0.7628388106822968,0.9793660218516985,0.9373267044623693,1.351134642958641,1.2906804978847504,0.026202647558723886,5.6064794063568115,0.10657169887175162,0.0,0.0,0.0,0.32445820917685825,1.0350898926456769,1.0,0.038011956649521984,0.16676745067040125,0.19283637342353663,0.46551432891269445,1.6944132244441399
9,1.0,0.7002263247966767,0.06874904927204956,0.024103026921776207,0.3537562174553221,0.030998755822127515,0.4898100048303604,0.11023826697333293,0.13080346601253207,5.072360517761924,1.0,0.03870407287878069,14.1,2.8852753142515817,0.7420748919248581,0.949847936630249,0.9282754038770994,1.3087607026100159,1.2775799930095673,0.02617529220879078,5.3015414873758955,0.11816255934536457,0.0,0.0,0.0,0.31606971720854443,0.9734618365764618,1.0,0.038011956649521984,0.16460991588731608,0.18998057705660662,0.4528555808473825,1.6407161362021234
10,1.0,0.7568192281506279,0.07228281562301246,0.02393424113027074,0.41881891844624825,0.03077294384552674,0.5791395067491315,0.11827531639825214,0.13962712514806877,4.835664931210604,1.0,0.03867590076882731,15.563636363636364,2.829181750615438,0.7319652214646339,0.9342000409960747,0.9232492794593176,1.2860812743504841,1.2703277220328648,0.02617584797553718,4.795344173908234,0.11861512809991837,0.0,0.0,0.0,0.3241862462212642,0.8705085590481758,1.0,0.038011956649521984,0.16531318301955858,0.19102083332836628,0.4501837588119165,1.627847229931877
