epoch,train_nll,val_nll,learning_rate
67,-114.52160351809968,-88.31773792613636,2.5e-07
68,-114.60067830165649,-88.32349964488637,2.5e-07
69,-114.43500606323438,-88.32921105587121,2.5e-07
70,-114.6280333685886,-88.32614820075757,2.5e-07
71,-114.70751750097189,-88.30692471590909,2.5e-07
72,-114.40088504721167,-88.31982421875,2.5e-07
73,-114.63171657980936,-88.33331853693181,2.5e-07
74,-114.73322891110192,-88.33127367424242,2.5e-07
75,-114.61267952776248,-88.32332504734849,2.5e-07
76,-114.72987332426834,-88.33158439867424,2.5e-07
77,-114.54009187219013,-88.34362571022727,2.5e-07
78,-114.5066027091686,-88.34074041193182,2.5e-07
79,-114.73621284833123,-88.32014086174243,2.5e-07
80,-114.59467069490775,-88.33639026988637,2.5e-07
81,-114.36883507983188,-88.34251893939394,2.5e-07
82,-114.32680309776717,-88.34102746212122,2.5e-07
83,-114.43157165029454,-88.33727509469696,2.5e-07
84,-114.43020884067936,-88.3311553030303,2.5e-07
85,-114.51270682460996,-88.32945075757576,2.5e-07
86,-114.41050648404969,-88.34132339015152,2.5e-07
87,-114.4110594924298,-88.33450520833334,2.5e-07
88,-114.67633504011499,-88.32389914772727,2.5e-07
89,-114.3595572540919,-88.32672821969697,2.5e-07
90,-114.68532455672789,-88.32425426136363,2.5e-07
91,-114.53735720531364,-88.32170040246213,2.5e-07
92,-114.72540969648176,-88.33745265151515,2.5e-07
93,-114.62997011292116,-88.34513494318182,2.5e-07
94,-114.3276707892548,-88.34341560132576,2.5e-07
95,-114.78418072025043,-88.34089133522727,2.5e-07
96,-114.38290805505548,-88.34077296401514,2.5e-07
97,-114.43038431465901,-88.33817471590909,2.5e-07
98,-114.64465437765757,-88.3291015625,2.5e-07
99,-114.61828719054819,-88.31625236742424,2.5e-07
100,-114.54048667005702,-88.31703361742424,2.5e-07
101,-114.78276433609467,-88.3242246685606,2.5e-07
102,-114.69409246240379,-88.33890565814394,2.5e-07
103,-114.58713969084384,-88.34868312026515,2.5e-07
104,-114.54014939333416,-88.33464725378788,2.5e-07
105,-114.70960549851992,-88.33078243371212,2.5e-07
106,-114.67818983073157,-88.3326201467803,2.5e-07
107,-114.60633157923775,-88.32678740530304,2.5e-07
108,-114.60850493357286,-88.32283972537878,2.5e-07
109,-114.40686982090905,-88.32839133522727,2.5e-07
110,-114.72406998780366,-88.3353426846591,2.5e-07
111,-114.68788470540679,-88.34107481060606,2.5e-07
112,-114.55720945664248,-88.34921875,2.5e-07
113,-114.77042169183426,-88.34578006628787,2.5e-07
114,-114.71499910418493,-88.33420336174242,2.5e-07
115,-114.77380993213528,-88.3475556344697,2.5e-07
116,-114.67886075943913,-88.35154474431818,2.5e-07
117,-114.50473829187032,-88.3421904592803,2.5e-07
118,-114.73420856934463,-88.33115826231061,2.5e-07
119,-114.45217412263986,-88.33396957859848,2.5e-07
120,-114.73247308730161,-88.34525627367424,2.5e-07
121,-114.36314687372106,-88.35617009943182,2.5e-07
122,-114.48770613906497,-88.35374053030303,2.5e-07
123,-114.60123733861231,-88.33987926136363,2.5e-07
124,-114.99560935012958,-88.34067234848484,2.5e-07
125,-114.58383234891988,-88.34260771780303,2.5e-07
126,-114.54065846256712,-88.34302201704546,2.5e-07
127,-114.49077119740157,-88.3477627840909,2.5e-07
128,-114.66748874023988,-88.34578006628787,2.5e-07
129,-114.82320939263691,-88.35103574810606,2.5e-07
130,-114.6462335063741,-88.37260890151515,2.5e-07
131,-114.92258743019062,-88.36774976325758,2.5e-07
132,-114.67539315712152,-88.3572324810606,2.5e-07
133,-114.7192306387662,-88.35174005681819,2.5e-07
134,-114.48123975640694,-88.34886067708334,2.5e-07
135,-114.51588723149155,-88.34095643939393,2.5e-07
136,-114.4046943182373,-88.33882871685606,2.5e-07
137,-114.84598433582927,-88.34315222537879,2.5e-07
138,-114.75877910016216,-88.33345762310606,2.5e-07
139,-114.68216940483569,-88.32346709280303,2.5e-07
140,-114.77219178079177,-88.33148082386364,2.5e-07
141,-114.41298437392413,-88.33565932765151,2.5e-07
142,-114.62423265927546,-88.335546875,2.5e-07
