x_ego,y_ego
30.00000867207845,2.7569857047637923e-06
32.99599899291992,0.0055841940268874166
35.924997057474485,0.0290305903479597
38.72308930405426,0.0544694654405737
41.3498544841697,0.07374249955858371
43.77587326670808,0.06379615224903801
46.030736098341066,0.035678793713669256
48.14415482949455,0.01870273440102175
50.09683898340892,0.0010740049175309043
51.86390450834814,-0.012379453609965695
53.50525611945004,-0.031562025899081775
55.029197938151704,-0.052802804877661876
56.384164584132535,-0.06008352104147207
57.59083221770595,-0.05578982111863598
58.6589627535739,-0.0426549179001678
59.52434758225509,-0.035815235866118206
60.19364412463597,-0.038848560455028734
60.7868148511309,-0.045054473078346355
61.36792214994971,-0.05184415858365896
61.941006046875856,-0.06048797103794548
62.50246979993254,-0.07198254035550526
63.04453686413595,-0.08929270426725626
63.56431521519946,-0.10980146434322713
64.04308468608147,-0.13047719393775115
64.46086783767282,-0.15018382628448604
64.84414401394883,-0.169551994039123
65.21136152271116,-0.18967636263060786
65.55445968175255,-0.21132003747550163
65.8812184643664,-0.23702972511771075
66.19971334346059,-0.26576806257509766
66.19971334346059,-0.26576806257509766
