epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,1.0,1.0917191169478677,0.07564737495373595,0.024180066246878018,0.4664865980771455,0.03122364773669026,0.6501176571981473,0.12528758411380378,0.14835141968320717,10.508101432973689,0.09795955988493833,0.03859304084696553,15.4,3.2624556620915732,0.8177423551678658,1.057170994579792,0.9711754893263181,1.462244302034378,1.3395489354928334,0.02628551485637824,8.327336132526398,0.0490572500663499,0.26098573580384254,0.023627253792559106,1.96574068069458,0.4186371900141239,1.4167187064886093,0.06808159438272317,0.038011956649521984,0.16940576396882534,0.19612017335991064,0.5043446002922761,1.8538043468785543
2,1.0,0.8674089727076617,0.07029923275113106,0.0240949155932123,0.3975400507111441,0.031005002693696455,0.5500718691132286,0.11358449669046836,0.1345083396543156,7.509495332024314,0.07467267486182126,0.03870738743042404,14.772727272727273,3.2086418668429055,0.8269859875241915,1.0753057996431987,0.9635371839006742,1.4902873436609905,1.329596569140752,0.02625861732910077,6.856257339318593,0.05769456038251519,0.2804110112289588,0.019047059623214107,1.8776054506500561,0.4081820559998353,1.124304252366225,0.07546957861632109,0.038011956649521984,0.16856015721956888,0.19514534436166286,0.5078084327039486,1.878050274465579
3,1.0,0.8062076446684924,0.07006699930537831,0.024158514714376494,0.3934889442880045,0.03104280439967459,0.5448125367137518,0.11315186677331274,0.13404660424725576,6.3698636011643845,0.07517389810898087,0.038637785147875546,14.590909090909092,3.0954547127087912,0.8040781418482462,1.0391587267319362,0.9522468075156212,1.4362658460934956,1.3125380277633667,0.026251754180217784,5.9994202653567,0.07112514212106665,0.2692228766779105,0.016779753379523754,1.8800110816955566,0.3957015673319499,0.9553176114956538,0.0725394869223237,0.038011956649521984,0.16820738837122917,0.19456682913005352,0.4913791609326959,1.7993910665804274
4,1.0,0.7606453039429405,0.07030381421473893,0.024072057330472903,0.3777577092701739,0.03094536657021804,0.5236407685686242,0.11372393870895559,0.1347585228356448,5.770234277031639,0.08013004450635476,0.03866098601032387,14.6,3.041524291038513,0.7982630829016367,1.0315192018946011,0.9442336112260818,1.4269623557726543,1.301418090860049,0.026217547400544088,5.350167214870453,0.06712436287974317,0.2757926943401496,0.01555708951006333,1.8294131308794022,0.3890552669763565,0.8290569062034289,0.07620783088107903,0.038011956649521984,0.16760730122526488,0.1938349741200606,0.48462463438625664,1.7827582457076017
5,1.0,0.7573356958952817,0.07027014399116689,0.023978506519713186,0.39626266238364305,0.030785087817771867,0.5477477742867036,0.11379658718678085,0.13456614857370203,5.336487549001521,0.0775628563016653,0.038684186788106506,14.818181818181818,2.9710972805817923,0.7783780371149381,0.9993109901746114,0.9376634458700815,1.3798008014758427,1.2915694614251454,0.026243517796198528,5.114896575609843,0.08124868664890528,0.2974417445560296,0.012801821033159891,1.749652882417043,0.37662788728872937,0.7818726425369581,0.08326148738463719,0.038011956649521984,0.16855406078199545,0.19518043287098408,0.4811563047412398,1.763069722268527
6,1.0,0.7060671112754128,0.06873669715767557,0.024080965752628716,0.36535655314272103,0.03096081692386757,0.5053593714128841,0.11019835292615673,0.13068953708491543,4.957857790860262,0.07866601137952371,0.03866927196187052,14.163636363636364,3.079388737678528,0.8152808944384257,1.0558678358793259,0.9590833062926928,1.4617075026035309,1.323369522889455,0.026231486505518358,4.983132799466451,0.09685079442958038,0.267058527097106,0.014561126241460443,1.8450820272167523,0.37889084964990616,0.7529002030690511,0.07490107789635658,0.038011956649521984,0.16855715277294317,0.1951113517085711,0.5007554909967364,1.850588033342658
7,1.0,0.6957673462954435,0.06940901465713978,0.02414678248830817,0.3678605385463346,0.031054338457232173,0.5096068952571262,0.11170406199314377,0.13246064179322936,4.687020100246777,0.07975156950679692,0.03859635537320917,14.354545454545455,2.9600284099578857,0.7813202341397604,1.0069600641727448,0.9464428300658861,1.391129861275355,1.3045498728752136,0.02619474707171321,4.506105601787567,0.0859097617988785,0.27993758022785187,0.018171174335293472,1.7422039235631626,0.3603784516453743,0.6652315345903238,0.08133200059334438,0.038011956649521984,0.16699233961602053,0.19308485773702463,0.4692983385805037,1.7130680079834715
8,1.0,0.7406546449119394,0.07270646891133352,0.023927009173414924,0.42650253901427443,0.03076609317213297,0.5902131545950066,0.11930843930352818,0.14083793159912933,4.350372531197288,0.07928143312985247,0.03862452774562619,15.627272727272727,2.8621287842591605,0.7522652968764305,0.9652375529209772,0.9335150271654129,1.331873560945193,1.2856484005848567,0.026174547305951517,4.222218622763951,0.085712603914241,0.27448368569215137,0.016569406143389642,1.7397624502579372,0.35237880299488705,0.6116266995668411,0.08050117983172338,0.038011956649521984,0.1659460167090098,0.19179974310100079,0.4606563159098333,1.6763161116826097
9,1.0,0.6567118151621385,0.06875788674435833,0.024085234698246825,0.3493644502352585,0.030937875756485895,0.483877347138795,0.1104156608608636,0.13104497824202885,4.290084767341614,0.08197672258723866,0.038617898790504444,14.063636363636364,2.9387883841991425,0.7691655481855074,0.9898496766885122,0.9621387695272764,1.3677795926729839,1.3278515835603077,0.02619648266894122,4.35268767674764,0.09577501472085714,0.3003055676817894,0.022412718972191215,1.662507024904092,0.3442375200490157,0.6348660215735435,0.09628180414438248,0.038011956649521984,0.16761361124614874,0.193952896942695,0.46587004729750575,1.7010767861352871
10,1.0,0.7128776385025545,0.07211150134151632,0.024013277820565483,0.4126312673430551,0.030910559760575943,0.5714939987117594,0.11791865862905979,0.1393125683407892,4.0824317346919665,0.08083499521017075,0.03868915826420893,15.50909090909091,2.8275722364584603,0.7428676709532738,0.9498916318019232,0.9316953147451082,1.3090140968561172,1.2828983614842098,0.026165268539140623,4.062353243430455,0.09160810677955548,0.255918209751447,0.0169866099798431,1.7912887260317802,0.31863467519481975,0.5862766802310944,0.07411931920796633,0.038011956649521984,0.16659831379850706,0.19265422535439333,0.4533275045029375,1.6460480917381597
