t,ego_lower,ego_mean,ego_upper,tar_lower,tar_mean,tar_upper,ego_world,tar_world
0.0,15.4995883939385,15.499990781148275,15.500311219683171,6.801598578547173,6.802025076548259,6.80250126122629,15.5,6.802000045776367
0.2,15.499718463391462,15.500001589457193,15.50026659965302,6.80153955804861,6.801982606252034,6.802381497619671,15.5,6.802000045776367
0.4,15.499735903724682,15.499986356099447,15.500229799743737,6.801685631269732,6.80204065322876,6.802346527557795,15.5,6.802000045776367
0.6000000000000001,15.49976437084639,15.500006370544433,15.500184130633468,6.801559764072199,6.801975307464599,6.802394115910447,15.5,6.802000045776367
0.8,15.499776577947346,15.499993413289388,15.500194382664343,6.80155788054582,6.802010256449382,6.802367526254698,15.5,6.802000045776367
1.0,15.499776184509857,15.500022811889648,15.500215101239935,6.801688438594589,6.802019697825114,6.802379584302846,15.5,6.802000045776367
1.2000000000000002,15.499778437564341,15.50003273010254,15.500225853916785,6.801674246755351,6.8019785308837895,6.802247238150653,15.5,6.802000045776367
1.4000000000000001,15.499766635833785,15.500016708374023,15.500236237034715,6.801611804866315,6.8019784228007,6.802277159655685,15.5,6.802000045776367
1.6,15.49980303041137,15.500011100769044,15.500162029227988,6.8016152262567875,6.802010892232259,6.802401632015918,15.5,6.802000045776367
1.8,15.459792673517006,15.459996401468914,15.460158050057608,6.801618826379511,6.802033023834229,6.802396214006732,15.460000038146973,6.802000045776367
2.0,14.64578220844051,14.645937995910645,14.64609996078107,6.801653033490048,6.802006842295329,6.802511590715759,14.645930290222168,6.802000045776367
2.2,14.111775040615635,14.11196356455485,14.112110364432308,6.797550486934537,6.802385889689128,6.806654059462205,14.111937522888184,6.802000045776367
2.4000000000000004,13.377798402284368,13.377974777221679,13.378079116341787,6.799133496977213,6.803108577728271,6.806064337336114,13.377944946289062,6.802000045776367
2.6,11.833884322640012,11.83403148651123,11.83414399623338,6.80051171741513,6.80321356455485,6.805743896925508,11.834003448486328,6.802000045776367
2.8000000000000003,10.357169497012002,10.357298011779784,10.357428908342754,6.801665908049754,6.801990013122559,6.802402615531193,10.357264518737793,6.802000045776367
3.0,9.480418896672932,9.480545756022135,9.480642712114642,6.80154063105202,6.801941547393799,6.802256852373727,9.480525970458984,6.802000045776367
3.2,8.261433219874815,8.261562321980794,8.261687827096434,6.801638245528124,6.801992155710856,6.802428323024343,8.261545181274414,6.802000045776367
3.4000000000000004,7.042474615572794,7.042592417399089,7.042701274152574,6.801639527052492,6.801979783376058,6.802402818172597,7.042564392089844,6.802000045776367
3.6,6.129649764294491,6.129782689412435,6.129902422377505,6.801579165452145,6.802018381754557,6.8023527681755604,6.129759311676025,6.802000045776367
3.8000000000000003,5.718247795096268,5.718359413146973,5.718458503483394,6.80159249289606,6.8020475959777835,6.802517968388769,5.7183308601379395,6.802000045776367
4.0,5.678242057542815,5.67836545308431,5.678463488813218,6.801595336193905,6.801982116699219,6.8024141609117175,5.678330898284912,6.802000045776367
4.2,5.638183915546467,5.638361511230468,5.638475531337248,6.801566892633058,6.801998011271158,6.802310842272155,5.638330936431885,6.802000045776367
4.4,5.598225021353592,5.598368155161539,5.5984692215882195,6.801528572981737,6.801937529246012,6.802316683511356,5.598330974578857,6.802000045776367
4.6000000000000005,5.55821765064703,5.558372116088867,5.55847523807227,6.801563048147084,6.802038834889729,6.8023789823041945,5.55833101272583,6.802000045776367
4.800000000000001,5.518254655584891,5.518378880818685,5.518486976623535,6.801652848704213,6.801988372802734,6.802362966535344,5.518331050872803,6.802000045776367
5.0,5.548125547147222,5.548258934020996,5.548361021279489,6.80153529643359,6.801960220336914,6.802316635808456,5.548213481903076,6.802000045776367
5.2,5.63125930427797,5.631395727793375,5.631504863499263,6.8015713571511025,6.8019966252644855,6.8023971259463405,5.631358623504639,6.802000045776367
5.4,5.914404517407284,5.914549121856689,5.914652836316923,6.801607584929347,6.801977984110514,6.802354162920517,5.914503574371338,6.802000045776367
