t,ego_lower,ego_mean,ego_upper,tar_lower,tar_mean,tar_upper,ego_world,tar_world
0.0,-0.00014738998632308513,-9.380806438905353e-06,7.878161157532352e-05,-2.5440667516760085,-0.05585110045643151,2.565924549925344,0.0,0.0
0.2,-0.00024075459356178526,-4.059555077551291e-06,0.00025494306032405336,-3.0286038559424284,-0.27249160031905273,2.089940097998839,0.0,0.0
0.4,-0.0002829948313006683,-2.1430167615468478e-05,0.0003053085193484203,-2.4710790336305903,-0.03404556997261857,2.1088417486847213,0.0,0.0
0.6000000000000001,-0.00036208484688693583,-3.375092884064419e-05,0.0003255051423874641,-8.157360841315402,-5.946210989172363,-3.1628259823038745,0.0,-5.767787933349609
0.8,-0.0004525335918412597,-5.926413250333753e-05,0.00029011047665254306,-16.301509434617873,-13.608252302660707,-10.697411227720599,0.0,-13.53392219543457
1.0,-0.0004460356778385815,-3.3605866404615465e-05,0.00028462935977642046,-29.068317303868795,-26.726729472105696,-24.280535699637742,0.0,-26.68369483947754
1.2000000000000002,-0.0004863740173594357,-4.826528701900034e-05,0.0003405181180600355,-30.758298558011553,-27.780068543222214,-24.52760371906091,0.0,-27.497966766357422
1.4000000000000001,-0.000490319428556573,-4.657872400195056e-05,0.0003163207908914974,-50.13135607238234,-47.405829195761015,-45.171158176777595,0.0,-47.43360137939453
1.6,-0.0005914341748857549,3.502438935981307e-05,0.00039755958108766005,-70.02220297298841,-67.55289868675169,-64.98536924125648,0.0,-67.4172134399414
1.8,-0.0005059364434461472,4.008175153726496e-05,0.0005646232058619696,-102.33620806910623,-99.84404789002404,-97.16921404869223,0.0,-99.95401000976562
2.0,-0.00022819567085103018,8.679459370642836e-05,0.0005033437937420022,-116.13136319378857,-113.64113238503533,-110.70061148857306,0.0,-113.60441589355469
2.2,-0.00037813105179751325,0.00010772536281263968,0.0006431748916336674,-131.70072265746487,-129.21603124696344,-126.39071997602645,0.0,-129.2255401611328
2.4000000000000004,-0.0002933301570387296,6.916101928688474e-05,0.0005331362935315074,-140.85145172685228,-138.8379601655735,-136.33631098106997,0.0,-138.94451904296875
2.6,-0.0004569490925535504,4.534393143268545e-05,0.0005132559726790217,-157.480371590688,-154.48642265250285,-151.5946484639431,0.0,-154.20140075683594
2.8000000000000003,-0.000390652272809276,6.967894587765415e-05,0.000571590628081332,-170.33225253936752,-167.77735502951674,-165.10443907283835,0.0,-167.66867065429688
3.0,-0.0005105551076789909,2.7353812752769112e-05,0.00047876033660740797,-196.35613232250327,-193.78440335392952,-191.71016018873428,0.0,-193.65333557128906
3.2,-0.000571152509839207,-1.8409985516291505e-05,0.0004572530764551083,-186.73450513224518,-183.63229320877124,-181.25190906541042,0.0,-183.5940399169922
3.4000000000000004,-0.0007044537733031145,-7.107144492910991e-05,0.0004285524047772934,-184.9518292893573,-182.25296781543224,-179.53330998906475,0.0,-182.3625946044922
3.6,16.319220390328848,16.319830186023477,16.320420147689696,-173.46200871240887,-171.41817997925807,-169.3400616664144,16.31985092163086,-171.3597412109375
3.8000000000000003,26.263929820813676,26.264491442218418,26.265153216837305,-180.0963843015858,-177.66385368473,-175.04181043404512,26.2645263671875,-177.4081573486328
4.0,36.088214076967354,36.08883073383734,36.08948800467222,-191.14305762501232,-188.60713711662424,-186.01360111433675,36.088863372802734,-188.605712890625
4.2,27.75353537324246,27.754163944390083,27.75485085327442,-194.59477539855598,-192.13670234663616,-189.5615687615533,27.754220962524414,-192.0500946044922
4.4,14.761707150906771,14.76232604852153,14.763164402712626,-192.180319847438,-189.2280784193012,-186.40697357405236,14.76242733001709,-189.11544799804688
4.6000000000000005,17.15871575738437,17.15928886228551,17.160010536646897,-198.83443257910093,-196.24444775233664,-193.3770873445315,17.159423828125,-196.2984161376953
4.800000000000001,17.006995059713482,17.00753268486717,17.00801593749458,-193.74417054678833,-191.173317191667,-188.97952482132956,17.00761604309082,-190.79859924316406
5.0,5.807599548723145,5.80810093441978,5.808598136225763,-172.88721151796054,-170.7478073969483,-168.62361704669888,5.808208465576172,-170.87098693847656
5.2,-2.8651689141450074,-2.8645558357342247,-2.8639571302099696,-174.0694322227914,-171.52375588864086,-169.4118855897703,-2.864455223083496,-171.5033721923828
5.4,-15.177956972198967,-15.177378231700922,-15.176707948727124,-194.52752163469518,-192.60917239222263,-190.3362251600042,-15.177277565002441,-192.76918029785156
5.6000000000000005,-24.396248511409066,-24.39554390671352,-24.394929596309144,-195.7214942418331,-193.2140555486083,-190.5381386574921,-24.395463943481445,-193.26980590820312
5.800000000000001,-36.84237846526459,-36.84189816053128,-36.841392510653584,-163.15060070771136,-160.60791956533987,-158.1756840980039,-36.841888427734375,-160.56947326660156
6.0,-78.57369359978448,-78.5732200546811,-78.57270237202249,-141.43320171202436,-138.57157587798102,-136.60680119516843,-78.57311248779297,-138.6021728515625
6.2,-65.31536093973979,-65.31474511457812,-65.3141632464103,-105.32711919129311,-102.66966440197494,-100.34627063181931,-65.31472778320312,-102.70507049560547
6.4,-60.53871992221394,-60.53800591019292,-60.537443945362725,-68.24842217591696,-65.7593279130343,-63.12207614191411,-60.53801727294922,-65.75550079345703
6.6000000000000005,-51.97941794504724,-51.97869175577328,-51.97807248355981,-49.65795611464741,-47.4745293767088,-45.65444107219418,-51.97874450683594,-47.57260513305664
6.800000000000001,-39.148583458924,-39.147969313007266,-39.14737078992572,-31.42431019064795,-28.882321649231013,-26.791508414849336,-39.14801788330078,-29.05400276184082
7.0,-16.533005741346983,-16.532482104531177,-16.53201522169291,-17.403537389976886,-14.970160484572661,-12.929907624248214,-16.53244400024414,-14.901276588439941
7.2,-6.750688608997173,-6.750140326537398,-6.7497875893806984,-3.4334022787823715,-0.6646747810963359,1.9048961537000169,-6.750067710876465,-0.9899934530258179
7.4,-1.2851257319160219,-1.2846609217386378,-1.284006372757882,13.21162346081481,15.737352038557743,18.235422054769703,-1.284661889076233,15.82925033569336
7.6000000000000005,-16.59198864233936,-16.59141237667451,-16.59065118093483,15.898357270569413,18.060553062127696,20.199615071131838,-16.59137725830078,17.69414710998535
7.800000000000001,24.269254268662923,24.269855234668483,24.27045765700179,3.8274928927284853,6.139853311731066,8.227704508640524,24.269882202148438,6.162119388580322
8.0,55.434724802661556,55.43520003114309,55.43583330478847,-18.944814834389177,-16.205460087541077,-14.127593559848835,55.43516159057617,-16.488012313842773
8.200000000000001,48.93813945967358,48.93865256640646,48.93925242148732,-3.8209553334507547,-1.0277098094692014,1.1810594082768482,48.938724517822266,-0.9074554443359375
8.4,41.79438775380903,41.794907192182215,41.79553717541393,-5.135217771897859,-2.153556762382828,0.07619847854825056,41.79494094848633,-2.1115849018096924
8.6,33.54114240333663,33.541596511151226,33.54217229062757,-1.7887811443576052,0.7153200394865253,3.1911494863001693,33.541603088378906,0.5763776898384094
8.8,9.52219982504421,9.522672495778856,9.523147572044767,-0.5908447213234562,1.702867913549481,3.698211807383417,9.522727966308594,1.5291905403137207
9.0,3.5541848027073963,3.554741225039793,3.555271315801279,5.319430164085655,8.298156250808905,10.908555094416606,3.5548434257507324,8.641499519348145
9.200000000000001,-13.723886599217872,-13.72332844198164,-13.722759279574701,-4.280054959737797,-1.8243234371456005,0.1793936189468207,-13.723219871520996,-1.929847002029419
9.4,-26.64914650952276,-26.648464104305532,-26.647963128959436,-0.45385961410341796,1.2443815120664008,3.2616566435982812,-26.648365020751953,1.2274253368377686
9.600000000000001,-32.525245141873654,-32.52441886740012,-32.52377276357418,-7.53451674679975,-5.273867514126728,-2.2712175741640057,-32.5243034362793,-5.125843048095703
