t,v_ego,a_ego,w_ego,y_ego,theta_ego,gaze,collision,Epistemic,Pragmatic,evidence
0.0,4.9195096780974e-12,6.070694728160797e-12,-0.0,-0.0,-0.0,-0.0,0.05824338272213936,-0.002380677266046405,0.05824338272213936,0.05824338272213936
0.2,3.9369543736178514e-10,2.4455530933664704e-07,-0.0,-0.0,-0.0,-0.0,0.059450529515743256,-0.0023825515527278185,0.059450775384902954,0.11769416183233261
0.4,4.104282191885744e-10,8.859428248797485e-07,1.1663438270748117e-10,-0.0,-0.0,-0.0,0.08592557907104492,-0.002372603863477707,0.08592646569013596,0.20362062752246857
0.6000000000000001,4.46451675628623e-09,3.1333372589870123e-06,1.4183383356680679e-09,-0.0,-0.0,-0.0,0.12248440086841583,-0.002352858195081353,0.12248753756284714,0.3261081576347351
0.8,1.974655639003231e-08,5.377507477533072e-06,2.3524833192567485e-09,-0.0,-0.0,-0.0,0.00417969049885869,-0.0024020893033593893,0.004185090307146311,0.3302932381629944
1.0,3.491158651058868e-08,5.391303147916915e-06,4.489353777614724e-09,-0.0,-0.0,-0.0,0.1075378879904747,-0.002441579941660166,0.10754331946372986,0.43783655762672424
1.2000000000000002,4.8992191636898497e-08,5.450981007015798e-06,1.2970492235808706e-08,-0.0,-0.0,-0.0,0.21333785355091095,-0.002470036968588829,0.21334336698055267,0.6511799097061157
1.4000000000000001,8.091635805840269e-08,7.70147471484961e-06,1.880167666001853e-08,-0.0,-0.0,-0.0,0.32867729663848877,-0.002471813466399908,0.32868510484695435,0.9798649549484253
1.6,1.3781746588392707e-07,9.94597576209344e-06,2.0882369611285867e-08,-0.0,-0.0,-0.0,0.36609381437301636,-0.0024586592335253954,0.3661039173603058,1.3459688425064087
1.6,0.0034778898116201162,0.011934185400605202,0.0003277396608609706,0.017010847106575966,-0.0,-0.0,0.27709510922431946,-0.0024476349353790283,0.30984577536582947,0.0
1.8,0.003786591114476323,0.0119253508746624,0.0003253176109865308,0.018126949667930603,-0.0,-0.0,0.2698628306388855,-0.002452115062624216,0.3040270507335663,0.3040269911289215
2.0,0.004094457719475031,0.010909783653914928,0.0003157626779284328,0.019234681501984596,-0.0,-0.0,0.23673038184642792,-0.002436073264107108,0.2712850570678711,0.5753120183944702
2.2,0.004401746671646833,0.010452572256326675,0.0003156278980895877,0.020174983888864517,-0.0,-0.0,0.2719150185585022,-0.00246821460314095,0.3072599470615387,0.8825719356536865
2.4000000000000004,0.004703076556324959,0.009620300494134426,0.0003145399678032845,0.02095022238790989,-0.0,-0.0,0.2589349150657654,-0.002455831505358219,0.29452306032180786,1.1770949363708496
2.4000000000000004,0.00608849199488759,0.015102294273674488,0.0002594997640699148,0.025856131687760353,-0.0,-0.0,0.18476401269435883,-0.0024473394732922316,0.2320704311132431,0.0
2.6,0.006305661518126726,0.011685504578053951,0.0002586458285804838,0.025508351624011993,-0.0,-0.0,0.1832321733236313,-0.0024394113570451736,0.22699034214019775,0.22699034214019775
2.8000000000000003,0.006493440829217434,0.00859720166772604,0.00025771738728508353,0.02499227598309517,-0.0,-0.0,0.1381753385066986,-0.0024362336844205856,0.1785159707069397,0.40550631284713745
3.0,0.006661148741841316,0.007519434671849012,0.0002458779781591147,0.024337515234947205,-0.0,-0.0,0.13375703990459442,-0.0024612811394035816,0.17252102494239807,0.5780273675918579
3.2,0.006794475018978119,0.005438490770757198,0.00024306665000040084,0.02366681955754757,-0.0,-0.0,0.09202704578638077,-0.0024527576752007008,0.12816989421844482,0.7061972618103027
3.4000000000000004,0.006886763963848352,0.0033565291669219732,0.00024046297767199576,0.023061657324433327,-0.0,-0.0,0.07487902790307999,-0.0024416055530309677,0.10842444002628326,0.8146216869354248
3.6,0.006942483596503735,0.0021885724272578955,0.000239738859818317,0.022516781464219093,-0.0,-0.0,0.08891351521015167,-0.002369081135839224,0.12080109119415283,0.9354227781295776
3.8000000000000003,0.006982459686696529,0.0019528708653524518,0.0002300367777934298,0.02202519029378891,-0.0,-0.0,0.10412634909152985,-0.002448036102578044,0.1353169083595276,1.07073974609375
3.8000000000000003,0.007417717017233372,0.0016142281237989664,0.00048549595521762967,0.023465625941753387,-0.0,-0.0,0.09581537544727325,-0.002448492217808962,0.1287984400987625,0.0
4.0,0.007539002224802971,0.0016113852616399527,0.0004782158066518605,0.02303488552570343,-0.0,-0.0,0.0962240919470787,-0.0023735070135444403,0.1288875788450241,0.1288875937461853
4.2,0.007658850867301226,0.0016049817204475403,0.000477446272270754,0.022751662880182266,-0.0,-0.0,0.09851350635290146,-0.002420750679448247,0.13100644946098328,0.2598940134048462
4.4,0.007779126055538654,0.0015972263645380735,0.0004725130565930158,0.02261943928897381,-0.0,-0.0,0.09854646027088165,-0.0024011556524783373,0.13101476430892944,0.39090877771377563
4.6000000000000005,0.007946763187646866,0.002624645596370101,0.0005217809812165797,0.022616751492023468,-0.0,-0.0,0.09940681606531143,-0.002387494780123234,0.13311675190925598,0.524025559425354
4.800000000000001,0.008128009736537933,0.002712866524234414,0.0005212608957663178,0.039542410522699356,-0.0,-0.0,0.10075096040964127,-0.0024151266552507877,0.15165551006793976,0.6756810545921326
5.0,0.008313050493597984,0.002708383137360215,0.0005180123262107372,0.05655938386917114,-0.0,-0.0,0.09823645651340485,-0.002418827498331666,0.16633528470993042,0.842016339302063
5.2,0.008501973934471607,0.0026547969318926334,0.0004498339258134365,0.07366688549518585,-0.0,-0.0,0.09638728201389313,-0.002432152396067977,0.18166077136993408,1.023677110671997
5.2,0.00668046809732914,0.002815929474309087,0.00033605238422751427,0.013563978485763073,-0.0,-0.0,0.09169159084558487,-0.002433677203953266,0.11508801579475403,0.0
5.4,0.006777707953006029,0.002461640629917383,0.00032505072886124253,0.012717122212052345,-0.0,-0.0,0.09183108806610107,-0.002428990788757801,0.11411260813474655,0.11411260813474655
5.6000000000000005,0.006875923369079828,0.002456910675391555,0.0003253564063925296,0.011962496675550938,-0.0,-0.0,0.09194948524236679,-0.002444321056827903,0.11357016861438751,0.22768276929855347
5.800000000000001,0.006973354611545801,0.0024494132958352566,0.00032599683618173003,0.011305791325867176,-0.0,-0.0,0.09311030060052872,-0.002430784050375223,0.11416485905647278,0.34184762835502625
6.0,0.007069331128150225,0.00243883254006505,0.0003257939242757857,0.010754640214145184,-0.0,-0.0,0.09469615668058395,-0.002444789046421647,0.1152847558259964,0.45713239908218384
6.2,0.0071648587472736835,0.002419085241854191,0.00030875764787197113,0.010313467122614384,-0.0,-0.0,0.0912494957447052,-0.0023933385964483023,0.11145566403865814,0.5685880780220032
6.4,0.007262942846864462,0.002401876961812377,0.00030656560556963086,0.009985840879380703,-0.0,-0.0,0.02991168573498726,-0.002458819653838873,0.04986891150474548,0.6184569597244263
6.6000000000000005,0.007372466381639242,0.0020983805879950523,0.0003062136529479176,0.009775198996067047,-0.0,-0.0,0.029016004875302315,-0.002446851460263133,0.04856826364994049,0.6670252084732056
6.800000000000001,0.0074878535233438015,0.002038926351815462,0.0003057894064113498,0.009683665819466114,-0.0,-0.0,0.06020674481987953,-0.002417269628494978,0.07972297817468643,0.7467482089996338
7.0,0.007601692341268063,0.0020365079399198294,0.00022161171364132315,0.009833689779043198,-0.0,-0.0,0.0464005209505558,-0.002437812276184559,0.06609402596950531,0.8128422498703003
7.2,0.007715949323028326,0.0020369302947074175,0.00021234661107882857,0.010169988498091698,-0.0,-0.0,0.04418183118104935,-0.0024381193798035383,0.06431704759597778,0.8771592974662781
7.4,0.007827403023838997,0.0020203932654112577,0.00021220116468612105,0.010683649219572544,-0.0,-0.0,0.04053288698196411,-0.0024421410635113716,0.06127653270959854,0.9384358525276184
7.6000000000000005,0.007933847606182098,0.0019822074100375175,0.00018643774092197418,0.011360110715031624,-0.0,-0.0,0.044111218303442,-0.002431355183944106,0.06557382643222809,1.00400972366333
7.6000000000000005,0.013840177096426487,0.004271279089152813,0.00032872144947759807,0.0007071363506838679,-0.0,-0.0,0.0006598127074539661,-0.002415692899376154,0.019807126373052597,0.0
7.800000000000001,0.014128781855106354,0.0032956565264612436,0.00031395567930303514,0.0003862607991322875,-0.0,-0.0,0.0018845063168555498,-0.0024377095978707075,0.02000916190445423,0.02000916190445423
8.0,0.014384537003934383,0.002661842154338956,0.0003095018328167498,0.000157095433678478,-0.0,-0.0,-0.0,-0.002358759054914117,0.017512977123260498,0.03752213716506958
8.200000000000001,0.01461457647383213,0.0023112380877137184,0.0003013968525920063,-0.0,-0.0,-0.0,0.0008231693063862622,-0.002401514910161495,0.018050381913781166,0.0555725172162056
8.4,0.014842508360743523,0.0023065065033733845,0.00029808131512254477,-0.0,-0.0,-0.0,0.0005797281628474593,-0.002415380673483014,0.018026823177933693,0.07359933853149414
8.6,0.015068319626152515,0.002301545348018408,0.00029748291126452386,-0.0,-0.0,-0.0,0.0004668980254791677,-0.0024334972258657217,0.01813424564898014,0.09173358231782913
8.8,0.015263386070728302,0.0018498131539672613,0.00029735505813732743,-0.0,-0.0,-0.0,-0.0,-0.0023735743016004562,0.017410553991794586,0.10914413630962372
9.0,0.015431012958288193,0.001520568854175508,0.00029248910141177475,-0.0,-0.0,-0.0,0.0001310035295318812,-0.0023863185197114944,0.017375074326992035,0.12651920318603516
9.200000000000001,0.015588833950459957,0.0014799507334828377,0.000292140495730564,-0.0,-0.0,-0.0,-0.0,-0.0024140793830156326,0.017360925674438477,0.14388012886047363
9.4,0.015726668760180473,0.0013195730280131102,0.00028301504789851606,-0.0,-0.0,-0.0,-0.0,-0.002419580239802599,0.017329256981611252,0.16120938956737518
9.600000000000001,0.015843987464904785,0.0011595707619562745,0.0002779667847789824,-0.0,-0.0,-0.0,-0.0,-0.002349869580939412,0.01728152483701706,0.17849090695381165
9.8,0.015958840027451515,0.001157120568677783,0.00027784338453784585,-0.0,-0.0,-0.0,-0.0,-0.0023702781181782484,0.017393803223967552,0.19588470458984375
