epoch,lr,train_loss,train_action_mse_norm,val_loss,val_action_mse_norm,val_start_loss,val_start_action_mse_norm,val_roll_loss,val_roll_action_mse_norm,val_evt_tail_loss,val_evt_tail_action_mse_norm,active_closed_loop_chunks,train_state_consistency_m2,train_selected_xi_mean,train_mixture_nll,train_energy_score,train_diversity_penalty,train_smoothness_penalty,train_probability_entropy_penalty,train_candidate_entropy,train_responsibility_entropy,train_effective_candidates,train_probability_responsibility_l1,train_pairwise_trajectory_distance_norm,val_mixture_nll,val_energy_score,val_diversity_penalty,val_smoothness_penalty,val_probability_entropy_penalty,val_candidate_entropy,val_responsibility_entropy,val_effective_candidates,val_probability_responsibility_l1,val_pairwise_trajectory_distance_norm,val_start_mixture_nll,val_start_energy_score,val_start_diversity_penalty,val_start_smoothness_penalty,val_start_probability_entropy_penalty,val_start_candidate_entropy,val_start_responsibility_entropy,val_start_effective_candidates,val_start_probability_responsibility_l1,val_start_pairwise_trajectory_distance_norm,val_roll_mixture_nll,val_roll_energy_score,val_roll_diversity_penalty,val_roll_smoothness_penalty,val_roll_probability_entropy_penalty,val_roll_candidate_entropy,val_roll_responsibility_entropy,val_roll_effective_candidates,val_roll_probability_responsibility_l1,val_roll_pairwise_trajectory_distance_norm,val_evt_tail_mixture_nll,val_evt_tail_energy_score,val_evt_tail_diversity_penalty,val_evt_tail_smoothness_penalty,val_evt_tail_probability_entropy_penalty,val_evt_tail_candidate_entropy,val_evt_tail_responsibility_entropy,val_evt_tail_effective_candidates,val_evt_tail_probability_responsibility_l1,val_evt_tail_pairwise_trajectory_distance_norm
1,1.999306132616651e-05,0.1647511524565308,0.025795045565819817,0.2424425517656942,0.12474291093325886,0.03977141171844942,0.01762889598457124,0.25268391721886746,0.13009859837833782,0.46969145078090363,0.22488262535637873,1,0.0,6.8731572568006545,0.036993101043082684,0.033970565210080926,0.010895287121667702,0.031064019517063918,0.8619566992550348,0.6489210724677582,0.6455110108275144,2.1855084385508845,0.0005641719887534574,0.20071395700611988,0.21892085136210396,0.16526711430461236,0.008932187599811545,0.02129874959718554,0.40632424728545913,1.0938647134120905,1.0749373136523808,2.9682311968232757,0.008856419998831452,0.20899316450149255,0.02965455429863298,0.022569084117049092,0.021863827421255696,0.031694246244354046,0.12589300130803352,1.386502448660176,1.3843274844948783,4.004583614367527,0.000856075941525628,0.1748393750460936,0.2284992020245147,0.1724308445189118,0.008285297313433266,0.02079208743497282,0.42019382563641144,1.0792327617014745,1.0594677275975677,2.916413335089505,0.009256437950790904,0.21070086424381831,0.4433097275979672,0.36517823622254497,0.0073778978909360875,0.02725756235437854,0.42701370589013854,1.0693199869334793,1.0357169465630403,2.846258581190585,0.012135249368418739,0.24493604361445007
2,1.9972256003598153e-05,0.33367245586972133,0.0990136041857968,0.18265681104511228,0.11356734935290791,nan,nan,nan,nan,nan,nan,2,0.0024398221056535527,4.813768893049928,0.15275306487049026,0.13204718586622602,0.017786236110179408,0.028368364007385724,0.1840223102861083,1.3246055576467197,1.3164885615662445,3.777372745775912,0.004236136394614179,0.1784206300795252,0.1697505826309428,0.15020079890114058,0.021756041933189377,0.023333373948187158,0.15814961015604123,1.3550349268807187,1.3446840858054319,3.8633209190237423,0.004241571996729577,0.1636138471553252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.993761611259434e-05,0.7096221316522852,0.2632682131160206,0.18208943281992382,0.11350105098414351,nan,nan,nan,nan,nan,nan,3,0.007661447283817779,3.9024818825934737,0.3428189730729826,0.3187798741364246,0.02194471894899757,0.028075445484456642,0.06632942088358575,1.4563693431803821,1.4440126138245875,4.268803211549676,0.005688385069001016,0.17052281003304842,0.17565657262721587,0.1511423545883672,0.022321129548812244,0.024009489129927175,0.02666343464281049,1.516259328861274,1.5023990532374052,4.521154905657382,0.005055646636286545,0.1667777557323507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.988919506535624e-05,1.0746069039555446,0.4331358548641631,0.18523277882851027,0.1129301635827894,nan,nan,nan,nan,nan,nan,4,0.016928380897723614,4.081631884873761,0.5235496980179262,0.4961863833050555,0.022854342999748718,0.026803511172843346,0.017272161941827555,1.535654911449841,1.5214502394717084,4.6076186061233715,0.00655286117487586,0.1652332518649547,0.17958981259044418,0.15199757946505685,0.02302928433170187,0.023614480643807938,0.008649057049020657,1.5630879927066463,1.5488896220609616,4.734562708787209,0.005493515049994907,0.16897706823267755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9827067523629075e-05,1.4105101819220693,0.5912102498879663,0.18276202401114694,0.11147900769157588,0.03616183900643125,0.018762531332845916,0.19027861020131231,0.11611482087227405,0.406557820912077,0.21078585819805495,5,0.039675858290121,4.442439203308011,0.6842782767445766,0.6566597930428331,0.024219105657412626,0.025051713727374567,0.012157392003467146,1.5504895297750785,1.5362105750945136,4.674877244047318,0.006847978051783252,0.15765445662162467,0.17721424353649012,0.14967341773758572,0.023103287654934582,0.022274549541967812,0.007256154135868583,1.5663443773816583,1.5534404129856547,4.754552347928844,0.0054321197538628576,0.16510477267007648,0.030116969861955382,0.02288336639950498,0.0263774120198924,0.039763596996933354,0.029235741783406172,1.5081724491506303,1.5046223934331904,4.519602969092036,0.0008585661593508465,0.1712410962241107,0.18475659718562348,0.15614084233052733,0.022922216491703166,0.02140748638154631,0.006163935944911449,1.5692529293982984,1.5558812626763867,4.766299630636706,0.005660796859614895,0.16479796086253895,0.399513907315765,0.3475290771213097,0.018481112664495505,0.028624445466326563,0.010204540654843256,1.5439727875915745,1.5163608639038924,4.596126310123229,0.00868855496568903,0.1994121329374681
6,1.975132928357909e-05,1.4059140307719658,0.5883600379060738,0.1819429150516112,0.11096559250489074,nan,nan,nan,nan,nan,nan,5,0.039234968971258506,4.640503703047514,0.6822863526519425,0.6532802049111793,0.023769314175019835,0.02468112363048331,0.01033834557770258,1.5572651843502068,1.5426332161154928,4.7048804767304295,0.007121706151889347,0.15754366950563917,0.17669080024301337,0.14892498855477088,0.021712999656940984,0.02261228972639619,0.005595848662095283,1.5705169238371688,1.5584331383675858,4.776617377311336,0.005448564540836912,0.16531080262816508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9662097128082828e-05,1.4022041306215076,0.5850848694941262,0.18879409647347126,0.11473037811593188,nan,nan,nan,nan,nan,nan,5,0.03927194155039483,4.763944733526309,0.6807171942670676,0.6507714219724416,0.022303198387618153,0.024584047641002294,0.009356909289060055,1.5571551592728734,1.5421991306860048,4.702466172873844,0.007360150148297349,0.15990602047421035,0.18361055540213164,0.155037024490643,0.021249521055433717,0.02221365942174427,0.004472114501310934,1.5751226454326066,1.5605496673938566,4.787969561208152,0.005759041502957696,0.1669283928536244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.9559508646656387e-05,1.4013243163023468,0.5849772278769401,0.18777792572518653,0.1148800413579363,nan,nan,nan,nan,nan,nan,5,0.0393760597299784,4.799346665973903,0.6803022754881265,0.6503445691443781,0.022473506998242482,0.024482466636734968,0.00793136154431561,1.562411805966222,1.5473822371450923,4.726120283449505,0.007366097867406566,0.16029339580341342,0.18235248082446787,0.15403762785099387,0.022778985834332126,0.022064779089034446,0.004951455182654119,1.569011460006636,1.5549779685475114,4.760187681938322,0.005613002858072558,0.16545457113994866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.9443722023302363e-05,1.3983948263521397,0.5840882749782651,0.18480757159262173,0.11137096768618747,nan,nan,nan,nan,nan,nan,5,0.0390266885879588,4.857421988472746,0.6789997159760798,0.6493535362976385,0.02207937993470201,0.024381087389873282,0.007835391884232774,1.5590644833930623,1.5442803067905078,4.71084853133013,0.007349973478189207,0.16009489878075764,0.17989553299746616,0.15011627317621168,0.02008242773798388,0.022133936842947392,0.0035434421582272676,1.5756869989473579,1.5622520876953543,4.79452144733614,0.005751749510489796,0.17088949177991603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.9314915792601585e-05,1.3977071574828754,0.5825032303683766,0.19274700608010575,0.11743325667695739,0.03784448129250825,0.02007709723162592,0.20068563419909882,0.12230107555661333,0.40820618347244597,0.2137576918092379,5,0.03899843261652796,4.8871644206740426,0.6788192986370702,0.648085943619325,0.021448373459176297,0.024239234035668612,0.006883312722228592,1.560531672595835,1.5453714322770664,4.715620056983321,0.007531359919897773,0.1616352043068483,0.1878930647304859,0.15740875257569018,0.019140705281263597,0.02138254460429813,0.003898430776470002,1.5730446841203014,1.5574054786550788,4.772212322383558,0.006088190110419101,0.17183547728512374,0.03226565130161366,0.024725494169190763,0.025848230028101264,0.042066331757407975,0.020673552446439016,1.5272027744414816,1.5235949268155502,4.605836709590463,0.0008976052580079358,0.17125173582593445,0.1958688411382483,0.16416963298334095,0.01879037086411777,0.02035560787725007,0.0030596864291261845,1.5753368099361096,1.5590960401640845,4.7805312517932474,0.00634772045702464,0.1718646704652151,0.4019087339486,0.3465880562681686,0.015261854856767948,0.02782072346143552,0.005281723802875759,1.55486739079672,1.5240286844031552,4.629888519042345,0.0092613524478639,0.20567738281627504
