epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_plan_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,0.0,4.453628311286101,0.6616493608500507,0.7666979762347969,0.7630730311612826,1.0357467226079993,1.030082656725033,0.14764632989425916,0.16750685709553795,3.9275715995479272,0.13820986298693194,0.03833716574150163,25.0,4.611889988183975,0.6828719042241573,0.7904496416449547,0.7855936884880066,1.067746713757515,1.0597988553345203,0.026191441575065255,4.508581563830376,0.17310702335089445,0.2847140021622181,0.031984340865164995,1.2752020992338657,0.04571934952400625,0.7308512665331364,0.14095403533428907,0.03809098480269313,0.1532290205359459,0.1739558856934309,0.15443577244877815,0.3817750262455996,1.2885197707788925
2,0.0,4.459560416840218,0.6623161708986437,0.7675905565957766,0.7645240869071033,1.036992702129725,1.0321485899590157,0.1479274687936177,0.1679070112673012,3.919766297211518,0.13642300574763402,0.038464245713643125,25.0,4.59233421087265,0.6796090714633465,0.7863185219466686,0.7827612981200218,1.062378667294979,1.0560840405523777,0.026175736915320158,4.50365149974823,0.17361315432935953,0.2736646644771099,0.031350911944173276,1.3020670264959335,0.04467582399956882,0.7309660315513611,0.13319634506478906,0.03809098480269313,0.1528346762061119,0.17353720869868994,0.15398769080638885,0.3857242759255818,1.3021688226235404
3,0.0,4.47353991302284,0.6643864294967136,0.769824201996262,0.7673705002746066,1.0401181989424937,1.035969548934215,0.14826953139256788,0.1681832310718459,3.9174204774805017,0.13688888068537455,0.03892173465794405,25.0,4.587845414876938,0.6788237541913986,0.7855932265520096,0.7816474363207817,1.0612136982381344,1.0544720701873302,0.026189062395133078,4.521904557943344,0.17222194653004408,0.27861993946135044,0.03191050834720954,1.2861723378300667,0.04458697442896664,0.7346044182777405,0.1373432124964893,0.03809098480269313,0.15241679642349482,0.17303493525832891,0.15333879087120295,0.3801417660905547,1.2810765538614375
4,0.0,4.445380413854444,0.6601251693996223,0.7649022381047945,0.7622734251860026,1.0331139218162846,1.0288780653798901,0.14729028567671776,0.1671275043407002,3.9217525398409046,0.13712942650592005,0.03854049407449123,25.0,4.580553352832794,0.6776581071317196,0.7840199247002602,0.7808582186698914,1.0592420883476734,1.0535484962165356,0.026185782277025282,4.504529520869255,0.17423898540437222,0.2788203991949558,0.03131562459748238,1.2905030772089958,0.04429484508000314,0.7306467778980732,0.1381380632519722,0.03809098480269313,0.15245083766058087,0.17310571670532227,0.1536583323031664,0.38023980709511485,1.2833790140914303
5,0.0,4.443564582515407,0.659856836538057,0.7643937428255339,0.762016367267918,1.0323059325282637,1.0284546186795105,0.1473326895486664,0.1671861577275637,3.930741413219555,0.13679166913435264,0.03876923830122561,25.0,4.591379880905151,0.6794221848249435,0.7866061143577099,0.7821886241436005,1.062834456562996,1.0554340071976185,0.02618926961440593,4.497889086604118,0.1727972887456417,0.2754884632304311,0.03190583933610469,1.2990652993321419,0.044029850978404284,0.7297802679240704,0.1355462451465428,0.03809098480269313,0.1522689932025969,0.17294121999293566,0.1535314479842782,0.3837221053453973,1.2943101314816214
