epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss
1,1.0,1.2972712728712295,0.08972354200151232,0.023598376661539078,0.8742269568973118,0.030712252938085133,1.1919920378261142,0.1564765281147427,6.194447941250271,0.09654476212130653,0.03603009351322221,3.0619303941726685,0.8271572291851044,1.065241175889969,0.7925790071487426,1.4643611848354339,1.0791546940803527,0.02587532941251993,7.539060163497925,0.1877092808485031,0.21809762269258498,0.010008909087628127,2.016032612323761,0.21557749658823014,1.2807317614555358,0.07189403101801872,0.04748264062218368,0.15660029426217079
2,1.0,1.2347516828113132,0.08817825714747111,0.023604268497890896,0.8239925940831502,0.03068155526287026,1.1201031870312161,0.15303157485193677,5.979530896080865,0.08645319739977518,0.03589120465330779,2.7660871267318727,0.7276383101940155,0.9266602456569671,0.7526199698448182,1.2699866890907288,1.0244731545448302,0.025625516101717948,7.183372735977173,0.16200636327266693,0.26021827906370165,0.017354162782430647,1.8833441853523254,0.24639948457479477,1.2053116619586945,0.08913141712546349,0.04748264062218368,0.15232137963175774
3,1.0,1.2226356003019545,0.087991787162092,0.023583321107758418,0.8175917784372966,0.030725062017639478,1.1108682433764139,0.15241022954384487,5.869374158647325,0.09187210351228714,0.03592592698211471,2.997240114212036,0.8050621628761292,1.029484349489212,0.794902229309082,1.4183730840682984,1.0860028445720673,0.02582520917057991,7.355827045440674,0.16498723328113557,0.2870519429445267,0.0197358638048172,1.7771986484527589,0.25379947423934934,1.237190580368042,0.10098258182406425,0.04748264062218368,0.16350890398025514
4,1.0,1.2320872677697077,0.09025613417228064,0.023555516161852412,0.8311059845818414,0.03065928854048252,1.131111616558499,0.15756048808495204,5.743392594655355,0.08903927869266934,0.035682871342740126,2.919274592399597,0.784481817483902,1.0083982229232789,0.7606169998645782,1.3885722756385803,1.0373395323753356,0.025749978981912135,7.315550470352173,0.18105949833989143,0.2970679044723511,0.018419957999140025,1.7315663754940034,0.2475811630487442,1.227706068754196,0.1076621174812317,0.04748264062218368,0.15271022990345956
5,1.0,1.2254222671190897,0.0888564439283477,0.02364508654508326,0.8178022305170695,0.030718053132295607,1.111618897649977,0.15443663713004854,5.902369997236463,0.10001981043153339,0.03592592695107063,2.882054829597473,0.7679579496383667,0.9849119067192078,0.7682202875614166,1.352098286151886,1.0461134433746337,0.025760546512901782,7.219293308258057,0.17045558094978333,0.2539395645260811,0.01702845711261034,1.8957663893699646,0.25055769085884094,1.210674089193344,0.08497524634003639,0.04748264062218368,0.15191433504223822
6,1.0,1.2365592651897006,0.08890153931246864,0.023626675208409626,0.8294379380014207,0.030754567434390385,1.1272768762376573,0.15438725699981054,5.891862159305148,0.0824457006322013,0.036273149245729046,3.0780123710632323,0.8450501203536988,1.0934638559818268,0.7789330303668975,1.5080847263336181,1.0638517320156098,0.0258434534072876,7.21130747795105,0.18753915131092072,0.2704005271196365,0.016745796706527472,1.806987750530243,0.21774643510580063,1.2134257435798645,0.0949493519961834,0.04748264062218368,0.15508073568344116
7,1.0,1.2211915493011474,0.0876619984706243,0.02365602689484755,0.815269160270691,0.030794435325596066,1.107714010609521,0.1515172819296519,5.892087258232964,0.09230272107654147,0.03578703800837199,3.002795624732971,0.8112996757030487,1.0417445778846741,0.7963496565818786,1.430635666847229,1.0843192875385284,0.02583002336323261,7.068033695220947,0.1714167922735214,0.25847420543432237,0.016197664476931096,1.8484573483467102,0.2319801613688469,1.185570102930069,0.08983689919114113,0.04748264062218368,0.15755820795893669
8,1.0,1.2270099269019232,0.0889030416806539,0.02363697559469276,0.8241729312472873,0.030772440342439547,1.1205698702070448,0.15434346629513634,5.805939345889621,0.0831574860546324,0.035856482733248006,2.9350228548049926,0.7822381317615509,1.008335131406784,0.7723027288913726,1.3888967871665954,1.0541187822818756,0.02577476277947426,7.442936515808105,0.17948508784174919,0.2605456829071045,0.015156888030469417,1.869065660238266,0.2359594538807869,1.2569046080112458,0.0868522934615612,0.04748264062218368,0.15356358215212823
9,1.0,1.2477928241093954,0.08853064725796382,0.023939484233657517,0.8412783583005269,0.031385360368423994,1.1404188474019368,0.15319112257825004,5.880886803732978,0.09229195564985275,0.03596064914017916,3.0151391506195067,0.8225175678730011,1.0611572682857513,0.7626686871051789,1.4590675711631775,1.0384556114673615,0.026021680608391762,7.375912809371949,0.17714983746409416,0.28286041021347047,0.021530491299927235,1.7867001831531524,0.23432058244943618,1.2426752865314483,0.09523768797516823,0.04748264062218368,0.15421314686536788
10,1.0,1.262463010682,0.08948312236203088,0.023735154751274322,0.8311312172147963,0.030983660163150892,1.129609093401167,0.15547818591197332,6.36227028104994,0.09397043966584735,0.03603009366326862,3.36640260219574,0.9669688820838929,1.2666203260421753,0.7467231154441833,1.7501485228538514,1.0161743223667146,0.02601555921137333,7.721806001663208,0.22116638869047164,0.24576717615127563,0.018903202097862958,1.8782402843236923,0.20881941094994544,1.3115179419517518,0.07870348617434501,0.04748264062218368,0.15178895518183708
