epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,1.0,1.795705755551656,0.09092308994796541,0.023817811533808707,0.8529911332660252,0.031187609169218276,1.1601568539937337,0.15888594604200787,16.55947422451443,0.11044141294227706,0.03603009351322221,2.8422611236572264,0.6595766544342041,0.8300348281860351,0.779082179069519,1.1310536205768584,1.0582818329334258,0.02565972935408354,11.471348857879638,0.3302612915635109,0.3489597350358963,0.044240706600248814,1.4303897887468338,0.10211010202765465,2.0576359033584595,0.11001396030187607,0.04748264062218368,0.15242231786251068,0.5249962308767248,1.8502624280784161
2,1.0,1.457294832335578,0.087698718574312,0.023735126356283824,0.8100126650598314,0.031031062164240415,1.0995293166902331,0.1519707461198171,10.716966120402018,0.09371093031432894,0.03592592664062977,3.027331757545471,0.721491277217865,0.9116087257862091,0.8444150269031525,1.2434494733810424,1.1504969000816345,0.025778269208967686,10.996334648132324,0.3295919269323349,0.2781124085187912,0.01700213346630335,1.72565960586071,0.09054032266139984,1.9699345588684083,0.07845765128731727,0.04748264062218368,0.16169205382466317,0.47833222459458213,1.70968510751767
3,1.0,1.4368833833270602,0.087992811948061,0.02389959403210216,0.8165425618489583,0.03126707052191099,1.1070189211103652,0.1520520149005784,10.168968317243788,0.08169739900363816,0.03603009330626163,3.1070370435714723,0.7952183902263641,1.0216419339179992,0.7695686936378479,1.3932697653770447,1.046016025543213,0.02603444326668978,10.412159824371338,0.2759245663881302,0.3191519409418106,0.02710334975272417,1.5990114212036133,0.10207569226622581,1.8576302766799926,0.0968778558075428,0.04748264062218368,0.15258708894252776,0.46039710699676456,1.6230342334695995
4,1.0,1.3989374425676133,0.08852606813112894,0.02379888188507822,0.8061121304829916,0.031180152628156873,1.0937660853068034,0.15358554820219675,9.610007254282634,0.07892371060119735,0.035995371277547546,2.7040894508361815,0.6483793169260025,0.8164661645889282,0.7524676740169525,1.1127812445163727,1.0223471760749816,0.025548304617404937,9.735526180267334,0.17915901392698289,0.2930735290050507,0.012088487483561039,1.634313702583313,0.1426718093454838,1.7399909615516662,0.08442862927913666,0.04748264062218368,0.14952064380049707,0.40520366406055885,1.4185538783736293
5,1.0,1.390225789282057,0.08873086058431201,0.02392008780605263,0.8220237149132623,0.03136545121669769,1.114860459168752,0.1539310160610411,9.111022398206924,0.0838519306646453,0.03578703800837199,2.839654016494751,0.7016288578510285,0.8823452055454254,0.7901342391967774,1.1978074967861176,1.0733745455741883,0.025761031731963157,9.310913848876954,0.1744730979204178,0.28147430419921876,0.015315991267561913,1.6720761239528656,0.11685867607593536,1.6609545707702638,0.0830963671207428,0.04748264062218368,0.15759339407086373,0.4409618871207675,1.5325494860319813
6,1.0,1.3592377662658692,0.08787509418196149,0.023790178861882953,0.8022395955191718,0.031148762669828203,1.0882903615633646,0.1522371906373236,8.906657939487033,0.0837203521695402,0.036377315973449086,2.891078019142151,0.7191183507442475,0.9104919672012329,0.7978466928005219,1.2395173192024231,1.0853330492973328,0.02585314679890871,9.272419261932374,0.19422780722379684,0.2818702906370163,0.011799913179129363,1.6642797321081162,0.14069153293967246,1.6455519318580627,0.08249162510037422,0.04748264062218368,0.15503344163298607,0.5687613433479155,2.048483591977791
7,1.0,1.3278818819257947,0.0870452086130778,0.023783225648932985,0.7946223007308112,0.03112821504473686,1.0775712993409898,0.15019694334930844,8.448622873094347,0.08353548786706394,0.03571759344389041,2.655957818031311,0.6499738335609436,0.8174264907836915,0.7480507671833039,1.11414715051651,1.0151598155498505,0.025566858239471912,8.810135793685912,0.18239831179380417,0.25987416952848436,0.017411389015614988,1.76885686814785,0.146427883207798,1.5523619890213012,0.07529914006590843,0.04748264062218368,0.14953704103827475,0.5779352615938474,2.0946822487185353
8,1.0,1.319231006834242,0.0859920712808768,0.023888731706473564,0.7940966275003222,0.03133163952993022,1.076009460290273,0.1478319701221254,8.30507157643636,0.07736588741342226,0.035682870980559125,2.929022741317749,0.6946486353874206,0.8788426518440247,0.7808580458164215,1.198127031326294,1.0616111993789672,0.02559299860149622,11.493467426300048,0.1859666332602501,0.2957877337932587,0.019684639154002072,1.6069618105888366,0.1382165029644966,2.0904143333435057,0.09590239375829697,0.04748264062218368,0.15173171311616898,0.6006999713112384,2.1642485178104964
9,1.0,1.3510110325283475,0.08653644488917457,0.023838276664415996,0.8010327630572849,0.03122820874883069,1.0853632052739461,0.14911014454232321,8.792070876227484,0.07763387834032377,0.03571759345941246,2.682266020774841,0.65872942507267,0.8268400311470032,0.7602843940258026,1.1228872179985045,1.033012193441391,0.025726300105452536,8.728242349624633,0.15607203170657158,0.24637846797704696,0.011980824219062925,1.813391774892807,0.13581279739737512,1.5449300765991212,0.07116253077983856,0.04748264062218368,0.1507076308131218,0.5142483778734278,1.8402636190166388
10,1.0,1.305099458164639,0.0866297197010782,0.023890624567866326,0.7938322252697415,0.03128148768511083,1.0759084423383076,0.14913699544138379,8.014937655131023,0.08176804507772127,0.035648149148457584,2.7649625539779663,0.6926051139831543,0.8746341347694397,0.7592425405979156,1.1884202778339386,1.0319170296192168,0.025781432166695595,8.769615602493285,0.17435868531465532,0.2491055518388748,0.017246048618108033,1.7780602663755416,0.15062464624643326,1.5467530965805054,0.07174591980874538,0.04748264062218368,0.15154904499650002,0.6094410061987404,2.1914322173114313
