epoch,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m
1,1.0,1.2088036523924934,0.15590478148725298,0.0238677519477076,0.7603603521982829,0.03133360619346301,1.027601076496972,0.14221050259139803,0.16093585391839346,5.373415252897474,0.09399565358956655,0.03603009351322221,2.7769022226333617,0.7627926409244538,0.8686018466949463,0.7617449641227723,1.179000836610794,1.0315020740032197,0.025669062696397304,7.675256061553955,0.24946223348379135,0.21666460186243058,0.006647947826422751,2.10576553940773,0.10607912801206112,1.3139921426773071,0.07599665075540543,0.04748264062218368,0.14661344960331918,0.1673638716340065,0.5542563318760924,1.9939002563066013
2,1.0,1.2094913257492914,0.15580658780203926,0.023921010974380704,0.7625992033216689,0.03143876592318217,1.030833269490136,0.14211706187989975,0.16072293387518988,5.343290546205309,0.07816701216830148,0.03592592664062977,2.7895163536071776,0.7616472482681275,0.8595608055591584,0.7674729704856873,1.1682395339012146,1.040931487083435,0.02566712852567434,8.016706562042236,0.2219592288136482,0.22727376073598862,0.011680230754427612,2.0425303637981416,0.1297149658203125,1.3830891609191895,0.08083400428295136,0.04748264062218368,0.15115986689925193,0.17294178605079652,0.47926527556907633,1.7088632968509143
3,1.0,1.186491420533922,0.15567561603254743,0.023957177334361607,0.7625758078363206,0.0314248895065652,1.0306407451629638,0.1418316768275367,0.1605420332815912,4.885656399197049,0.08517817821767595,0.03603009330626163,3.10687997341156,0.8755627274513245,1.0142330706119538,0.8026449799537658,1.3798181176185609,1.0883020639419556,0.026010104268789292,8.28878378868103,0.22951163500547409,0.2333964854478836,0.011631106538698078,2.0217978417873383,0.11413846090435982,1.4389312982559204,0.08522990047931671,0.04748264062218368,0.15898641794919968,0.18228405043482782,0.6132048833663952,2.208810156236315
4,1.0,1.1670571790801154,0.15471010737948948,0.023990691246257887,0.7506358954641554,0.031489907080928484,1.0136222230063545,0.14084518634610707,0.15932844579219818,4.754409646987915,0.09108388597766558,0.03592592695107063,2.8785709142684937,0.7801568806171417,0.8925036370754242,0.7497135937213898,1.209953987598419,1.0145335733890533,0.025844364799559115,9.12393536567688,0.2797556802630424,0.2396002784371376,0.017429831763729454,1.9795695424079895,0.12986084818840027,1.5924792885780334,0.08889164738357067,0.04748264062218368,0.14733143746852875,0.16833159402012826,0.7083339497021617,2.5913180406852687
5,1.0,1.1618577665752834,0.15264841384357877,0.02389607462618086,0.7469355463981628,0.03136250484320852,1.007833312617408,0.13882408291101456,0.1567421704530716,4.76755477587382,0.0894251108997398,0.03578703799802396,2.939235973358154,0.8129653334617615,0.9224377155303956,0.8073220074176788,1.2532793998718261,1.0938312649726867,0.02582840733230114,7.9302177906036375,0.22420203536748887,0.23204238563776017,0.015234991302713751,2.0124370217323304,0.1055570274591446,1.3700144171714783,0.0795793991535902,0.04748264062218368,0.1582947313785553,0.18104518055915833,0.6261642488999741,2.2678909430054808
6,1.0,1.1918574478891162,0.15495184494389427,0.023968677429689302,0.7572603185971578,0.03151117037567827,1.0229076306025187,0.14109597090217801,0.15982485330767102,5.11353210873074,0.09071936996446715,0.03578703787384762,2.7684680223464966,0.7538741827011108,0.8569805085659027,0.752155739068985,1.167475652694702,1.0183841228485107,0.025639847107231616,8.109150934219361,0.23224259316921234,0.25404508113861085,0.015638154139742254,1.9195704936981202,0.09825528040528297,1.4058154225349426,0.09151835963129998,0.04748264062218368,0.14770314544439317,0.1692953310906887,0.5034522546147004,1.7747662420230061
7,1.0,1.1784221198823717,0.15508831308947668,0.02395038546787368,0.7580684714847141,0.0315645680245426,1.0239548987812466,0.1411721646785736,0.15983129756318198,4.826299058066474,0.08828739821910858,0.03596064914017916,3.0016700983047486,0.8544842600822449,0.9955989837646484,0.7601901590824127,1.3569945573806763,1.030296790599823,0.025887058302760124,7.827933692932129,0.22604146897792815,0.24819283038377762,0.009759845305234193,2.0581478238105775,0.09616250917315483,1.3466480195522308,0.09277921617031097,0.04748264062218368,0.15062415972352028,0.172773227840662,0.6194275356253374,2.2465566626578704
8,1.0,1.1715073466300965,0.1536545374327236,0.02399392103155454,0.7525264634026422,0.031577364355325696,1.0155928015708924,0.13975786980655458,0.158039381272263,4.826648399564955,0.09091520632306735,0.035682871353088154,2.854982376098633,0.7748529732227325,0.8797025918960572,0.77511026263237,1.1961549282073975,1.0502237915992736,0.02577742896974087,8.506330966949463,0.2637862995266914,0.2641363382339478,0.015757465502247214,1.9614210546016693,0.10167288184165954,1.4741245269775392,0.0981457382440567,0.04748264062218368,0.1511081337928772,0.1730362169444561,0.46874036749393294,1.632306368361674
9,1.0,1.1679311725828383,0.15197607742415534,0.02392801973554823,0.7466605120235019,0.03151289170814885,1.007650261455112,0.1380522264374627,0.1560149119959937,4.907331085205078,0.08626039408975178,0.0359953716966427,2.85923855304718,0.7640563905239105,0.8691116511821747,0.7497109353542328,1.1802461087703704,1.0155331075191498,0.02585788760334253,9.527191066741944,0.24481811970472336,0.22312249094247819,0.009998920420184732,2.075193187594414,0.09395647197961807,1.687299370765686,0.07438545934855938,0.04748264062218368,0.14708325415849685,0.1680489405989647,0.6083163405188663,2.199839228471833
10,1.0,1.1744895842340257,0.15352171096536849,0.02406854877869288,0.750815314716763,0.031651421098245515,1.012980310122172,0.1396456625726488,0.1579111956887775,4.9216800371805824,0.07721341451009114,0.03575231605726811,2.8296698331832886,0.7804735362529754,0.8923916637897491,0.7414393723011017,1.2144958972930908,1.0049229443073273,0.02576935663819313,8.307304334640502,0.21917083263397216,0.2524231344461441,0.011921937903389334,2.001355367898941,0.09601514488458633,1.4454868912696839,0.0941112607717514,0.04748264062218368,0.1473247341811657,0.16871374920010568,0.6674798422710495,2.4374142890553836
