epoch,rollout_seconds,selection_metric,stage,stage_epoch,train_diversity,train_joint,train_loss,train_mixture,train_overlap,train_prefix_control,train_prefix_position,train_prefix_velocity,val_diversity,val_joint,val_loss,val_mixture,val_overlap,val_prefix_control,val_prefix_position,val_prefix_velocity
1,1.0,0.0470044652939595,nominal,1,0.0,0.040622484063460536,0.09036725487655013,0.10558013130433161,0.0010862113398080295,0.031323078601877004,0.01998749908492518,0.027949499821675567,0.0,0.034793159057184185,0.08206139922772766,0.09499101589123408,0.0014573950634618838,0.029375135750761106,0.01852744931069316,0.02559831556149576
2,1.0,0.046715296692269634,nominal,2,0.0,0.0353046148529978,0.08121879713731177,0.09425796350997163,0.0008567271084675075,0.030010993039979474,0.018896995500131134,0.02183618996630056,0.0,0.03441531038177865,0.07850352867885872,0.09017137485364127,0.0013763416914525566,0.029777963882282613,0.018961394811788247,0.019167611414872148
3,1.0,0.04785608605923533,nominal,3,0.0,0.03425318908062434,0.07417571067641207,0.08122949585867334,0.0021875855143224194,0.030016335664533354,0.01865057408461405,0.020305880879925263,0.0,0.0322842537055886,0.07046579905642719,0.07244002399226976,0.005282961793007359,0.029805181602203343,0.019175147475112998,0.020058341353895174
4,1.0,0.043879926519668475,nominal,4,0.0,0.030758266376790515,0.06459117950950737,0.06346778569283971,0.002798079712799204,0.02973513506331795,0.01853609608839828,0.019224319275647994,0.0,0.02889636623618937,0.05943092327348139,0.05520688617237346,0.0032900288847654505,0.02887401956986025,0.018506676338061138,0.016382147794559834
5,1.0,0.04078242995978123,nominal,5,0.0,0.02848862280209071,0.058846171797588255,0.05456890152508746,0.0018475087488824687,0.027270692721980152,0.018353731727106207,0.018232543154938868,0.0,0.026777353950790943,0.05338919077009436,0.0468733374364477,0.0012341462076942205,0.023872558604038897,0.01783518971648639,0.01766109601816251
6,1.0,0.04143526157944811,nominal,6,0.0,0.02691101966473266,0.054824592633220356,0.04883645418345422,0.0009732468563881267,0.02371825938965207,0.01820065583189469,0.01823661038520147,0.0,0.025881840778445755,0.05261168444637584,0.04636962024899072,0.0007309406946804966,0.02249770692830521,0.01814709185184073,0.016090450495501202
7,1.0,0.04020566718092851,nominal,7,0.0,0.026389276050558845,0.05300995399357577,0.04617726958802672,0.0006110004273872485,0.022714445183829274,0.018132165635780302,0.017820543836453987,0.0,0.025486863262596585,0.04985948977252794,0.04155565790398411,0.0004922076420693427,0.02163025478600825,0.01776449007312299,0.01726364706785827
8,1.0,0.04015060815702087,nominal,8,0.0,0.026061107702658806,0.0513050074343472,0.0435192867163727,0.0004679546145017842,0.02205592777907173,0.018073459965290327,0.01733003256488961,0.0,0.025302968840435067,0.04895580572780793,0.0399660724141295,0.00033946066205365157,0.021141937204572574,0.017736427177965797,0.017529137573012755
9,1.0,0.04094264863965639,joint,1,0.03996013597962539,0.02514767672644965,0.2575808346946922,0.04077913433355582,0.00038252017144496333,0.02132345002366193,0.017789622362988023,0.015065145919959538,0.03995543796194609,0.02426250176454978,0.25507188016775423,0.03720337151495553,0.0003120596995272319,0.020631323888819053,0.017632496545692444,0.013813418949702902
10,1.0,0.04031803170719801,joint,2,0.03996113648284596,0.02489369309932078,0.25686901929358247,0.04003839170080069,0.0003660168954522135,0.020994272857651156,0.01769006233398536,0.014511879947743571,0.03996884287704551,0.02431174992490067,0.2554093074230921,0.038257131343165406,0.0003355712437061051,0.020764072864222778,0.017429995242131766,0.013724422910147242
