model,train,val,test
conditional_maf,-147.050388656124,-88.37260890151515,-106.06213490216565
gaussian,1.424753734812096,16.24375447105623,6.750512673645745
gmm,-125.60694885253906,-43.39147186279297,-65.97911834716797
copula,30.338563086222763,36.506997593218955,32.64745499922238
unconditional_realnvp,78.34624621975806,81.30354373816287,79.14499430091185
