slot,num_features_compared,mean_ks,mean_wasserstein
same_front,12,0.03897723729342064,0.17147322103655274
same_rear,12,0.07259953161592506,0.21875532023067348
left_front,12,0.13916666666666663,0.418112615866116
left_rear,12,0.14554531490015363,0.4251313405510661
right_front,12,0.05184813513965545,0.22429762473222262
right_rear,12,0.10821197411003235,0.49864010923804464
