tgp,prob_brake,vel
0.9959999918937683,0.9999990000010001,10.0
1.496000051498413,0.9999990000010001,10.0
1.9959999322891235,0.9999990000010001,10.0
2.495999813079834,0.9999990000010001,10.0
2.995999813079834,0.9999990000010001,10.0
3.495999813079834,0.9999990000010001,10.0
NaN,NaN,NaN
0.4973333477973938,0.0,15.0
0.9973333477973938,0.031249968750031252,15.0
1.497333288192749,0.062499937500062504,15.0
1.997333288192749,0.34374965625034376,15.0
2.497333288192749,0.5624994375005625,15.0
2.997333288192749,0.6874993125006875,15.0
3.49733304977417,0.6562493437506564,15.0
NaN,NaN,NaN
0.49799999594688416,0.0,20.0
0.9979999661445618,0.0,20.0
1.497999906539917,0.0,20.0
1.997999906539917,0.031249968750031252,20.0
2.497999668121338,0.031249968750031252,20.0
2.997999668121338,0.0,20.0
3.497999906539917,0.0,20.0
NaN,NaN,NaN
0.4984000027179718,0.0,25.0
0.9983999729156494,0.0,25.0
1.4983999729156494,0.0,25.0
1.9983998537063599,0.0,25.0
2.4983997344970703,0.0,25.0
2.9983999729156494,0.0,25.0
3.4983999729156494,0.0,25.0
NaN,NaN,NaN
