tgp,rt,inv_ttc,a_min,vel
0.4984000027179718,0.38510314636105125,0.1960150672164411,-5.586277961730957,25.0
0.4984000027179718,0.21262876266532893,0.09522697394108721,-5.727133750915527,25.0
0.4984000027179718,0.4770447992470719,0.26716899069310807,-6.199999809265137,25.0
0.4984000027179718,0.3988683669091928,0.2056262930396539,-4.60413122177124,25.0
0.4984000027179718,0.750818163233512,0.4058884998668174,-4.304435729980469,25.0
0.4984000027179718,0.18920922884211255,0.08535848747636668,-4.255771636962891,25.0
0.4984000027179718,0.44320038456993704,0.17355400346203365,-7.707086086273193,25.0
0.4984000027179718,0.2612655629999916,0.11099596730029344,-4.008674621582031,25.0
0.4984000027179718,0.22127956171480223,0.09440245970527475,-6.037532806396484,25.0
0.49799999594688416,0.1646499669914776,0.08803609533985104,-6.199999809265137,20.0
0.49799999594688416,0.40474539672401155,0.22414799182987408,-3.855156660079956,20.0
0.49799999594688416,0.20139443109465094,0.11851776844630006,-5.740915298461914,20.0
0.49799999594688416,0.06666664472630568,0.051500559346352705,-6.199999809265137,20.0
0.49799999594688416,0.42345785486383547,0.23239156833632324,-5.586520195007324,20.0
0.49799999594688416,0.1898668405372368,0.10769932435259988,-4.991732120513916,20.0
0.49799999594688416,0.1776638105631394,0.0971939428765013,-5.535765647888184,20.0
0.4973333477973938,0.1892412903919215,0.1436556377096258,-5.640243053436279,15.0
0.4973333477973938,0.18232297782860651,0.13534699228738956,-5.288272857666016,15.0
0.4973333477973938,0.17757865568633568,0.13018348304831331,-6.515781402587891,15.0
0.4973333477973938,0.08835961915436907,0.07580187403958268,-5.926967620849609,15.0
0.4973333477973938,0.16687124510615514,0.11986337243162419,-5.387964725494385,15.0
0.4973333477973938,0.36933753255433666,0.21437886970698347,-7.326269626617432,15.0
0.4973333477973938,0.2081101009423003,0.16008978158154744,-5.918811798095703,15.0
0.4973333477973938,0.23423871306400823,0.16338758219522925,-6.4722208976745605,15.0
0.4973333477973938,0.18879602771010084,0.1430903000337324,-5.356302261352539,15.0
0.4973333477973938,0.22411901502912168,0.1648213192565585,-5.209397315979004,15.0
0.9983999729156494,0.7604251032131459,0.19498222984605681,-2.6160483360290527,25.0
0.9983999729156494,1.014526076004559,0.27989336106045165,-6.199999809265137,25.0
0.9983999729156494,0.5550206681559573,0.13960519430269497,-6.199999809265137,25.0
0.9983999729156494,0.5367335638348383,0.11396838787447307,-6.617761135101318,25.0
0.9979999661445618,0.36137607251039805,0.1016843553156535,-4.090396881103516,20.0
0.9979999661445618,0.21167203795556655,0.062430153998429556,-5.447543144226074,20.0
0.9979999661445618,0.5326398859623205,0.1518268604120139,-7.431894779205322,20.0
0.9979999661445618,0.2555469378287263,0.07039455561480548,-4.362063884735107,20.0
0.9979999661445618,0.6271751311026668,0.2010658634379697,-6.137604713439941,20.0
0.9979999661445618,0.5496896132488958,0.16034995849565267,-4.259978294372559,20.0
0.9979999661445618,0.5197343835823418,0.14286950721695962,-5.553489685058594,20.0
0.9979999661445618,0.5744969088681193,0.15092179952491536,-6.226266860961914,20.0
0.9979999661445618,0.6278684739973814,0.19105044918522535,-4.584824562072754,20.0
0.9979999661445618,0.5178182309404014,0.16633026700534098,-7.08443021774292,20.0
0.9979999661445618,0.3416870158940679,0.09391773947525574,-6.289904594421387,20.0
0.9973333477973938,0.45309730547978666,0.1700733592829201,-6.190675735473633,15.0
0.9973333477973938,0.39524924178463006,0.15954243554686767,-4.118411064147949,15.0
0.9973333477973938,0.5670575631354093,0.19678916851639705,-5.480023384094238,15.0
0.9973333477973938,0.17787097507636118,0.0661951628477513,-4.935439586639404,15.0
0.9973333477973938,0.3892957343480763,0.15496982759418806,-5.000906944274902,15.0
0.9973333477973938,0.3250820738390259,0.11837588196111272,-6.199999809265137,15.0
0.9973333477973938,0.4637233552888478,0.17640172594184111,-5.428004264831543,15.0
0.9973333477973938,0.35287092075350834,0.13184951401166983,-4.21539306640625,15.0
0.9973333477973938,0.3509922936874954,0.13084262963912519,-5.304299354553223,15.0
1.4983999729156494,0.6987428945832839,0.10975613749883449,-5.98045015335083,25.0
1.4983999729156494,0.7914167181692986,0.12205201639695934,-6.153479099273682,25.0
1.4983999729156494,0.846751690435221,0.14173683088057856,-5.320833683013916,25.0
1.4983999729156494,0.6346935972462724,0.10109599738047209,-3.606562852859497,25.0
1.4983999729156494,0.5501293069127215,0.08694657720577981,-6.393801212310791,25.0
1.4983999729156494,0.8103601258967212,0.12361698475904653,-5.959869861602783,25.0
1.497999906539917,0.4639162110537818,0.09144279135567746,-5.78289794921875,20.0
1.497999906539917,0.5634318296095064,0.11282000990987988,-4.8645172119140625,20.0
1.497999906539917,0.8761904434842169,0.1913116046911611,-3.63525128364563,20.0
1.497999906539917,1.0464638135582145,0.24481870231724867,-6.079829692840576,20.0
1.497999906539917,0.8731448105865733,0.17884068574173334,-6.337738513946533,20.0
1.497999906539917,0.5266604127792487,0.10384935865318669,-4.496075630187988,20.0
1.497999906539917,0.6640028689279831,0.12420257233210917,-6.410305023193359,20.0
1.497999906539917,0.5703988009345051,0.11469720656735775,-6.547682762145996,20.0
1.497999906539917,0.6221705841038361,0.12622186658391527,-5.291218280792236,20.0
1.497333288192749,0.5828806832353608,0.15419586502202007,-5.050814151763916,15.0
1.497333288192749,0.3743888032474443,0.09535329838303942,-5.105658054351807,15.0
1.497333288192749,0.5497008851602341,0.12912682038781745,-5.797513008117676,15.0
1.497333288192749,0.30080558381575284,0.07192474001585737,-6.57697868347168,15.0
1.497333288192749,0.616511257624178,0.1775000621229694,-5.567264080047607,15.0
1.497333288192749,0.5108224169592599,0.12373686747501977,-6.251379013061523,15.0
1.497333288192749,0.32930024110172496,0.0794877607190411,-4.957067012786865,15.0
1.497333288192749,0.6566391499864077,0.18616666770463836,-5.381815433502197,15.0
1.497333288192749,0.24976475328862602,0.061451456701690846,-5.411670684814453,15.0
1.9983998537063599,1.2068419788396898,0.1586063392511074,-4.553102016448975,25.0
1.9983998537063599,0.8560021106108107,0.10219972108341284,-5.723130702972412,25.0
1.9983998537063599,0.9394048573644544,0.10644043008997772,-5.258324146270752,25.0
1.9983998537063599,0.8819614938347919,0.10223750472085139,-5.580276012420654,25.0
1.9983998537063599,0.6780979851579139,0.08191979936902533,-6.051192760467529,25.0
1.9983998537063599,0.8731100967013956,0.10507966059438101,-6.969026565551758,25.0
1.997999906539917,0.682921760525133,0.09827494378521316,-7.22251033782959,20.0
1.997999906539917,0.6401967508010038,0.09231382358247826,-5.679525852203369,20.0
1.997999906539917,0.8969469482159942,0.13810907160255495,-7.812090873718262,20.0
1.997999906539917,0.787674609386374,0.11277082885604074,-5.7942705154418945,20.0
1.997999906539917,1.1609987956510366,0.17498506502433567,-6.22929573059082,20.0
1.997999906539917,0.659821998084045,0.09241010629297705,-5.832815170288086,20.0
1.997999906539917,0.6585871743638394,0.09684295884017512,-5.271665096282959,20.0
1.997999906539917,0.6454634053868953,0.09639830595826802,-5.502195358276367,20.0
1.997333288192749,0.8644464815832167,0.18112516282861585,-6.250311851501465,15.0
1.997333288192749,0.7213828314967818,0.1465718943070284,-7.1581339836120605,15.0
1.997333288192749,0.5501054584691831,0.10939532100268323,-3.6019301414489746,15.0
2.4983997344970703,1.2651817558142342,0.12538564819716352,-4.948667526245117,25.0
2.4983997344970703,1.2169950838187045,0.12444488697014174,-5.6113786697387695,25.0
2.497999668121338,0.9317732740512474,0.11101974234965492,-6.007066249847412,20.0
2.497999668121338,1.002959331096368,0.12388427600597518,-6.098406791687012,20.0
2.497999668121338,0.7053159944158727,0.08522806703940676,-2.9922664165496826,20.0
2.497999668121338,0.8708486602553323,0.10244065349459594,-5.208668231964111,20.0
2.497999668121338,0.857941118685484,0.10407140942532864,-6.795764446258545,20.0
