epoch,stage,teacher_forcing,train_loss,train_recon_loss,train_roll_loss,train_prior_roll_loss,train_endpoint_roll_loss,train_prior_endpoint_roll_loss,train_prior_control_loss,train_late_prior_control_loss,train_anchor_loss,train_latent_loss,train_switch_rate,train_boundary_target_rate,train_rollout_response_steps,val_loss,val_recon_loss,val_roll_loss,val_prior_roll_loss,val_endpoint_roll_loss,val_prior_endpoint_roll_loss,val_first_step_recon,val_anchor_loss,val_latent_loss,val_latent_kl,val_duration_nll,val_censor_nll,val_posterior_boundary_nll,val_prototype_reconstruction,val_state_bootstrap_nll,val_switch_rate,val_boundary_target_rate,val_prior_control_loss,val_late_prior_control_loss,val_causal_prior_rollout_ADE_m,val_causal_prior_rollout_FDE_m,val_causal_prior_1s_FDE_m,val_causal_prior_1s_gap_MAE_m,m0_1s_gate_pass
1,anchor,0.9,1.514360275119543,0.10365892527624965,0.028368635626975447,0.2143401422072202,0.03570372017566115,0.28887663199566305,0.15286945505067706,0.13936071982607245,0.897216685116291,5.415517911314964,0.06250000209547579,0.0428365085972473,16.0625,2.420023500919342,0.36983635649085045,0.4257613494992256,0.44195715710520744,0.5894687101244926,0.611506387591362,0.03764804499223828,0.923441044986248,5.18055123090744,0.433040551841259,0.27344977110624313,0.1573456209152937,1.3497940450906754,0.028915136121213436,0.7900703251361847,0.0585123710334301,0.04097493621520698,0.15124371275305748,0.1504030656069517,0.2051575762161515,0.7980176729051623,0.043462742583800035,0.026943036393330733,0.0
2,anchor,0.8,1.4611713513731956,0.10781376925297081,0.031357902509626,0.18646054179407656,0.03878720139618963,0.2490340352524072,0.15515682846307755,0.14025394129566848,0.8662282023578882,5.386218711733818,0.06225586147047579,0.042836508771870285,14.84375,2.4139890670776367,0.3706773892045021,0.4266980551183224,0.4435898959636688,0.5900801196694374,0.6130885779857635,0.03770254272967577,0.913996122777462,5.18055123090744,0.433040551841259,0.27344977110624313,0.1573456209152937,1.3497940450906754,0.028915136121213436,0.7900703251361847,0.0585123710334301,0.04097493621520698,0.1513052023947239,0.15043260902166367,0.20607609819962444,0.7984971400086022,0.043690221729962946,0.026941523559379874,0.0
3,anchor,0.7,1.4667719043791294,0.1102880616672337,0.034688825136981905,0.1898988364264369,0.042249515070579946,0.25393250258639455,0.15559699246659875,0.14140201127156615,0.860811585560441,5.4216920882463455,0.061960857710801065,0.042836508306209,15.03125,2.406075358390808,0.3708351291716099,0.42681632936000824,0.4438474588096142,0.5901662707328796,0.6133510544896126,0.03771610604599118,0.9055488854646683,5.18055123090744,0.433040551841259,0.27344977110624313,0.1573456209152937,1.3497940450906754,0.028915136121213436,0.7900703251361847,0.0585123710334301,0.04097493621520698,0.1513135638087988,0.15043997764587402,0.20617667553028057,0.7983159648685889,0.04372536991018215,0.026920089650265697,0.0
4,anchor,0.6,1.4964013956487179,0.1104981976095587,0.038732439861632884,0.21534431399777532,0.04665697261225432,0.29014212847687304,0.1525382366962731,0.13899957947432995,0.8614389300346375,5.407750174403191,0.06175740750040859,0.04283650839352049,16.28125,2.402303546667099,0.3705277629196644,0.4264104403555393,0.4435363821685314,0.5897096544504166,0.6129887998104095,0.037709930911660194,0.9028013870120049,5.18055123090744,0.433040551841259,0.27344977110624313,0.1573456209152937,1.3497940450906754,0.028915136121213436,0.7900703251361847,0.0585123710334301,0.04097493621520698,0.151314165443182,0.150436669588089,0.20600267771336025,0.7979584965839922,0.043721717977300636,0.026913266662502437,0.0
5,anchor,0.5,1.5105291046202183,0.11533883190713823,0.044144664774648845,0.21284764353185892,0.05273066321387887,0.28646904160268605,0.15437816688790917,0.14040963258594275,0.8670836593955755,5.422286078333855,0.06219482608139515,0.04283650824800134,15.875,2.3983931243419647,0.37026670575141907,0.42604003474116325,0.4432469680905342,0.5892774164676666,0.6126824021339417,0.03770823683589697,0.8998118564486504,5.18055123090744,0.433040551841259,0.27344977110624313,0.1573456209152937,1.3497940450906754,0.028915136121213436,0.7900703251361847,0.0585123710334301,0.04097493621520698,0.15132611989974976,0.15044921077787876,0.205846900768069,0.7977941837336324,0.04368434316840447,0.026902079613457974,0.0
6,causal,0.4,1.5256800130009651,0.11875052261166275,0.05219907674472779,0.2256465838290751,0.06189013668335974,0.30488634668290615,0.1517832102254033,0.13904415676370263,0.8781775534152985,5.018125414848328,0.07570394081994891,0.04283650836441666,16.6875,2.346724569797516,0.3654557019472122,0.42108970135450363,0.4321987256407738,0.583234466612339,0.5980318859219551,0.0376969357021153,0.8969335332512856,4.6209381222724915,0.34721409901976585,0.33514270558953285,0.1652744933962822,1.2116650566458702,0.031506796134635806,0.6877767443656921,0.0890706405043602,0.04097493621520698,0.14994673617184162,0.1489950306713581,0.19911427261587553,0.7777907079163007,0.04359313857722766,0.02688502538148401,0.0
7,causal,0.30000000000000004,1.4859850890934467,0.12692214455455542,0.060685603180900216,0.18615732714533806,0.07230381260160357,0.24804741144180298,0.1539644580334425,0.13868469325825572,0.8838824555277824,4.566751256585121,0.10961914388462901,0.04283650836441666,15.0,2.321841239929199,0.36332159861922264,0.41937732324004173,0.42655564844608307,0.5816409736871719,0.5908765941858292,0.03768342453986406,0.892784059047699,4.3960519433021545,0.28461504355072975,0.3527018874883652,0.131445431150496,1.0982480198144913,0.03402797435410321,0.6637399196624756,0.1306152381002903,0.04097493621520698,0.14926178194582462,0.14836212247610092,0.1954510855294,0.7692740771026816,0.04353562859402804,0.026882614445202808,0.0
8,causal,0.19999999999999996,1.52494141086936,0.13461217167787254,0.08253180852625519,0.20249895285815,0.10131160647142678,0.27277087536640465,0.14503141539171338,0.13075220468454063,0.8878556452691555,4.348856583237648,0.15365601098164916,0.042836508306209,16.5625,2.3060947954654694,0.3630281873047352,0.42012208700180054,0.4219018369913101,0.5838950350880623,0.5852165892720222,0.03766689170151949,0.8872004374861717,4.276846408843994,0.2597593665122986,0.3718923553824425,0.09003247786313295,1.0275747999548912,0.034162844298407435,0.6528211385011673,0.1766764372587204,0.04097493621520698,0.14896823838353157,0.14826539158821106,0.19221238313301708,0.7630446407210875,0.0434582107710578,0.02687983120399035,0.0
9,causal,0.09999999999999998,1.5778458938002586,0.1584756667725742,0.11731240106746554,0.1982234299648553,0.1496430451516062,0.2667545161675662,0.14670172333717346,0.13292346498928964,0.8905413784086704,4.265860095620155,0.2039388082921505,0.04283650842262432,16.34375,2.2989991903305054,0.3635151982307434,0.4214489869773388,0.4195569232106209,0.5868593379855156,0.5828224718570709,0.03763890638947487,0.8821542412042618,4.246475160121918,0.23801130801439285,0.4211195185780525,0.06665683723986149,1.0011359676718712,0.034176602493971586,0.6472453773021698,0.22355143912136555,0.04097493621520698,0.14901848882436752,0.14861866645514965,0.1904389946707452,0.7614682770796729,0.043318213166759094,0.026869943508677847,0.0
10,causal,0.0,1.7097620964050293,0.21303001651540399,0.19613835867494345,0.19643715536221862,0.265393158653751,0.26532195042818785,0.15281541645526886,0.14134490466676652,0.8903731442987919,4.275668479502201,0.2533671148121357,0.042836508131586015,16.3125,2.297428220510483,0.36436109244823456,0.4225326254963875,0.4174289330840111,0.5894079580903053,0.5806484743952751,0.03760556969791651,0.8793806508183479,4.274497836828232,0.23271057568490505,0.48528343439102173,0.05460673337802291,1.006396397948265,0.033732715994119644,0.6433130651712418,0.26940918527543545,0.04097493621520698,0.14958220161497593,0.14950558729469776,0.18916559999214447,0.7612029743322247,0.043146379801114895,0.02685641065291049,0.0
