feature,real_count,generated_count,ks,wasserstein,real_mean,generated_mean
ego_vx_mps,256,256,0.08203125,0.5440790802240372,31.318828582763672,31.81045913696289
ego_vy_left_mps,256,256,0.1796875,0.04994513726705918,0.022539062425494194,0.037947721779346466
ego_ax_mps2,256,256,0.1328125,0.12575065673445351,-0.15382811427116394,-0.028077466413378716
ego_ay_left_mps2,256,256,0.25,0.008079822338459053,-0.003281249897554517,-0.0001258509000763297
same_front_rel_x_m,247,248,0.1121033041661225,2.4887709682691774,22.23904800415039,24.165630340576172
same_front_rel_y_left_m,247,248,0.05730050933786078,0.05696813623657223,-0.056578949093818665,-0.10210160166025162
same_front_rel_vx_mps,247,248,0.07498041008227765,0.14057762570561444,-0.5021861791610718,-0.38203415274620056
same_front_rel_vy_left_mps,247,248,0.12415110356536503,0.04634544854292281,-0.022712549194693565,-0.028946973383426666
same_front_other_ax_mps2,247,248,0.07462126159070132,0.05849311763791795,-0.05129554867744446,-0.005474819336086512
same_front_other_ay_left_mps2,247,248,0.1154988899046624,0.007569747266805527,0.006194332614541054,0.001796382712200284
same_rear_rel_x_m,87,87,0.1724137931034483,5.399013793331453,-32.84954071044922,-28.95521354675293
same_rear_rel_y_left_m,87,87,0.11494252873563218,0.0854301681453041,0.0036206902004778385,0.013286951929330826
same_rear_rel_vx_mps,87,87,0.10344827586206896,0.20042085765336443,0.3381609320640564,0.4079667031764984
same_rear_rel_vy_left_mps,87,87,0.21839080459770116,0.08100516881108628,-0.030919544398784637,0.018348800018429756
same_rear_other_ax_mps2,87,87,0.2413793103448276,0.09908800036914048,-0.2164367437362671,-0.2646615207195282
same_rear_other_ay_left_mps2,87,87,0.14942528735632185,0.02688155330760382,-0.02137930877506733,-0.006446110084652901
left_front_rel_x_m,66,53,0.23956546598056033,11.40870723587537,35.55659103393555,28.383892059326172
left_front_rel_y_left_m,66,53,0.2847341337907376,0.21882375503963172,3.778181552886963,3.755648136138916
left_front_rel_vx_mps,66,53,0.2507146941109205,1.1955351209541671,4.24060583114624,3.8470025062561035
left_front_rel_vy_left_mps,66,53,0.19039451114922812,0.06287170117460042,-0.11803030222654343,-0.13917678594589233
left_front_other_ax_mps2,66,53,0.2695826186392224,0.1612836998962441,-0.059696972370147705,0.07602787762880325
left_front_other_ay_left_mps2,66,53,0.2358490566037736,0.025893461737220184,0.005303030833601952,0.009222705848515034
left_rear_rel_x_m,24,15,0.35,9.541569442550342,-29.676666259765625,-28.708417892456055
left_rear_rel_y_left_m,24,15,0.45,0.2850166499614715,3.909374952316284,3.7054009437561035
left_rear_rel_vx_mps,24,15,0.2833333333333333,1.611203207448125,5.066249847412109,4.703464031219482
left_rear_rel_vy_left_mps,24,15,0.26666666666666666,0.17146032180947565,-0.005833332892507315,0.11107174307107925
left_rear_other_ax_mps2,24,15,0.25,0.17335277758538722,0.009999997913837433,0.057154759764671326
left_rear_other_ay_left_mps2,24,15,0.3333333333333333,0.03393411274688939,-0.011666667647659779,0.007308357860893011
right_front_rel_x_m,237,233,0.10519548722406331,3.537098772847422,35.58145523071289,38.39349365234375
right_front_rel_y_left_m,237,233,0.07996957679143804,0.07739589399806235,-4.005485534667969,-3.994413137435913
right_front_rel_vx_mps,237,233,0.14916426721718187,0.5257851144819072,-4.037046432495117,-4.460417747497559
right_front_rel_vy_left_mps,237,233,0.17797577008746673,0.055256982197112524,0.0073839700780808926,-0.012998560443520546
right_front_other_ax_mps2,237,233,0.14813205121240108,0.05856251372227138,0.004261604510247707,-0.0417545884847641
right_front_other_ay_left_mps2,237,233,0.09358758443345828,0.00663954068415182,0.005654009059071541,0.00224132277071476
right_rear_rel_x_m,93,88,0.11278103616813294,5.683701044427392,-37.06403350830078,-41.58283996582031
right_rear_rel_y_left_m,93,88,0.18841642228739003,0.15573421720768582,-4.022580623626709,-3.986927032470703
right_rear_rel_vx_mps,93,88,0.17949657869012708,0.7638561775833224,-2.943763017654419,-3.251149892807007
right_rear_rel_vy_left_mps,93,88,0.13770772238514173,0.07455743681846544,0.0005376338958740234,-0.0006270916783250868
right_rear_other_ax_mps2,93,88,0.16630009775171065,0.06157957323925172,-0.03892473131418228,-0.046868398785591125
right_rear_other_ay_left_mps2,93,88,0.17803030303030304,0.014775446110338111,0.01924731209874153,0.006037743762135506
